"","from","to","mean","q5","q95","origin"
"1","mainstem, mouth to BON","mainstem, BON to MCN",0.916260655,0.7951454,0.98927035,"Deschutes_River"
"2","mainstem, mouth to BON","mainstem, BON to MCN",0.99400866,0.95729815,1,"Fifteenmile_Creek"
"3","mainstem, mouth to BON","mainstem, BON to MCN",0.96200328,0.914236,0.99426835,"John_Day_River"
"4","mainstem, mouth to BON","mainstem, BON to MCN",0.9581813,0.90017555,0.9941111,"Umatilla_River"
"5","mainstem, mouth to BON","mainstem, BON to MCN",0.99641048,0.98492325,1,"Yakima_River"
"6","mainstem, mouth to BON","mainstem, BON to MCN",0.971541645,0.9427798,0.99444215,"Walla_Walla_River"
"7","mainstem, mouth to BON","loss",0.08373936225,0.0107301215,0.2048546,"Deschutes_River"
"8","mainstem, mouth to BON","loss",0.00599133609602473,1.3254435e-11,0.042702235,"Fifteenmile_Creek"
"9","mainstem, mouth to BON","loss",0.037996725575,0.00573153,0.0857641149999999,"John_Day_River"
"10","mainstem, mouth to BON","loss",0.04181868905,0.0058891445,0.09982453,"Umatilla_River"
"11","mainstem, mouth to BON","loss",0.00358953267897721,4.094665e-11,0.01507638,"Yakima_River"
"12","mainstem, mouth to BON","loss",0.028458373315,0.0055582195,0.057220095,"Walla_Walla_River"
"13","mainstem, BON to MCN","mainstem, mouth to BON",0.0160622947,0.01027669,0.02258918,"Deschutes_River"
"14","mainstem, BON to MCN","mainstem, mouth to BON",0.01118627025,0.0047176345,0.019629545,"Fifteenmile_Creek"
"15","mainstem, BON to MCN","mainstem, mouth to BON",0.00847385165,0.0059662375,0.011593985,"John_Day_River"
"16","mainstem, BON to MCN","mainstem, mouth to BON",0.0081419025,0.0057092955,0.01132917,"Umatilla_River"
"17","mainstem, BON to MCN","mainstem, mouth to BON",0.00690082775,0.0029613515,0.011440985,"Yakima_River"
"18","mainstem, BON to MCN","mainstem, mouth to BON",0.01565749,0.012645825,0.019093885,"Walla_Walla_River"
"19","mainstem, BON to MCN","mainstem, MCN to ICH or PRA",0.00694295825,0.0033970175,0.011641045,"Deschutes_River"
"20","mainstem, BON to MCN","mainstem, MCN to ICH or PRA",0.090130943,0.07468701,0.10885,"Fifteenmile_Creek"
"21","mainstem, BON to MCN","mainstem, MCN to ICH or PRA",0.464413695,0.45227515,0.4761503,"John_Day_River"
"22","mainstem, BON to MCN","mainstem, MCN to ICH or PRA",0.337894315,0.3231757,0.35224405,"Umatilla_River"
"23","mainstem, BON to MCN","mainstem, MCN to ICH or PRA",0.75933155,0.7312232,0.78689735,"Yakima_River"
"24","mainstem, BON to MCN","mainstem, MCN to ICH or PRA",0.78105996,0.76766715,0.79276925,"Walla_Walla_River"
"25","mainstem, BON to MCN","Deschutes River",0.365739385,0.34177695,0.3886409,"Deschutes_River"
"26","mainstem, BON to MCN","Deschutes River",0.13610066,0.11201615,0.16719415,"Fifteenmile_Creek"
"27","mainstem, BON to MCN","Deschutes River",0.04090276,0.036265965,0.04541875,"John_Day_River"
"28","mainstem, BON to MCN","Deschutes River",0.0617216615,0.05462819,0.069610325,"Umatilla_River"
"29","mainstem, BON to MCN","Deschutes River",0.059244648,0.04486746,0.07340832,"Yakima_River"
"30","mainstem, BON to MCN","Deschutes River",0.027275502,0.0235444,0.03224378,"Walla_Walla_River"
"31","mainstem, BON to MCN","John Day River",0.0009288878198,3.742155e-05,0.002958012,"Deschutes_River"
"32","mainstem, BON to MCN","John Day River",0.005608159775,0.00167118,0.011666375,"Fifteenmile_Creek"
"33","mainstem, BON to MCN","John Day River",0.23829098,0.22737275,0.24812325,"John_Day_River"
"34","mainstem, BON to MCN","John Day River",0.00043575238455,2.7548435e-05,0.00128346,"Umatilla_River"
"35","mainstem, BON to MCN","John Day River",0.00012461039935448,7.35341450000001e-13,0.0006071737,"Yakima_River"
"36","mainstem, BON to MCN","John Day River",1.03697901881913e-05,2.704885e-22,5.1493405e-05,"Walla_Walla_River"
"37","mainstem, BON to MCN","Hood River",0.0028104001665,0.0006941365,0.005948491,"Deschutes_River"
"38","mainstem, BON to MCN","Hood River",0.000114122899235171,3.718085e-12,0.000594207049999999,"Fifteenmile_Creek"
"39","mainstem, BON to MCN","Hood River",0.0005150441454,8.7718605e-05,0.001179375,"John_Day_River"
"40","mainstem, BON to MCN","Hood River",0.00253813938,0.0010772245,0.004518543,"Umatilla_River"
