"","from","to","mean","q5","q95","origin"
"1","mainstem, MCN to ICH or PRA","mainstem, BON to MCN",0.073573392,0.06835613,0.079391355,"Tucannon_River"
"2","mainstem, MCN to ICH or PRA","mainstem, BON to MCN",0.0583120965,0.0468284,0.06941944,"Asotin_Creek"
"3","mainstem, MCN to ICH or PRA","mainstem, BON to MCN",0.0311692135,0.028219535,0.034215375,"Clearwater_River"
"4","mainstem, MCN to ICH or PRA","mainstem, BON to MCN",0.047709821,0.044675575,0.05062791,"Salmon_River"
"5","mainstem, MCN to ICH or PRA","mainstem, BON to MCN",0.0288753695,0.02617665,0.03166613,"Grande_Ronde"
"6","mainstem, MCN to ICH or PRA","mainstem, BON to MCN",0.045619445,0.04231088,0.04914435,"Imnaha_River"
"7","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS",0.0277517075,0.02507782,0.030489785,"Tucannon_River"
"8","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS",0.0220051015,0.01727423,0.02628672,"Asotin_Creek"
"9","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS",0.0117556909,0.010628245,0.01294885,"Clearwater_River"
"10","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS",0.0180018765,0.016449985,0.019688415,"Salmon_River"
"11","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS",0.0108895362,0.0098653665,0.012051845,"Grande_Ronde"
"12","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS",0.017210082,0.015589405,0.018933025,"Imnaha_River"
"13","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR",0.85390909,0.8442907,0.86334495,"Tucannon_River"
"14","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR",0.884189825,0.862569,0.90731415,"Asotin_Creek"
"15","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR",0.93811233,0.93338685,0.94303585,"Clearwater_River"
"16","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR",0.90525528,0.9003282,0.9097531,"Salmon_River"
"17","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR",0.942662875,0.93785765,0.94730175,"Grande_Ronde"
"18","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR",0.909411245,0.9029117,0.9149828,"Imnaha_River"
"19","mainstem, MCN to ICH or PRA","Yakima River",0.00081019927,0.0004780005,0.0011344455,"Tucannon_River"
"20","mainstem, MCN to ICH or PRA","Yakima River",0.00064398764,0.00033974545,0.0009052735,"Asotin_Creek"
"21","mainstem, MCN to ICH or PRA","Yakima River",0.000343658395,0.0001981951,0.0004959397,"Clearwater_River"
"22","mainstem, MCN to ICH or PRA","Yakima River",0.000525880065,0.00030388775,0.0007334749,"Salmon_River"
"23","mainstem, MCN to ICH or PRA","Yakima River",0.00031802037,0.00017871915,0.000450227,"Grande_Ronde"
"24","mainstem, MCN to ICH or PRA","Yakima River",0.000503201805,0.0002983369,0.0007023796,"Imnaha_River"
"25","mainstem, MCN to ICH or PRA","Walla Walla River",0.0028357215,0.0022336965,0.0035823775,"Tucannon_River"
"26","mainstem, MCN to ICH or PRA","Walla Walla River",0.00225196455,0.0015941495,0.0030083425,"Asotin_Creek"
"27","mainstem, MCN to ICH or PRA","Walla Walla River",0.00120038276,0.0009383744,0.001502379,"Clearwater_River"
"28","mainstem, MCN to ICH or PRA","Walla Walla River",0.00184000625,0.001413397,0.002314646,"Salmon_River"
"29","mainstem, MCN to ICH or PRA","Walla Walla River",0.001112919495,0.0008468205,0.0014099875,"Grande_Ronde"
"30","mainstem, MCN to ICH or PRA","Walla Walla River",0.00175763715,0.0013669325,0.0021948355,"Imnaha_River"
"31","mainstem, MCN to ICH or PRA","loss",0.041119872,0.03785932,0.04499521,"Tucannon_River"
"32","mainstem, MCN to ICH or PRA","loss",0.0325970155,0.025949275,0.03907079,"Asotin_Creek"
"33","mainstem, MCN to ICH or PRA","loss",0.0174187665,0.015820305,0.0191295,"Clearwater_River"
"34","mainstem, MCN to ICH or PRA","loss",0.0266671655,0.024526115,0.028874215,"Salmon_River"
"35","mainstem, MCN to ICH or PRA","loss",0.016141311,0.0143201,0.017767645,"Grande_Ronde"
"36","mainstem, MCN to ICH or PRA","loss",0.0254983785,0.023640525,0.02787003,"Imnaha_River"
"37","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA",0.032127222,0.026647355,0.03694457,"Tucannon_River"
"38","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA",0.033145252,0.02179599,0.04807514,"Asotin_Creek"
