"","event_site_name","site_class","state"
"1","BO1 - Bonneville Bradford Is. Ladder","BON (adult)","mainstem, BON to MCN"
"2","BO2-BO3-BO4","BON (adult)","mainstem, BON to MCN"
"3","BON - Bonneville Dam Complex","BON (adult)","mainstem, BON to MCN"
"4","MC1 - McNary Oregon Shore Ladder","MCN (adult)","mainstem, MCN to ICH or PRA"
"5","MC2 - McNary Washington Shore Ladder","MCN (adult)","mainstem, MCN to ICH or PRA"
"6","PRA1 - Priest Rapids Adult West Ladder","PRA (adult)","mainstem, PRA to RIS"
"7","PRA2 - Priest Rapids Adult East Ladder","PRA (adult)","mainstem, PRA to RIS"
"8","RIA1 - Rock Island Adult Left Ladder","RIS (adult)","mainstem, RIS to RRE"
"9","RIA2 - Rock Island Adult Middle Ladder","RIS (adult)","mainstem, RIS to RRE"
"10","RIA3 - Rock Island Adult Right Ladder","RIS (adult)","mainstem, RIS to RRE"
"11","RRF - Rocky Reach Fishway","RRE (adult)","mainstem, RRE to WEL"
"12","WEA1 - Wells Dam, DCPUD Left Adult Ladder","WEL (adult)","mainstem, upstream of WEL"
"13","WEA2 - Wells Dam, DCPUD Right Adult Ladder","WEL (adult)","mainstem, upstream of WEL"
"14","ICH1 - Ice Harbor Dam North Ladder","ICH (adult)","mainstem, ICH to LGR"
"15","ICH2 - Ice Harbor Dam South Ladder","ICH (adult)","mainstem, ICH to LGR"
"16","GRA - Lower Granite Dam Adult","LGR (adult)","mainstem, upstream of LGR"
"17","ACB - Asotin Cr. at Cloverland Brdg.","ASO_sites","Asotin Creek"
"18","ACM - Asotin Creek near mouth","ASO_sites","Asotin Creek"
"19","AFC - No./So. Fk Asotin Cr. Jct. ISA","ASO_sites","Asotin Creek"
"20","CCA - Lower Charley Creek ISA","ASO_sites","Asotin Creek"
"21","SNJ - Snake River Trap","ASO_sites","Asotin Creek"
"22","BBA - Big Bear Creek Array","CLE_sites","Clearwater River"
"23","CLC - Clear Creek near Kooskia NFH","CLE_sites","Clearwater River"
"24","CLJ - Clearwater River Trap","CLE_sites","Clearwater River"
"25","CRA - Crooked River Array","CLE_sites","Clearwater River"
"26","CRT - Crooked River Satellite Fac.","CLE_sites","Clearwater River"
"27","DWL - Dworshak NFH adult trap","CLE_sites","Clearwater River"
"28","EPR - East Fork Potlatch Array","CLE_sites","Clearwater River"
"29","HLM - Potlatch River near Helmer","CLE_sites","Clearwater River"
"30","JA1 - Jacks Creek Seasonal IPTDS","CLE_sites","Clearwater River"
"31","JUL - Potlatch River near Juliaetta","CLE_sites","Clearwater River"
"32","KHS - Big Bear Cr. @ Kendrick HS","CLE_sites","Clearwater River"
"33","LAP - Lapwai Creek, near its mouth","CLE_sites","Clearwater River"
"34","LC1 - Lower Lolo Creek at rkm 21","CLE_sites","Clearwater River"
"35","LC2 - Upper Lolo Creek at rkm 25","CLE_sites","Clearwater River"
"36","LRL - Lower Lochsa River Array Site","CLE_sites","Clearwater River"
"37","LRU - Lochsa River Upper Site","CLE_sites","Clearwater River"
"38","MIS - Mission Creek","CLE_sites","Clearwater River"
"39","PCM - Pine Creek Mouth, Potlatch R.","CLE_sites","Clearwater River"
"40","RRT - Red River Satellite Facility","CLE_sites","Clearwater River"
"41","SC1 - Lower SF Clearwater R at rkm 1","CLE_sites","Clearwater River"
"42","SC2 - Lower SF Clearwater R at rkm 2","CLE_sites","Clearwater River"
"43","SC3 - South Fork Clearwater Site 3","CLE_sites","Clearwater River"
"44","SC4 - South Fork Clearwater Site 4","CLE_sites","Clearwater River"
"45","SW1 - Lower Selway River Array","CLE_sites","Clearwater River"
"46","SW2 - Upper Selway River Array","CLE_sites","Clearwater River"
"47","SWT - Sweetwater Cr. near its mouth","CLE_sites","Clearwater River"
"48","WEB - Webb Creek","CLE_sites","Clearwater River"
"49","DBH - Buck Hollow Ck Deschutes Trib","DES_sites","Deschutes River"
"50","DBO - Bakeoven Ck Deschutes Trib","DES_sites","Deschutes River"
"51","DRM - Deschutes River mouth","DES_sites","Deschutes River"
"52","DSF - Deschutes Sherars Falls","DES_sites","Deschutes River"
"53","PEL - Pelton Dam Ladder - Deschutes","DES_sites","Deschutes River"
"54","RBF - Round Butte Fish Xfer Facility","DES_sites","Deschutes River"
"55","SHK - Shitike Creek PIT Array","DES_sites","Deschutes River"
"56","TR1 - Lower Trout Cr - Deschutes","DES_sites","Deschutes River"
"57","TR2 - Trout/Antelope Cr - Deschutes","DES_sites","Deschutes River"
"58","WSH - Warm Springs Hatchery","DES_sites","Deschutes River"
"59","WSR - Warm Springs River PIT Array","DES_sites","Deschutes River"
"60","3D1 - Top of 3D Side Channel","ENT_sites","Entiat River"
"61","3D2 - Middle-1 of 3D Side Channel","ENT_sites","Entiat River"
"62","3D3 - Middle-2 of 3D Side Channel","ENT_sites","Entiat River"
"63","3D4 - Bottom of 3D Side Channel","ENT_sites","Entiat River"
"64","EHL - Entiat NFH Adult Ladder","ENT_sites","Entiat River"
"65","ENA - Upper Entiat River at rkm 17.1","ENT_sites","Entiat River"
"66","ENF - Upper Entiat River at rkm 40.6","ENT_sites","Entiat River"
"67","ENL - Lower Entiat River","ENT_sites","Entiat River"
"68","ENM - Middle Entiat River","ENT_sites","Entiat River"
"69","ENS - Upper Entiat River at rkm 35.7","ENT_sites","Entiat River"
"70","HN1 - Top of Harrison side channel","ENT_sites","Entiat River"
"71","HN2 - Middle Harrison Side Channel","ENT_sites","Entiat River"
"72","HN3 - Bottom Harrison Side Channel","ENT_sites","Entiat River"
"73","HS1 - Top of side channel near ENFH","ENT_sites","Entiat River"
"74","HS2 - Bottom side channel near ENFH","ENT_sites","Entiat River"
"75","MAD - Mad River, Entiat River Basin","ENT_sites","Entiat River"
"76","PD1 - Top of Chelan PUD side channel","ENT_sites","Entiat River"
"77","PD2 - Bot of Chelan PUD side channel","ENT_sites","Entiat River"
"78","RCT - Roaring Creek Temporary Array","ENT_sites","Entiat River"
"79","SR1 - Top of Entiat R side channel","ENT_sites","Entiat River"
"80","SR2 - Bot of Entiat R side channel","ENT_sites","Entiat River"
"81","TLT - Tillicum Creek Temporary Array","ENT_sites","Entiat River"
"82","TY1 - Low Flow Top of Tyee Channel","ENT_sites","Entiat River"
"83","TY2 - High Flow Top of Tyee Channel","ENT_sites","Entiat River"
"84","TY3 - Middle of Tyee Channel","ENT_sites","Entiat River"
"85","TY4 - Bottom of Tyee Channel","ENT_sites","Entiat River"
"86","UMR - Upper Mad Rv. Temporary Array","ENT_sites","Entiat River"
"87","URT - Upper Roaring Temporary Array","ENT_sites","Entiat River"
"88","WAJ - WANAPUM DAM JUVENILE (G-DIP)","ENT_sites","Entiat River"
"89","WL1 - Top of Wilson Creek channel","ENT_sites","Entiat River"
"90","WL2 - Bottom of Wilson Creek channel","ENT_sites","Entiat River"
"91","158 - Fifteenmile Ck at Eightmile Ck","FIF_sites","Fifteenmile Creek"
"92","158 - Fifteenmile Ck at Eightmile Ck","FIF_sites","Fifteenmile Creek"
"93","15D - Fifteenmile Ck at Dry Ck","FIF_sites","Fifteenmile Creek"
"94","15R - Fifteenmile Ck at Ramsey Ck","FIF_sites","Fifteenmile Creek"
"95","158 - Fifteenmile Ck at Eightmile Ck","FIF_sites","Fifteenmile Creek"
"96","15D - Fifteenmile Ck at Dry Ck","FIF_sites","Fifteenmile Creek"
"97","15R - Fifteenmile Ck at Ramsey Ck","FIF_sites","Fifteenmile Creek"
"98","158 - Fifteenmile Ck at Eightmile Ck","FIF_sites","Fifteenmile Creek"
"99","15D - Fifteenmile Ck at Dry Ck","FIF_sites","Fifteenmile Creek"
"100","15R - Fifteenmile Ck at Ramsey Ck","FIF_sites","Fifteenmile Creek"
"101","CCP - Catherine Creek Acc. Pond","GRRO_sites","Grande Ronde River"
"102","CCU - Catherine Creek at Union","GRRO_sites","Grande Ronde River"
"103","CCW - Catherine Creek Ladder/Weir","GRRO_sites","Grande Ronde River"
"104","GRP - Grande Ronde Acc. Pond","GRRO_sites","Grande Ronde River"
"105","JOC - Joseph Creek ISA @ km 3","GRRO_sites","Grande Ronde River"
"106","LOP - Lostine River Acc. Pond","GRRO_sites","Grande Ronde River"
"107","MR1 - Minam River at river km 0.5","GRRO_sites","Grande Ronde River"
"108","UGR - Upper Grande Ronde at rkm 155","GRRO_sites","Grande Ronde River"
"109","UGS - Upper Grande Ronde Starkey","GRRO_sites","Grande Ronde River"
"110","WEN - Wenaha River Mouth","GRRO_sites","Grande Ronde River"
"111","WR1 - Wallowa River at river km 14","GRRO_sites","Grande Ronde River"
"112","WR2 - Wallowa River at rkm 32","GRRO_sites","Grande Ronde River"
"113","HRM - Hood River Mouth","HOOD_sites","Hood River"
"114","EFD - East Fork Diversion Fishway","HOOD_sites","Hood River"
"115","HRM - Hood River Mouth","HOOD_sites","Hood River"
"116","HRM - Hood River Mouth","HOOD_sites","Hood River"
"117","MVF - Moving Falls Fish Ladder","HOOD_sites","Hood River"
"118","HRM - Hood River Mouth","HOOD_sites","Hood River"
"119","EFD - East Fork Diversion Fishway","HOOD_sites","Hood River"
"120","FID - Farmer's Diversion, Hood River","HOOD_sites","Hood River"
"121","MVF - Moving Falls Fish Ladder","HOOD_sites","Hood River"
"122","SND - Sandtrap Acclimation Site","HOOD_sites","Hood River"
"123","BSC - Big Sheep Creek ISA at km 6","IMN_sites","Imnaha River"
"124","CMP - Camp Creek at rkm 2 - Imnaha","IMN_sites","Imnaha River"
"125","COC - Cow Creek ISA @ stream mouth","IMN_sites","Imnaha River"
"126","CZY - Crazyman Creek at 0.6 km","IMN_sites","Imnaha River"
"127","GCM - Grouse Creek Mouth","IMN_sites","Imnaha River"
"128","IMJ - Imnaha River Trap","IMN_sites","Imnaha River"
"129","IML - Imnaha River Weir Adult Ladder","IMN_sites","Imnaha River"
"130","IR1 - Lower Imnaha River ISA @ km 7","IMN_sites","Imnaha River"
"131","IR2 - Lower Imnaha River ISA @ km 10","IMN_sites","Imnaha River"
"132","IR3 - Upper Imnaha River ISA @ km 41","IMN_sites","Imnaha River"
"133","IR4 - Imnaha Weir Downstream Array","IMN_sites","Imnaha River"
"134","IR5 - Imnaha Weir Upstream Array","IMN_sites","Imnaha River"
"135","30M - Thirtymile Crk John Day Basin","JDR_sites","John Day River"
"136","BR0 - Bridge Creek Gauge","JDR_sites","John Day River"
"137","BR1 - Bridge Creek Kiosk","JDR_sites","John Day River"
"138","BR2 - Bridge Creek Gable","JDR_sites","John Day River"
"139","BR3 - Bridge Creek Ranch","JDR_sites","John Day River"
"140","JD1 - John Day River, McDonald Ferry","JDR_sites","John Day River"
"141","JDC - Cottonwood Creek, NF John Day","JDR_sites","John Day River"
"142","JDM - Upper John Day River Array","JDR_sites","John Day River"
"143","MJ1 - Middle Fork John Day Array","JDR_sites","John Day River"
"144","MJ2 - Middle Fork John Day Ritter","JDR_sites","John Day River"
"145","RCJ - Rock Creek John Day Basin","JDR_sites","John Day River"
"146","SJ1 - SF John Day (Mid)","JDR_sites","John Day River"
"147","SJ2 - SF John Day (Murderer's)","JDR_sites","John Day River"
"148","18N - 1890s Channel Methow River","MET_sites","Methow River"
"149","BDP - Biddle Acclimation Pond","MET_sites","Methow River"
"150","BVC - Beaver Creek, Methow River","MET_sites","Methow River"
"151","CAP - Carlton Acc. Pond","MET_sites","Methow River"
