"origin","BON","MCN","PRA","RIS","RRE","WEL","ICH","LGR"
"Fifteenmile Creek","0.01 (0.00 - 0.01)","0.48 (0.37 - 0.59)","0.54 (0.00 - 1.00)","0.37 (0.30 - 0.45)*","0.31 (0.19 - 0.45)*","0.41 (0.24 - 0.58)*","0.29 (0.07 - 0.59)","0.38 (0.36 - 0.40)*"
"Deschutes River","0.01 (0.01 - 0.01)","0.40 (0.18 - 0.69)","0.56 (0.00 - 1.00)","0.37 (0.30 - 0.45)*","0.31 (0.19 - 0.45)*","0.41 (0.24 - 0.58)*","0.20 (0.01 - 0.59)","0.38 (0.36 - 0.40)*"
"John Day River","0.01 (0.01 - 0.01)","0.51 (0.50 - 0.53)","0.52 (0.39 - 0.64)","0.37 (0.30 - 0.45)*","0.31 (0.19 - 0.45)*","0.41 (0.24 - 0.58)*","0.27 (0.23 - 0.31)","0.38 (0.36 - 0.40)*"
"Umatilla River","0.01 (0.00 - 0.01)","0.48 (0.45 - 0.50)","0.55 (0.38 - 0.73)","0.37 (0.30 - 0.45)*","0.31 (0.19 - 0.45)*","0.41 (0.24 - 0.58)*","0.33 (0.27 - 0.38)","0.38 (0.36 - 0.40)*"
"Walla Walla River","0.01 (0.01 - 0.02)","0.04 (0.04 - 0.05)","0.53 (0.43 - 0.61)","0.37 (0.30 - 0.45)*","0.31 (0.19 - 0.45)*","0.41 (0.24 - 0.58)*","0.26 (0.24 - 0.27)","0.38 (0.36 - 0.40)*"
"Yakima River","0.01 (0.00 - 0.01)","0.01 (0.00 - 0.02)","0.60 (0.52 - 0.68)","0.37 (0.30 - 0.45)*","0.31 (0.19 - 0.45)*","0.41 (0.24 - 0.58)*","0.56 (0.40 - 0.71)","0.38 (0.36 - 0.40)*"
"Wenatchee River","0.01 (0.01 - 0.01)*","0.01 (0.01 - 0.01)","0.01 (0.01 - 0.02)","0.01 (0.01 - 0.01)","0.23 (0.21 - 0.24)","0.20 (0.18 - 0.21)","0.08 (0.00 - 0.27)*","0.34 (0.12 - 0.62)*"
"Entiat River","0.01 (0.01 - 0.01)*","0.01 (0.00 - 0.01)","0.02 (0.01 - 0.03)","0.01 (0.00 - 0.02)","0.03 (0.02 - 0.04)","0.62 (0.56 - 0.67)","0.08 (0.00 - 0.27)*","0.34 (0.12 - 0.62)*"
"Okanogan River","0.01 (0.01 - 0.01)*","0.01 (0.01 - 0.01)","0.02 (0.01 - 0.02)","<0.01","<0.01","0.01 (0.01 - 0.02)","0.08 (0.00 - 0.27)*","0.34 (0.12 - 0.62)*"
"Methow River","0.01 (0.01 - 0.01)*","0.01 (0.01 - 0.01)","0.01 (0.01 - 0.01)","0.01 (0.01 - 0.01)","0.01 (0.00 - 0.01)","0.01 (0.01 - 0.01)","0.08 (0.00 - 0.27)*","0.34 (0.12 - 0.62)*"
"Tucannon River","0.02 (0.02 - 0.02)*","0.07 (0.07 - 0.08)","0.47 (0.44 - 0.50)*","0.38 (0.34 - 0.42)*","0.26 (0.22 - 0.30)*","0.29 (0.24 - 0.35)*","0.03 (0.03 - 0.03)","0.40 (0.38 - 0.42)"
"Asotin Creek","0.02 (0.02 - 0.02)*","0.06 (0.05 - 0.07)","0.47 (0.44 - 0.50)*","0.38 (0.34 - 0.42)*","0.26 (0.22 - 0.30)*","0.29 (0.24 - 0.35)*","0.03 (0.02 - 0.05)","0.03 (0.02 - 0.05)"
"Clearwater River","0.02 (0.02 - 0.02)*","0.03 (0.03 - 0.03)","0.47 (0.44 - 0.50)*","0.38 (0.34 - 0.42)*","0.26 (0.22 - 0.30)*","0.29 (0.24 - 0.35)*","0.01 (0.01 - 0.01)","0.02 (0.02 - 0.02)"
"Salmon River","0.02 (0.02 - 0.02)*","0.05 (0.04 - 0.05)","0.47 (0.44 - 0.50)*","0.38 (0.34 - 0.42)*","0.26 (0.22 - 0.30)*","0.29 (0.24 - 0.35)*","0.02 (0.02 - 0.02)","0.02 (0.02 - 0.02)"
"Grande Ronde","0.02 (0.02 - 0.02)*","0.03 (0.03 - 0.03)","0.47 (0.44 - 0.50)*","0.38 (0.34 - 0.42)*","0.26 (0.22 - 0.30)*","0.29 (0.24 - 0.35)*","0.02 (0.02 - 0.02)","0.02 (0.02 - 0.02)"
"Imnaha River","0.02 (0.02 - 0.02)*","0.05 (0.04 - 0.05)","0.47 (0.44 - 0.50)*","0.38 (0.34 - 0.42)*","0.26 (0.22 - 0.30)*","0.29 (0.24 - 0.35)*","0.04 (0.03 - 0.04)","0.02 (0.02 - 0.02)"
