"","state","Deschutes River","Fifteenmile Creek","John Day River","Umatila River","Yakima River","Walla Walla River","Wenatchee River","Entiat River","Okanogan River","Methow River","Tucannon River","Asotin Creek","Clearwater River","Salmon River","Grande Ronde River","Imnaha River"
"1","mainstem, mouth to BON",0.06,0.01,0.04,0.05,0,0.05,0.03,0.03,0.03,0.03,0.05,0.04,0.05,0.05,0.04,0.04
"2","mainstem, BON to MCN",32.96,23.41,25.31,13.85,14.63,17.05,22.51,22.41,22.5,22.47,19.57,19.3,18.86,19.18,18.88,19.17
"3","mainstem, MCN to ICH or PRA",0.09,1.84,15.8,14.11,1.9,1.15,0.71,0.54,0.76,0.7,3.3,2.62,1.3,2.07,1.22,2
"4","mainstem, PRA to RIS",0,0,0.11,0.11,1.3,0.25,2.7,1.15,1.05,1.97,0.18,0.14,0.07,0.11,0.07,0.11
"5","mainstem, RIS to RRE",0,0,0.08,0.08,1,0.2,9.13,0.05,1.48,2.54,0.08,0.06,0.03,0.05,0.03,0.05
"6","mainstem, RRE to WEL",0,0,0.05,0.06,0.65,0.13,8.51,6.8,1.46,4.71,0.1,0.07,0.04,0.06,0.04,0.06
"7","mainstem, upstream of WEL",0,0,0.04,0.04,0.43,0.08,17.02,5.67,12.88,19.07,0.33,0.26,0.13,0.21,0.13,0.2
"8","mainstem, ICH to LGR",0.03,0.19,4.07,2.62,0.59,19.02,0,0,0,0,8.78,3.39,2.62,2.87,3.27,3.83
"9","mainstem, upstream of LGR",0.02,0.14,2.92,1.85,0.43,13.76,0.03,0.02,0.03,0.04,25.48,9.54,50.51,51.16,65.94,26.9
"10","Deschutes River",66.11,44.66,9.09,13.81,1.2,3.07,1.13,1.12,1.14,1.13,2.87,2.79,2.72,2.78,2.74,2.75
"11","John Day River",0.16,1.08,36.48,0.01,0.01,0,0,0,0,0,0.32,0.31,0.32,0.32,0.3,0.32
"12","Hood River",0.43,0.01,0.01,0.01,0.01,0,0,0,0,0,0.06,0.06,0.06,0.06,0.06,0.06
"13","Fifteenmile Creek",0,26.93,0,0,0.01,0,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0.02
"14","Umatilla River",0.01,0.19,3.51,51.68,0.01,0,0,0,0,0,0.15,0.15,0.14,0.14,0.14,0.14
"15","Yakima River",0,0.01,0.07,0.06,76.87,0.04,0,0,0,0,0.05,0.04,0.02,0.03,0.02,0.03
"16","Walla Walla River",0.03,0.18,0.28,0.25,0.01,35.91,0,0,0,0,0.35,0.29,0.14,0.22,0.13,0.23
"17","Wenatchee River",0,0,0.02,0.01,0.17,0.04,32.45,0.02,0.01,0.05,0.01,0.01,0.01,0.01,0,0.01
"18","Entiat River",0,0,0.01,0.01,0.08,0.01,1.4,58.45,0.01,0,0.05,0.03,0.02,0.03,0.02,0.03
"19","Okanogan River",0,0,0.01,0.01,0.16,0.03,0.02,0.06,54.48,4.84,0.13,0.1,0.05,0.08,0.05,0.08
"20","Methow River",0,0,0.01,0.01,0.09,0.02,4.26,3.47,4.05,42.43,0.09,0.07,0.03,0.06,0.03,0.06
"21","Tucannon River",0.01,0.07,1.71,1.07,0.25,7.91,0,0,0,0,33.42,1.03,0.14,0.14,0.18,0.06
"22","Asotin Creek",0,0,0.07,0.04,0.01,0.32,0,0,0,0,2.78,58.54,0,0,0.35,0
"23","Clearwater River",0,0,0.08,0.06,0.01,0.39,0.01,0,0.01,0.01,1.17,0.01,22.62,0,0,0
"24","Salmon River",0,0,0.01,0.01,0,0.05,0,0,0,0,0.08,0,0,20.26,0,0
"25","Grande Ronde River",0,0,0.08,0.05,0.01,0.39,0,0,0,0,0.31,1,0,0,6.2,0
"26","Imnaha River",0,0,0.02,0.01,0,0.12,0,0,0,0,0.17,0.01,0,0,0.06,43.77
"27","BON to MCN other tributaries",0.05,1.27,0.13,0.11,0.15,0,0,0,0,0,0.09,0.1,0.09,0.09,0.09,0.1
"28","Upstream WEL other tributaries",0,0,0,0,0,0,0.08,0.2,0.11,0.01,0,0,0,0,0,0
