"","from","to","probability","origin"
"1","mainstem, mouth to BON","mainstem, BON to MCN","0.92 (0.81 - 0.98)","Deschutes_River"
"2","mainstem, mouth to BON","mainstem, BON to MCN","0.99 (0.96 -   1)","Fifteenmile_Creek"
"3","mainstem, mouth to BON","mainstem, BON to MCN","0.96 (0.92 - 0.99)","John_Day_River"
"4","mainstem, mouth to BON","mainstem, BON to MCN","0.95 (0.89 - 0.99)","Umatilla_River"
"5","mainstem, mouth to BON","mainstem, BON to MCN","  1 (0.98 -   1)","Yakima_River"
"6","mainstem, mouth to BON","mainstem, BON to MCN","0.97 (0.93 - 0.99)","Walla_Walla_River"
"7","mainstem, mouth to BON","loss","0.082 (0.019 - 0.19)","Deschutes_River"
"8","mainstem, mouth to BON","loss","0.0065 (0.000000000011 - 0.042)","Fifteenmile_Creek"
"9","mainstem, mouth to BON","loss","0.036 (0.005 - 0.081)","John_Day_River"
"10","mainstem, mouth to BON","loss","0.048 (0.01 - 0.11)","Umatilla_River"
"11","mainstem, mouth to BON","loss","0.0047 (0.000000000037 - 0.022)","Yakima_River"
"12","mainstem, mouth to BON","loss","0.028 (0.0055 - 0.072)","Walla_Walla_River"
"13","mainstem, BON to MCN","mainstem, mouth to BON","0.0083 (0.0051 - 0.013)","Deschutes_River"
"14","mainstem, BON to MCN","mainstem, mouth to BON","0.0052 (0.0022 - 0.0094)","Fifteenmile_Creek"
"15","mainstem, BON to MCN","mainstem, mouth to BON","0.007 (0.005 - 0.0088)","John_Day_River"
"16","mainstem, BON to MCN","mainstem, mouth to BON","0.0075 (0.0049 - 0.011)","Umatilla_River"
"17","mainstem, BON to MCN","mainstem, mouth to BON","0.0061 (0.0025 - 0.013)","Yakima_River"
"18","mainstem, BON to MCN","mainstem, mouth to BON","0.015 (0.011 - 0.018)","Walla_Walla_River"
"19","mainstem, BON to MCN","mainstem, MCN to ICH or PRA","0.0036 (0.0017 - 0.0059)","Deschutes_River"
"20","mainstem, BON to MCN","mainstem, MCN to ICH or PRA","0.041 (0.032 - 0.052)","Fifteenmile_Creek"
"21","mainstem, BON to MCN","mainstem, MCN to ICH or PRA","0.38 (0.37 - 0.4)","John_Day_River"
"22","mainstem, BON to MCN","mainstem, MCN to ICH or PRA","0.31 (0.3 - 0.33)","Umatilla_River"
"23","mainstem, BON to MCN","mainstem, MCN to ICH or PRA","0.69 (0.65 - 0.72)","Yakima_River"
"24","mainstem, BON to MCN","mainstem, MCN to ICH or PRA","0.71 (0.69 - 0.73)","Walla_Walla_River"
"25","mainstem, BON to MCN","Deschutes River Mouth","0.65 (0.56 - 0.74)","Deschutes_River"
"26","mainstem, BON to MCN","Deschutes River Mouth","0.51 (0.43 - 0.58)","Fifteenmile_Creek"
"27","mainstem, BON to MCN","Deschutes River Mouth","0.17 (0.15 - 0.19)","John_Day_River"
"28","mainstem, BON to MCN","Deschutes River Mouth","0.2 (0.17 - 0.22)","Umatilla_River"
"29","mainstem, BON to MCN","Deschutes River Mouth","0.19 (0.15 - 0.23)","Yakima_River"
"30","mainstem, BON to MCN","Deschutes River Mouth","0.13 (0.11 - 0.16)","Walla_Walla_River"
"31","mainstem, BON to MCN","John Day River Mouth","0.0017 (0.00018 - 0.0053)","Deschutes_River"
"32","mainstem, BON to MCN","John Day River Mouth","0.0091 (0.0015 - 0.023)","Fifteenmile_Creek"
"33","mainstem, BON to MCN","John Day River Mouth","0.24 (0.22 - 0.27)","John_Day_River"
"34","mainstem, BON to MCN","John Day River Mouth","0.000079 (0.0000000000022 - 0.00037)","Umatilla_River"
"35","mainstem, BON to MCN","John Day River Mouth","0.00014 (0.00000000000008 - 0.00056)","Yakima_River"
"36","mainstem, BON to MCN","John Day River Mouth","0.000026 (0.000000000000000000000016 - 0.00021)","Walla_Walla_River"
"37","mainstem, BON to MCN","Hood River Mouth","0.0065 (0.0015 - 0.014)","Deschutes_River"
"38","mainstem, BON to MCN","Hood River Mouth","0.00027 (0.00000000000014 - 0.0014)","Fifteenmile_Creek"
"39","mainstem, BON to MCN","Hood River Mouth","0.0018 (0.00028 - 0.0047)","John_Day_River"
"40","mainstem, BON to MCN","Hood River Mouth","0.0071 (0.0029 - 0.013)","Umatilla_River"
"41","mainstem, BON to MCN","Hood River Mouth","0.0002 (0.00000000000039 - 0.0014)","Yakima_River"
"42","mainstem, BON to MCN","Hood River Mouth","0.000031 (0.000000000000000000000015 - 0.00014)","Walla_Walla_River"
"43","mainstem, BON to MCN","Fifteenmile Creek Mouth","0.00005 (0.000000000000027 - 0.00028)","Deschutes_River"
"44","mainstem, BON to MCN","Fifteenmile Creek Mouth","0.23 (0.18 - 0.28)","Fifteenmile_Creek"
"45","mainstem, BON to MCN","Fifteenmile Creek Mouth","0.000042 (0.000000000000064 - 0.00027)","John_Day_River"
"46","mainstem, BON to MCN","Fifteenmile Creek Mouth","0.000023 (0.000000000000016 - 0.00021)","Umatilla_River"
"47","mainstem, BON to MCN","Fifteenmile Creek Mouth","0.000087 (0.000000000000054 - 0.00054)","Yakima_River"
"48","mainstem, BON to MCN","Fifteenmile Creek Mouth","0.000022 (0.00000000000000000000000041 - 0.000068)","Walla_Walla_River"
"49","mainstem, BON to MCN","Umatilla River Mouth","0.00013 (0.000000000002 - 0.00072)","Deschutes_River"
"50","mainstem, BON to MCN","Umatilla River Mouth","0.0017 (0.000082 - 0.005)","Fifteenmile_Creek"
"51","mainstem, BON to MCN","Umatilla River Mouth","0.025 (0.021 - 0.031)","John_Day_River"
"52","mainstem, BON to MCN","Umatilla River Mouth","0.37 (0.35 - 0.4)","Umatilla_River"
"53","mainstem, BON to MCN","Umatilla River Mouth","0.00018 (0.000000000000067 - 0.0011)","Yakima_River"
"54","mainstem, BON to MCN","Umatilla River Mouth","0.000024 (0.000000000000000000002 - 0.00011)","Walla_Walla_River"
"55","mainstem, BON to MCN","BON to MCN other tributaries","0.00055 (0.000048 - 0.0016)","Deschutes_River"
"56","mainstem, BON to MCN","BON to MCN other tributaries","0.012 (0.0077 - 0.018)","Fifteenmile_Creek"
"57","mainstem, BON to MCN","BON to MCN other tributaries","0.001 (0.00041 - 0.0018)","John_Day_River"
"58","mainstem, BON to MCN","BON to MCN other tributaries","0.0027 (0.0014 - 0.0045)","Umatilla_River"
"59","mainstem, BON to MCN","BON to MCN other tributaries","0.0012 (0.000093 - 0.0039)","Yakima_River"
"60","mainstem, BON to MCN","BON to MCN other tributaries","0.00028 (0.000016 - 0.00087)","Walla_Walla_River"
"61","mainstem, BON to MCN","loss","0.33 (0.24 - 0.41)","Deschutes_River"
"62","mainstem, BON to MCN","loss","0.2 (0.16 - 0.24)","Fifteenmile_Creek"
"63","mainstem, BON to MCN","loss","0.17 (0.16 - 0.18)","John_Day_River"
"64","mainstem, BON to MCN","loss","0.1 (0.071 - 0.13)","Umatilla_River"
"65","mainstem, BON to MCN","loss","0.12 (0.097 - 0.14)","Yakima_River"
"66","mainstem, BON to MCN","loss","0.14 (0.13 - 0.15)","Walla_Walla_River"
"67","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.4 (0.18 - 0.69)","Deschutes_River"
"68","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.48 (0.37 - 0.59)","Fifteenmile_Creek"
"69","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.51 (0.5 - 0.53)","John_Day_River"
"70","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.48 (0.45 - 0.5)","Umatilla_River"
"71","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.0099 (0.0044 - 0.018)","Yakima_River"
"72","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.045 (0.039 - 0.05)","Walla_Walla_River"
"73","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.0073 (0.0000000000027 - 0.043)","Deschutes_River"
"74","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.0017 (0.0000000000084 - 0.01)","Fifteenmile_Creek"
"75","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.014 (0.01 - 0.018)","John_Day_River"
"76","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.021 (0.014 - 0.03)","Umatilla_River"
"77","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.14 (0.12 - 0.16)","Yakima_River"
"78","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.02 (0.017 - 0.024)","Walla_Walla_River"
"79","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.23 (0.053 - 0.47)","Deschutes_River"
"80","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.12 (0.058 - 0.22)","Fifteenmile_Creek"
"81","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.21 (0.2 - 0.23)","John_Day_River"
"82","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.19 (0.17 - 0.21)","Umatilla_River"
"83","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.035 (0.025 - 0.049)","Yakima_River"
"84","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.58 (0.56 - 0.59)","Walla_Walla_River"
"85","mainstem, MCN to ICH or PRA","Yakima River Mouth","0.0043 (0.000000000000011 - 0.029)","Deschutes_River"
"86","mainstem, MCN to ICH or PRA","Yakima River Mouth","0.0016 (0.0000000000047 - 0.0066)","Fifteenmile_Creek"
"87","mainstem, MCN to ICH or PRA","Yakima River Mouth","0.0012 (0.00029 - 0.0027)","John_Day_River"
"88","mainstem, MCN to ICH or PRA","Yakima River Mouth","0.0014 (0.000074 - 0.0042)","Umatilla_River"
"89","mainstem, MCN to ICH or PRA","Yakima River Mouth","0.8 (0.76 - 0.83)","Yakima_River"
"90","mainstem, MCN to ICH or PRA","Yakima River Mouth","0.00072 (0.00012 - 0.0019)","Walla_Walla_River"
"91","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","0.13 (0.00000000025 - 0.53)","Deschutes_River"
"92","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","0.037 (0.00094 - 0.13)","Fifteenmile_Creek"
"93","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","0.0076 (0.0038 - 0.012)","John_Day_River"
"94","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","0.012 (0.0057 - 0.02)","Umatilla_River"
"95","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","0.00016 (0.000000000011 - 0.00083)","Yakima_River"
"96","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","0.35 (0.29 - 0.38)","Walla_Walla_River"
"97","mainstem, MCN to ICH or PRA","loss","0.23 (0.000012 - 0.56)","Deschutes_River"
"98","mainstem, MCN to ICH or PRA","loss","0.36 (0.26 - 0.49)","Fifteenmile_Creek"
"99","mainstem, MCN to ICH or PRA","loss","0.26 (0.24 - 0.27)","John_Day_River"
"100","mainstem, MCN to ICH or PRA","loss","0.3 (0.27 - 0.32)","Umatilla_River"
"101","mainstem, MCN to ICH or PRA","loss","0.02 (0.000029 - 0.052)","Yakima_River"
"102","mainstem, MCN to ICH or PRA","loss","0.011 (0.000000023 - 0.067)","Walla_Walla_River"
"103","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.56 (0.0000000043 -   1)","Deschutes_River"
"104","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.54 (0.00000012 -   1)","Fifteenmile_Creek"
"105","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.52 (0.39 - 0.64)","John_Day_River"
"106","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.55 (0.38 - 0.73)","Umatilla_River"
"107","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.6 (0.52 - 0.68)","Yakima_River"
"108","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.53 (0.43 - 0.61)","Walla_Walla_River"
"109","mainstem, PRA to RIS","mainstem, RIS to RRE","0.35 (0.0000003 - 0.82)","Deschutes_River"
"110","mainstem, PRA to RIS","mainstem, RIS to RRE","0.37 (0.000000014 - 0.83)","Fifteenmile_Creek"
"111","mainstem, PRA to RIS","mainstem, RIS to RRE","0.38 (0.27 - 0.49)","John_Day_River"
"112","mainstem, PRA to RIS","mainstem, RIS to RRE","0.35 (0.21 - 0.52)","Umatilla_River"
"113","mainstem, PRA to RIS","mainstem, RIS to RRE","0.31 (0.25 - 0.38)","Yakima_River"
"114","mainstem, PRA to RIS","mainstem, RIS to RRE","0.37 (0.3 - 0.45)","Walla_Walla_River"
"115","mainstem, PRA to RIS","loss","0.089 (0.000000075 - 0.24)","Deschutes_River"
"116","mainstem, PRA to RIS","loss","0.097 (0.0000000035 - 0.26)","Fifteenmile_Creek"
"117","mainstem, PRA to RIS","loss","0.1 (0.064 - 0.14)","John_Day_River"
"118","mainstem, PRA to RIS","loss","0.093 (0.054 - 0.14)","Umatilla_River"
"119","mainstem, PRA to RIS","loss","0.083 (0.057 - 0.12)","Yakima_River"
"120","mainstem, PRA to RIS","loss","0.099 (0.066 - 0.14)","Walla_Walla_River"
"121","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.2 (0.0077 - 0.59)","Deschutes_River"
"122","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.29 (0.07 - 0.59)","Fifteenmile_Creek"
"123","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.27 (0.23 - 0.31)","John_Day_River"
"124","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.33 (0.27 - 0.38)","Umatilla_River"
"125","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.56 (0.4 - 0.71)","Yakima_River"
"126","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.26 (0.24 - 0.27)","Walla_Walla_River"
"127","mainstem, ICH to LGR","mainstem, upstream of LGR","0.37 (0.19 - 0.47)","Deschutes_River"
"128","mainstem, ICH to LGR","mainstem, upstream of LGR","0.33 (0.19 - 0.43)","Fifteenmile_Creek"
"129","mainstem, ICH to LGR","mainstem, upstream of LGR","0.34 (0.32 - 0.36)","John_Day_River"
"130","mainstem, ICH to LGR","mainstem, upstream of LGR","0.31 (0.28 - 0.34)","Umatilla_River"
"131","mainstem, ICH to LGR","mainstem, upstream of LGR","0.2 (0.13 - 0.28)","Yakima_River"
"132","mainstem, ICH to LGR","mainstem, upstream of LGR","0.34 (0.33 - 0.36)","Walla_Walla_River"
"133","mainstem, ICH to LGR","Tucannon River Mouth","0.14 (0.063 - 0.18)","Deschutes_River"
"134","mainstem, ICH to LGR","Tucannon River Mouth","0.12 (0.07 - 0.16)","Fifteenmile_Creek"
"135","mainstem, ICH to LGR","Tucannon River Mouth","0.12 (0.11 - 0.14)","John_Day_River"
"136","mainstem, ICH to LGR","Tucannon River Mouth","0.11 (0.096 - 0.13)","Umatilla_River"
"137","mainstem, ICH to LGR","Tucannon River Mouth","0.074 (0.049 - 0.11)","Yakima_River"
"138","mainstem, ICH to LGR","Tucannon River Mouth","0.13 (0.11 - 0.14)","Walla_Walla_River"
"139","mainstem, ICH to LGR","loss","0.29 (0.15 - 0.37)","Deschutes_River"
"140","mainstem, ICH to LGR","loss","0.26 (0.15 - 0.34)","Fifteenmile_Creek"
"141","mainstem, ICH to LGR","loss","0.27 (0.24 - 0.29)","John_Day_River"
"142","mainstem, ICH to LGR","loss","0.25 (0.22 - 0.28)","Umatilla_River"
"143","mainstem, ICH to LGR","loss","0.16 (0.1 - 0.22)","Yakima_River"
"144","mainstem, ICH to LGR","loss","0.27 (0.25 - 0.29)","Walla_Walla_River"
"145","Deschutes River Mouth","mainstem, BON to MCN","0.00037 (0.00000000013 - 0.0019)","Deschutes_River"
"146","Deschutes River Mouth","mainstem, BON to MCN","0.26 (0.18 - 0.36)","Fifteenmile_Creek"
"147","Deschutes River Mouth","mainstem, BON to MCN","0.64 (0.57 - 0.7)","John_Day_River"
"148","Deschutes River Mouth","mainstem, BON to MCN","0.49 (0.43 - 0.57)","Umatilla_River"
"149","Deschutes River Mouth","mainstem, BON to MCN","0.95 (0.88 - 0.99)","Yakima_River"
"150","Deschutes River Mouth","mainstem, BON to MCN","0.81 (0.73 - 0.87)","Walla_Walla_River"
"151","Deschutes River Mouth","loss","  1 (  1 -   1)","Deschutes_River"
"152","Deschutes River Mouth","loss","0.74 (0.64 - 0.82)","Fifteenmile_Creek"
"153","Deschutes River Mouth","loss","0.36 (0.3 - 0.43)","John_Day_River"
"154","Deschutes River Mouth","loss","0.51 (0.43 - 0.57)","Umatilla_River"
"155","Deschutes River Mouth","loss","0.051 (0.0089 - 0.12)","Yakima_River"
"156","Deschutes River Mouth","loss","0.19 (0.13 - 0.27)","Walla_Walla_River"
"157","Deschutes River Upstream","mainstem, BON to MCN","0.00037 (0.00000000013 - 0.0019)","Deschutes_River"
"158","Deschutes River Upstream","mainstem, BON to MCN","0.26 (0.18 - 0.36)","Fifteenmile_Creek"
"159","Deschutes River Upstream","mainstem, BON to MCN","0.64 (0.57 - 0.7)","John_Day_River"
"160","Deschutes River Upstream","mainstem, BON to MCN","0.49 (0.43 - 0.57)","Umatilla_River"
"161","Deschutes River Upstream","mainstem, BON to MCN","0.95 (0.88 - 0.99)","Yakima_River"
"162","Deschutes River Upstream","mainstem, BON to MCN","0.81 (0.73 - 0.87)","Walla_Walla_River"
"163","Deschutes River Upstream","loss","  1 (  1 -   1)","Deschutes_River"
"164","Deschutes River Upstream","loss","0.74 (0.64 - 0.82)","Fifteenmile_Creek"
"165","Deschutes River Upstream","loss","0.36 (0.3 - 0.43)","John_Day_River"
"166","Deschutes River Upstream","loss","0.51 (0.43 - 0.57)","Umatilla_River"
"167","Deschutes River Upstream","loss","0.051 (0.0089 - 0.12)","Yakima_River"
"168","Deschutes River Upstream","loss","0.19 (0.13 - 0.27)","Walla_Walla_River"
"169","John Day River Mouth","mainstem, BON to MCN","0.048 (0.00000000000014 - 0.34)","Deschutes_River"
"170","John Day River Mouth","mainstem, BON to MCN","0.012 (0.000000000000098 - 0.065)","Fifteenmile_Creek"
"171","John Day River Mouth","mainstem, BON to MCN","0.0014 (0.000069 - 0.0037)","John_Day_River"
"172","John Day River Mouth","mainstem, BON to MCN","0.037 (0.0000000000000071 - 0.17)","Umatilla_River"
"173","John Day River Mouth","mainstem, BON to MCN","0.21 (0.000000000004 -   1)","Yakima_River"
"174","John Day River Mouth","mainstem, BON to MCN","0.46 (0.0000000000000000036 -   1)","Walla_Walla_River"
"175","John Day River Mouth","loss","0.95 (0.66 -   1)","Deschutes_River"
"176","John Day River Mouth","loss","0.99 (0.94 -   1)","Fifteenmile_Creek"
"177","John Day River Mouth","loss","  1 (  1 -   1)","John_Day_River"
"178","John Day River Mouth","loss","0.96 (0.83 -   1)","Umatilla_River"
"179","John Day River Mouth","loss","0.79 (0.00016 -   1)","Yakima_River"
"180","John Day River Mouth","loss","0.54 (0 -   1)","Walla_Walla_River"
"181","Hood River Mouth","mainstem, BON to MCN","0.35 (0.069 - 0.74)","Deschutes_River"
"182","Hood River Mouth","mainstem, BON to MCN","0.64 (0.000012 -   1)","Fifteenmile_Creek"
"183","Hood River Mouth","mainstem, BON to MCN","0.97 (0.78 -   1)","John_Day_River"
"184","Hood River Mouth","mainstem, BON to MCN","0.99 (0.96 -   1)","Umatilla_River"
"185","Hood River Mouth","mainstem, BON to MCN","0.66 (0.0000018 -   1)","Yakima_River"
"186","Hood River Mouth","mainstem, BON to MCN","0.53 (0.00000000000000014 -   1)","Walla_Walla_River"
"187","Hood River Mouth","loss","0.65 (0.26 - 0.93)","Deschutes_River"
"188","Hood River Mouth","loss","0.36 (0.000000000011 -   1)","Fifteenmile_Creek"
"189","Hood River Mouth","loss","0.033 (0.00000000028 - 0.22)","John_Day_River"
"190","Hood River Mouth","loss","0.0085 (0.000000000048 - 0.044)","Umatilla_River"
"191","Hood River Mouth","loss","0.34 (0.0000000000025 -   1)","Yakima_River"
"192","Hood River Mouth","loss","0.47 (0 -   1)","Walla_Walla_River"
"193","Fifteenmile Creek Mouth","mainstem, BON to MCN","0.29 (0.000000000000071 -   1)","Deschutes_River"
"194","Fifteenmile Creek Mouth","mainstem, BON to MCN","0.00061 (0.00000000000000076 - 0.0025)","Fifteenmile_Creek"
"195","Fifteenmile Creek Mouth","mainstem, BON to MCN","0.31 (0.00000000000031 -   1)","John_Day_River"
"196","Fifteenmile Creek Mouth","mainstem, BON to MCN","0.26 (0.00000000000064 -   1)","Umatilla_River"
"197","Fifteenmile Creek Mouth","mainstem, BON to MCN","0.25 (0.00000000000033 -   1)","Yakima_River"
"198","Fifteenmile Creek Mouth","mainstem, BON to MCN","0.48 (0.00000000000000042 -   1)","Walla_Walla_River"
"199","Fifteenmile Creek Mouth","loss","0.71 (0.00000033 -   1)","Deschutes_River"
"200","Fifteenmile Creek Mouth","loss","  1 (  1 -   1)","Fifteenmile_Creek"
"201","Fifteenmile Creek Mouth","loss","0.69 (0.0000026 -   1)","John_Day_River"
"202","Fifteenmile Creek Mouth","loss","0.74 (0.0000065 -   1)","Umatilla_River"
"203","Fifteenmile Creek Mouth","loss","0.75 (0.0000031 -   1)","Yakima_River"
"204","Fifteenmile Creek Mouth","loss","0.52 (0.0000000000000012 -   1)","Walla_Walla_River"
"205","Umatilla River Mouth","mainstem, BON to MCN","0.34 (0.000000000028 -   1)","Deschutes_River"
"206","Umatilla River Mouth","mainstem, BON to MCN","0.045 (0.00000000017 - 0.34)","Fifteenmile_Creek"
"207","Umatilla River Mouth","mainstem, BON to MCN","0.067 (0.028 - 0.12)","John_Day_River"
"208","Umatilla River Mouth","mainstem, BON to MCN","0.0016 (0.000082 - 0.0044)","Umatilla_River"
"209","Umatilla River Mouth","mainstem, BON to MCN","0.35 (0.000000011 -   1)","Yakima_River"
"210","Umatilla River Mouth","mainstem, BON to MCN","0.58 (0.000000000000011 -   1)","Walla_Walla_River"
"211","Umatilla River Mouth","loss","0.66 (0.00000019 -   1)","Deschutes_River"
"212","Umatilla River Mouth","loss","0.95 (0.66 -   1)","Fifteenmile_Creek"
"213","Umatilla River Mouth","loss","0.93 (0.88 - 0.97)","John_Day_River"
"214","Umatilla River Mouth","loss","  1 (  1 -   1)","Umatilla_River"
"215","Umatilla River Mouth","loss","0.65 (0.0000012 -   1)","Yakima_River"
"216","Umatilla River Mouth","loss","0.42 (0.00000000000000021 -   1)","Walla_Walla_River"
"217","Umatilla River Upstream","mainstem, BON to MCN","0.34 (0.000000000028 -   1)","Deschutes_River"
"218","Umatilla River Upstream","mainstem, BON to MCN","0.045 (0.00000000017 - 0.34)","Fifteenmile_Creek"
"219","Umatilla River Upstream","mainstem, BON to MCN","0.067 (0.028 - 0.12)","John_Day_River"
"220","Umatilla River Upstream","mainstem, BON to MCN","0.0016 (0.000082 - 0.0044)","Umatilla_River"
"221","Umatilla River Upstream","mainstem, BON to MCN","0.35 (0.000000011 -   1)","Yakima_River"
"222","Umatilla River Upstream","mainstem, BON to MCN","0.58 (0.000000000000011 -   1)","Walla_Walla_River"
"223","Umatilla River Upstream","loss","0.66 (0.00000019 -   1)","Deschutes_River"
"224","Umatilla River Upstream","loss","0.95 (0.66 -   1)","Fifteenmile_Creek"
"225","Umatilla River Upstream","loss","0.93 (0.88 - 0.97)","John_Day_River"
"226","Umatilla River Upstream","loss","  1 (  1 -   1)","Umatilla_River"
"227","Umatilla River Upstream","loss","0.65 (0.0000012 -   1)","Yakima_River"
"228","Umatilla River Upstream","loss","0.42 (0.00000000000000021 -   1)","Walla_Walla_River"
"229","Yakima River Mouth","mainstem, MCN to ICH or PRA","0.24 (0.0000000000038 -   1)","Deschutes_River"
"230","Yakima River Mouth","mainstem, MCN to ICH or PRA","0.27 (0.00000000000092 -   1)","Fifteenmile_Creek"
"231","Yakima River Mouth","mainstem, MCN to ICH or PRA","0.023 (0.00000000000064 - 0.17)","John_Day_River"
"232","Yakima River Mouth","mainstem, MCN to ICH or PRA","0.05 (0.00000000000072 - 0.29)","Umatilla_River"
"233","Yakima River Mouth","mainstem, MCN to ICH or PRA","0.0044 (0.00077 - 0.011)","Yakima_River"
"234","Yakima River Mouth","mainstem, MCN to ICH or PRA","0.48 (0.046 - 0.94)","Walla_Walla_River"
"235","Yakima River Mouth","loss","0.76 (0.000016 -   1)","Deschutes_River"
"236","Yakima River Mouth","loss","0.73 (0.000048 -   1)","Fifteenmile_Creek"
"237","Yakima River Mouth","loss","0.98 (0.83 -   1)","John_Day_River"
"238","Yakima River Mouth","loss","0.95 (0.71 -   1)","Umatilla_River"
"239","Yakima River Mouth","loss","  1 (0.99 -   1)","Yakima_River"
"240","Yakima River Mouth","loss","0.52 (0.061 - 0.95)","Walla_Walla_River"
"241","Walla Walla River Mouth","mainstem, MCN to ICH or PRA","0.43 (0.000000017 -   1)","Deschutes_River"
"242","Walla Walla River Mouth","mainstem, MCN to ICH or PRA","0.071 (0.0000000001 - 0.42)","Fifteenmile_Creek"
"243","Walla Walla River Mouth","mainstem, MCN to ICH or PRA","0.41 (0.17 - 0.67)","John_Day_River"
"244","Walla Walla River Mouth","mainstem, MCN to ICH or PRA","0.56 (0.26 - 0.82)","Umatilla_River"
"245","Walla Walla River Mouth","mainstem, MCN to ICH or PRA","0.51 (0.0000000067 -   1)","Yakima_River"
