"","from","to","probability","origin"
"1","mainstem, mouth to BON","mainstem, BON to MCN","0.92 (0.81 - 0.98)","Deschutes_River"
"2","mainstem, mouth to BON","mainstem, BON to MCN","0.99 (0.96 -   1)","Fifteenmile_Creek"
"3","mainstem, mouth to BON","mainstem, BON to MCN","0.96 (0.92 - 0.99)","John_Day_River"
"4","mainstem, mouth to BON","mainstem, BON to MCN","0.95 (0.89 - 0.99)","Umatilla_River"
"5","mainstem, mouth to BON","mainstem, BON to MCN","  1 (0.98 -   1)","Yakima_River"
"6","mainstem, mouth to BON","mainstem, BON to MCN","0.97 (0.93 - 0.99)","Walla_Walla_River"
"7","mainstem, mouth to BON","loss","0.082 (0.019 - 0.19)","Deschutes_River"
"8","mainstem, mouth to BON","loss","0.0065 (0.000000000011 - 0.042)","Fifteenmile_Creek"
"9","mainstem, mouth to BON","loss","0.036 (0.005 - 0.081)","John_Day_River"
"10","mainstem, mouth to BON","loss","0.048 (0.01 - 0.11)","Umatilla_River"
"11","mainstem, mouth to BON","loss","0.0047 (0.000000000037 - 0.022)","Yakima_River"
"12","mainstem, mouth to BON","loss","0.028 (0.0055 - 0.072)","Walla_Walla_River"
"13","mainstem, BON to MCN","mainstem, mouth to BON","0.021 (0.013 - 0.031)","Deschutes_River"
"14","mainstem, BON to MCN","mainstem, mouth to BON","0.02 (0.0084 - 0.034)","Fifteenmile_Creek"
"15","mainstem, BON to MCN","mainstem, mouth to BON","0.011 (0.0077 - 0.013)","John_Day_River"
"16","mainstem, BON to MCN","mainstem, mouth to BON","0.016 (0.01 - 0.023)","Umatilla_River"
"17","mainstem, BON to MCN","mainstem, mouth to BON","0.0075 (0.0032 - 0.016)","Yakima_River"
"18","mainstem, BON to MCN","mainstem, mouth to BON","0.017 (0.013 - 0.021)","Walla_Walla_River"
"19","mainstem, BON to MCN","mainstem, MCN to ICH or PRA","0.0091 (0.0048 - 0.014)","Deschutes_River"
"20","mainstem, BON to MCN","mainstem, MCN to ICH or PRA","0.16 (0.13 - 0.19)","Fifteenmile_Creek"
"21","mainstem, BON to MCN","mainstem, MCN to ICH or PRA","0.58 (0.56 - 0.6)","John_Day_River"
"22","mainstem, BON to MCN","mainstem, MCN to ICH or PRA","0.67 (0.62 - 0.72)","Umatilla_River"
"23","mainstem, BON to MCN","mainstem, MCN to ICH or PRA","0.84 (0.82 - 0.87)","Yakima_River"
"24","mainstem, BON to MCN","mainstem, MCN to ICH or PRA","0.82 (0.81 - 0.83)","Walla_Walla_River"
"25","mainstem, BON to MCN","Deschutes River Mouth","0.075 (0.063 - 0.087)","Deschutes_River"
"26","mainstem, BON to MCN","Deschutes River Mouth","0.0075 (0.0023 - 0.014)","Fifteenmile_Creek"
"27","mainstem, BON to MCN","Deschutes River Mouth","0.0013 (0.0006 - 0.0022)","John_Day_River"
"28","mainstem, BON to MCN","Deschutes River Mouth","0.0012 (0.00029 - 0.0025)","Umatilla_River"
"29","mainstem, BON to MCN","Deschutes River Mouth","0.0021 (0.00041 - 0.0052)","Yakima_River"
"30","mainstem, BON to MCN","Deschutes River Mouth","0.0002 (0.000014 - 0.00056)","Walla_Walla_River"
"31","mainstem, BON to MCN","Deschutes River Upstream","0.075 (0.063 - 0.087)","Deschutes_River"
"32","mainstem, BON to MCN","Deschutes River Upstream","0.0075 (0.0023 - 0.014)","Fifteenmile_Creek"
"33","mainstem, BON to MCN","Deschutes River Upstream","0.0013 (0.0006 - 0.0022)","John_Day_River"
"34","mainstem, BON to MCN","Deschutes River Upstream","0.0012 (0.00029 - 0.0025)","Umatilla_River"
"35","mainstem, BON to MCN","Deschutes River Upstream","0.0021 (0.00041 - 0.0052)","Yakima_River"
"36","mainstem, BON to MCN","Deschutes River Upstream","0.0002 (0.000014 - 0.00056)","Walla_Walla_River"
"37","mainstem, BON to MCN","John Day River Mouth","0.000098 (0.0000000000007 - 0.00065)","Deschutes_River"
"38","mainstem, BON to MCN","John Day River Mouth","0.0021 (0.00003 - 0.006)","Fifteenmile_Creek"
"39","mainstem, BON to MCN","John Day River Mouth","0.072 (0.067 - 0.078)","John_Day_River"
"40","mainstem, BON to MCN","John Day River Mouth","0.00059 (0.000019 - 0.0019)","Umatilla_River"
"41","mainstem, BON to MCN","John Day River Mouth","0.000089 (0.0000000000047 - 0.00056)","Yakima_River"
"42","mainstem, BON to MCN","John Day River Mouth","0.0000091 (0.0000000000000000000000028 - 0.00004)","Walla_Walla_River"
"43","mainstem, BON to MCN","John Day River Upstream","0.000098 (0.0000000000007 - 0.00065)","Deschutes_River"
"44","mainstem, BON to MCN","John Day River Upstream","0.0021 (0.00003 - 0.006)","Fifteenmile_Creek"
"45","mainstem, BON to MCN","John Day River Upstream","0.072 (0.067 - 0.078)","John_Day_River"
"46","mainstem, BON to MCN","John Day River Upstream","0.00059 (0.000019 - 0.0019)","Umatilla_River"
"47","mainstem, BON to MCN","John Day River Upstream","0.000089 (0.0000000000047 - 0.00056)","Yakima_River"
"48","mainstem, BON to MCN","John Day River Upstream","0.0000091 (0.0000000000000000000000028 - 0.00004)","Walla_Walla_River"
"49","mainstem, BON to MCN","Hood River Mouth","0.00003 (0.0000000000000063 - 0.0002)","Deschutes_River"
"50","mainstem, BON to MCN","Hood River Mouth","0.000075 (0.00000000000000074 - 0.0004)","Fifteenmile_Creek"
"51","mainstem, BON to MCN","Hood River Mouth","0.0000066 (0.000000000000000027 - 0.000018)","John_Day_River"
"52","mainstem, BON to MCN","Hood River Mouth","0.000029 (0.000000000000000011 - 0.00012)","Umatilla_River"
"53","mainstem, BON to MCN","Hood River Mouth","0.000036 (0.0000000000000000044 - 0.000096)","Yakima_River"
"54","mainstem, BON to MCN","Hood River Mouth","0.0000076 (0.0000000000000000000094 - 0.000056)","Walla_Walla_River"
"55","mainstem, BON to MCN","Hood River Upstream","0.00003 (0.0000000000000063 - 0.0002)","Deschutes_River"
"56","mainstem, BON to MCN","Hood River Upstream","0.000075 (0.00000000000000074 - 0.0004)","Fifteenmile_Creek"
"57","mainstem, BON to MCN","Hood River Upstream","0.0000066 (0.000000000000000027 - 0.000018)","John_Day_River"
"58","mainstem, BON to MCN","Hood River Upstream","0.000029 (0.000000000000000011 - 0.00012)","Umatilla_River"
"59","mainstem, BON to MCN","Hood River Upstream","0.000036 (0.0000000000000000044 - 0.000096)","Yakima_River"
"60","mainstem, BON to MCN","Hood River Upstream","0.0000076 (0.0000000000000000000094 - 0.000056)","Walla_Walla_River"
"61","mainstem, BON to MCN","Fifteenmile Creek Mouth","0.00006 (0.000000000000017 - 0.00033)","Deschutes_River"
"62","mainstem, BON to MCN","Fifteenmile Creek Mouth","0.0041 (0.00072 - 0.011)","Fifteenmile_Creek"
"63","mainstem, BON to MCN","Fifteenmile Creek Mouth","0.0000086 (0.00000000000000091 - 0.000051)","John_Day_River"
"64","mainstem, BON to MCN","Fifteenmile Creek Mouth","0.000043 (0.0000000000000065 - 0.00026)","Umatilla_River"
"65","mainstem, BON to MCN","Fifteenmile Creek Mouth","0.000041 (0.0000000000000037 - 0.00019)","Yakima_River"
"66","mainstem, BON to MCN","Fifteenmile Creek Mouth","0.0000064 (0.00000000000000000000011 - 0.000029)","Walla_Walla_River"
"67","mainstem, BON to MCN","Fifteenmile Creek Upstream","0.00006 (0.000000000000017 - 0.00033)","Deschutes_River"
"68","mainstem, BON to MCN","Fifteenmile Creek Upstream","0.0041 (0.00072 - 0.011)","Fifteenmile_Creek"
"69","mainstem, BON to MCN","Fifteenmile Creek Upstream","0.0000086 (0.00000000000000091 - 0.000051)","John_Day_River"
"70","mainstem, BON to MCN","Fifteenmile Creek Upstream","0.000043 (0.0000000000000065 - 0.00026)","Umatilla_River"
"71","mainstem, BON to MCN","Fifteenmile Creek Upstream","0.000041 (0.0000000000000037 - 0.00019)","Yakima_River"
"72","mainstem, BON to MCN","Fifteenmile Creek Upstream","0.0000064 (0.00000000000000000000011 - 0.000029)","Walla_Walla_River"
"73","mainstem, BON to MCN","Umatilla River Mouth","0.000083 (0.0000000000053 - 0.00046)","Deschutes_River"
"74","mainstem, BON to MCN","Umatilla River Mouth","0.00022 (0.00000000000095 - 0.0014)","Fifteenmile_Creek"
"75","mainstem, BON to MCN","Umatilla River Mouth","0.0021 (0.00097 - 0.0035)","John_Day_River"
"76","mainstem, BON to MCN","Umatilla River Mouth","0.047 (0.038 - 0.058)","Umatilla_River"
"77","mainstem, BON to MCN","Umatilla River Mouth","0.00005 (0.0000000000012 - 0.00025)","Yakima_River"
"78","mainstem, BON to MCN","Umatilla River Mouth","0.0000048 (0.00000000000000000000008 - 0.000026)","Walla_Walla_River"
"79","mainstem, BON to MCN","Umatilla River Upstream","0.000083 (0.0000000000053 - 0.00046)","Deschutes_River"
"80","mainstem, BON to MCN","Umatilla River Upstream","0.00022 (0.00000000000095 - 0.0014)","Fifteenmile_Creek"
"81","mainstem, BON to MCN","Umatilla River Upstream","0.0021 (0.00097 - 0.0035)","John_Day_River"
"82","mainstem, BON to MCN","Umatilla River Upstream","0.047 (0.038 - 0.058)","Umatilla_River"
"83","mainstem, BON to MCN","Umatilla River Upstream","0.00005 (0.0000000000012 - 0.00025)","Yakima_River"
"84","mainstem, BON to MCN","Umatilla River Upstream","0.0000048 (0.00000000000000000000008 - 0.000026)","Walla_Walla_River"
"85","mainstem, BON to MCN","BON to MCN other tributaries","0.0014 (0.00012 - 0.0043)","Deschutes_River"
"86","mainstem, BON to MCN","BON to MCN other tributaries","0.047 (0.03 - 0.069)","Fifteenmile_Creek"
"87","mainstem, BON to MCN","BON to MCN other tributaries","0.0015 (0.00061 - 0.0028)","John_Day_River"
"88","mainstem, BON to MCN","BON to MCN other tributaries","0.0059 (0.003 - 0.0096)","Umatilla_River"
"89","mainstem, BON to MCN","BON to MCN other tributaries","0.0015 (0.00011 - 0.0046)","Yakima_River"
"90","mainstem, BON to MCN","BON to MCN other tributaries","0.00032 (0.000019 - 0.001)","Walla_Walla_River"
"91","mainstem, BON to MCN","loss","0.82 (0.79 - 0.84)","Deschutes_River"
"92","mainstem, BON to MCN","loss","0.75 (0.71 - 0.78)","Fifteenmile_Creek"
"93","mainstem, BON to MCN","loss","0.26 (0.24 - 0.27)","John_Day_River"
"94","mainstem, BON to MCN","loss","0.21 (0.16 - 0.26)","Umatilla_River"
"95","mainstem, BON to MCN","loss","0.14 (0.12 - 0.17)","Yakima_River"
"96","mainstem, BON to MCN","loss","0.17 (0.15 - 0.18)","Walla_Walla_River"
"97","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.48 (0.21 - 0.82)","Deschutes_River"
"98","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.5 (0.38 - 0.62)","Fifteenmile_Creek"
"99","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.52 (0.5 - 0.53)","John_Day_River"
"100","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.48 (0.46 - 0.51)","Umatilla_River"
"101","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.049 (0.022 - 0.085)","Yakima_River"
"102","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.069 (0.059 - 0.077)","Walla_Walla_River"
"103","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.0081 (0.0000000000028 - 0.057)","Deschutes_River"
"104","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.0018 (0.0000000000085 - 0.01)","Fifteenmile_Creek"
"105","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.014 (0.01 - 0.019)","John_Day_River"
"106","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.021 (0.014 - 0.031)","Umatilla_River"
"107","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.68 (0.56 - 0.79)","Yakima_River"
"108","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.031 (0.026 - 0.037)","Walla_Walla_River"
"109","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.28 (0.059 - 0.6)","Deschutes_River"
"110","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.13 (0.058 - 0.23)","Fifteenmile_Creek"
"111","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.21 (0.2 - 0.23)","John_Day_River"
"112","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.19 (0.18 - 0.22)","Umatilla_River"
"113","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.17 (0.12 - 0.24)","Yakima_River"
"114","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.88 (0.81 - 0.91)","Walla_Walla_River"
"115","mainstem, MCN to ICH or PRA","Yakima River Mouth","0.0015 (0.000000000000000091 - 0.0058)","Deschutes_River"
"116","mainstem, MCN to ICH or PRA","Yakima River Mouth","0.00026 (0.0000000000000006 - 0.0013)","Fifteenmile_Creek"
"117","mainstem, MCN to ICH or PRA","Yakima River Mouth","0.000026 (0.0000000000000006 - 0.00013)","John_Day_River"
"118","mainstem, MCN to ICH or PRA","Yakima River Mouth","0.000051 (0.0000000000000035 - 0.00026)","Umatilla_River"
"119","mainstem, MCN to ICH or PRA","Yakima River Mouth","0.00032 (0.00000000000000034 - 0.0016)","Yakima_River"
"120","mainstem, MCN to ICH or PRA","Yakima River Mouth","0.0000067 (0.000000000000000000000049 - 0.000017)","Walla_Walla_River"
"121","mainstem, MCN to ICH or PRA","Yakima River Upstream","0.0015 (0.000000000000000091 - 0.0058)","Deschutes_River"
"122","mainstem, MCN to ICH or PRA","Yakima River Upstream","0.00026 (0.0000000000000006 - 0.0013)","Fifteenmile_Creek"
"123","mainstem, MCN to ICH or PRA","Yakima River Upstream","0.000026 (0.0000000000000006 - 0.00013)","John_Day_River"
"124","mainstem, MCN to ICH or PRA","Yakima River Upstream","0.000051 (0.0000000000000035 - 0.00026)","Umatilla_River"
"125","mainstem, MCN to ICH or PRA","Yakima River Upstream","0.00032 (0.00000000000000034 - 0.0016)","Yakima_River"
"126","mainstem, MCN to ICH or PRA","Yakima River Upstream","0.0000067 (0.000000000000000000000049 - 0.000017)","Walla_Walla_River"
"127","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","0.0017 (0.000000000000000061 - 0.0052)","Deschutes_River"
"128","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","0.00049 (0.00000000000000025 - 0.0022)","Fifteenmile_Creek"
"129","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","0.000019 (0.000000000000000039 - 0.00011)","John_Day_River"
"130","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","0.000019 (0.00000000000000089 - 0.000078)","Umatilla_River"
"131","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","0.00021 (0.00000000000000025 - 0.0011)","Yakima_River"
"132","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","0.000013 (0.00000000000000000000000002 - 0.000048)","Walla_Walla_River"
"133","mainstem, MCN to ICH or PRA","Walla Walla River Upstream","0.0017 (0.000000000000000061 - 0.0052)","Deschutes_River"
"134","mainstem, MCN to ICH or PRA","Walla Walla River Upstream","0.00049 (0.00000000000000025 - 0.0022)","Fifteenmile_Creek"
"135","mainstem, MCN to ICH or PRA","Walla Walla River Upstream","0.000019 (0.000000000000000039 - 0.00011)","John_Day_River"
"136","mainstem, MCN to ICH or PRA","Walla Walla River Upstream","0.000019 (0.00000000000000089 - 0.000078)","Umatilla_River"
"137","mainstem, MCN to ICH or PRA","Walla Walla River Upstream","0.00021 (0.00000000000000025 - 0.0011)","Yakima_River"
"138","mainstem, MCN to ICH or PRA","Walla Walla River Upstream","0.000013 (0.00000000000000000000000002 - 0.000048)","Walla_Walla_River"
"139","mainstem, MCN to ICH or PRA","loss","0.23 (0.000037 - 0.56)","Deschutes_River"
"140","mainstem, MCN to ICH or PRA","loss","0.37 (0.27 - 0.51)","Fifteenmile_Creek"
"141","mainstem, MCN to ICH or PRA","loss","0.26 (0.24 - 0.27)","John_Day_River"
"142","mainstem, MCN to ICH or PRA","loss","0.3 (0.27 - 0.32)","Umatilla_River"
"143","mainstem, MCN to ICH or PRA","loss","0.091 (0.00017 - 0.23)","Yakima_River"
"144","mainstem, MCN to ICH or PRA","loss","0.016 (0.000000035 - 0.096)","Walla_Walla_River"
"145","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.56 (0.0000000043 -   1)","Deschutes_River"
"146","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.54 (0.00000012 -   1)","Fifteenmile_Creek"
"147","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.52 (0.39 - 0.64)","John_Day_River"
"148","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.55 (0.38 - 0.73)","Umatilla_River"
"149","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.6 (0.52 - 0.68)","Yakima_River"
"150","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.53 (0.43 - 0.61)","Walla_Walla_River"
"151","mainstem, PRA to RIS","mainstem, RIS to RRE","0.35 (0.0000003 - 0.82)","Deschutes_River"
"152","mainstem, PRA to RIS","mainstem, RIS to RRE","0.37 (0.000000014 - 0.83)","Fifteenmile_Creek"
"153","mainstem, PRA to RIS","mainstem, RIS to RRE","0.38 (0.27 - 0.49)","John_Day_River"
"154","mainstem, PRA to RIS","mainstem, RIS to RRE","0.35 (0.21 - 0.52)","Umatilla_River"
"155","mainstem, PRA to RIS","mainstem, RIS to RRE","0.31 (0.25 - 0.38)","Yakima_River"
"156","mainstem, PRA to RIS","mainstem, RIS to RRE","0.37 (0.3 - 0.45)","Walla_Walla_River"
"157","mainstem, PRA to RIS","loss","0.089 (0.000000075 - 0.24)","Deschutes_River"
"158","mainstem, PRA to RIS","loss","0.097 (0.0000000035 - 0.26)","Fifteenmile_Creek"
"159","mainstem, PRA to RIS","loss","0.1 (0.064 - 0.14)","John_Day_River"
"160","mainstem, PRA to RIS","loss","0.093 (0.054 - 0.14)","Umatilla_River"
"161","mainstem, PRA to RIS","loss","0.083 (0.057 - 0.12)","Yakima_River"
"162","mainstem, PRA to RIS","loss","0.099 (0.066 - 0.14)","Walla_Walla_River"
"163","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.22 (0.0086 - 0.62)","Deschutes_River"
"164","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.3 (0.075 - 0.61)","Fifteenmile_Creek"
"165","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.29 (0.25 - 0.33)","John_Day_River"
"166","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.35 (0.29 - 0.4)","Umatilla_River"
"167","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.59 (0.42 - 0.73)","Yakima_River"
"168","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.28 (0.26 - 0.3)","Walla_Walla_River"
"169","mainstem, ICH to LGR","mainstem, upstream of LGR","0.4 (0.2 - 0.52)","Deschutes_River"
"170","mainstem, ICH to LGR","mainstem, upstream of LGR","0.36 (0.2 - 0.47)","Fifteenmile_Creek"
"171","mainstem, ICH to LGR","mainstem, upstream of LGR","0.36 (0.34 - 0.39)","John_Day_River"
"172","mainstem, ICH to LGR","mainstem, upstream of LGR","0.33 (0.3 - 0.36)","Umatilla_River"
"173","mainstem, ICH to LGR","mainstem, upstream of LGR","0.21 (0.14 - 0.29)","Yakima_River"
"174","mainstem, ICH to LGR","mainstem, upstream of LGR","0.37 (0.36 - 0.39)","Walla_Walla_River"
"175","mainstem, ICH to LGR","Tucannon River Mouth","0.031 (0.014 - 0.042)","Deschutes_River"
"176","mainstem, ICH to LGR","Tucannon River Mouth","0.027 (0.016 - 0.039)","Fifteenmile_Creek"
"177","mainstem, ICH to LGR","Tucannon River Mouth","0.028 (0.023 - 0.032)","John_Day_River"
"178","mainstem, ICH to LGR","Tucannon River Mouth","0.025 (0.021 - 0.03)","Umatilla_River"
"179","mainstem, ICH to LGR","Tucannon River Mouth","0.016 (0.01 - 0.024)","Yakima_River"
"180","mainstem, ICH to LGR","Tucannon River Mouth","0.028 (0.024 - 0.033)","Walla_Walla_River"
"181","mainstem, ICH to LGR","Tucannon River Upstream","0.031 (0.014 - 0.042)","Deschutes_River"
"182","mainstem, ICH to LGR","Tucannon River Upstream","0.027 (0.016 - 0.039)","Fifteenmile_Creek"
"183","mainstem, ICH to LGR","Tucannon River Upstream","0.028 (0.023 - 0.032)","John_Day_River"
"184","mainstem, ICH to LGR","Tucannon River Upstream","0.025 (0.021 - 0.03)","Umatilla_River"
"185","mainstem, ICH to LGR","Tucannon River Upstream","0.016 (0.01 - 0.024)","Yakima_River"
"186","mainstem, ICH to LGR","Tucannon River Upstream","0.028 (0.024 - 0.033)","Walla_Walla_River"
"187","mainstem, ICH to LGR","loss","0.32 (0.16 - 0.41)","Deschutes_River"
"188","mainstem, ICH to LGR","loss","0.28 (0.16 - 0.37)","Fifteenmile_Creek"
"189","mainstem, ICH to LGR","loss","0.29 (0.26 - 0.31)","John_Day_River"
"190","mainstem, ICH to LGR","loss","0.26 (0.24 - 0.29)","Umatilla_River"
"191","mainstem, ICH to LGR","loss","0.17 (0.11 - 0.24)","Yakima_River"
"192","mainstem, ICH to LGR","loss","0.29 (0.28 - 0.31)","Walla_Walla_River"
"193","Deschutes River Mouth","mainstem, BON to MCN","0.00037 (0.00000000013 - 0.0019)","Deschutes_River"
"194","Deschutes River Mouth","mainstem, BON to MCN","0.26 (0.18 - 0.36)","Fifteenmile_Creek"
"195","Deschutes River Mouth","mainstem, BON to MCN","0.64 (0.57 - 0.7)","John_Day_River"
"196","Deschutes River Mouth","mainstem, BON to MCN","0.49 (0.43 - 0.57)","Umatilla_River"
"197","Deschutes River Mouth","mainstem, BON to MCN","0.95 (0.88 - 0.99)","Yakima_River"
"198","Deschutes River Mouth","mainstem, BON to MCN","0.81 (0.73 - 0.87)","Walla_Walla_River"
"199","Deschutes River Mouth","loss","  1 (  1 -   1)","Deschutes_River"
"200","Deschutes River Mouth","loss","0.74 (0.64 - 0.82)","Fifteenmile_Creek"
"201","Deschutes River Mouth","loss","0.36 (0.3 - 0.43)","John_Day_River"
"202","Deschutes River Mouth","loss","0.51 (0.43 - 0.57)","Umatilla_River"
"203","Deschutes River Mouth","loss","0.051 (0.0089 - 0.12)","Yakima_River"
"204","Deschutes River Mouth","loss","0.19 (0.13 - 0.27)","Walla_Walla_River"
"205","Deschutes River Upstream","mainstem, BON to MCN","0.00037 (0.00000000013 - 0.0019)","Deschutes_River"
"206","Deschutes River Upstream","mainstem, BON to MCN","0.26 (0.18 - 0.36)","Fifteenmile_Creek"
"207","Deschutes River Upstream","mainstem, BON to MCN","0.64 (0.57 - 0.7)","John_Day_River"
"208","Deschutes River Upstream","mainstem, BON to MCN","0.49 (0.43 - 0.57)","Umatilla_River"
"209","Deschutes River Upstream","mainstem, BON to MCN","0.95 (0.88 - 0.99)","Yakima_River"
"210","Deschutes River Upstream","mainstem, BON to MCN","0.81 (0.73 - 0.87)","Walla_Walla_River"
"211","Deschutes River Upstream","loss","  1 (  1 -   1)","Deschutes_River"
"212","Deschutes River Upstream","loss","0.74 (0.64 - 0.82)","Fifteenmile_Creek"
"213","Deschutes River Upstream","loss","0.36 (0.3 - 0.43)","John_Day_River"
"214","Deschutes River Upstream","loss","0.51 (0.43 - 0.57)","Umatilla_River"
"215","Deschutes River Upstream","loss","0.051 (0.0089 - 0.12)","Yakima_River"
"216","Deschutes River Upstream","loss","0.19 (0.13 - 0.27)","Walla_Walla_River"
"217","John Day River Mouth","mainstem, BON to MCN","0.048 (0.00000000000014 - 0.34)","Deschutes_River"
"218","John Day River Mouth","mainstem, BON to MCN","0.012 (0.000000000000098 - 0.065)","Fifteenmile_Creek"
"219","John Day River Mouth","mainstem, BON to MCN","0.0014 (0.000069 - 0.0037)","John_Day_River"
"220","John Day River Mouth","mainstem, BON to MCN","0.037 (0.0000000000000071 - 0.17)","Umatilla_River"
"221","John Day River Mouth","mainstem, BON to MCN","0.21 (0.000000000004 -   1)","Yakima_River"
"222","John Day River Mouth","mainstem, BON to MCN","0.46 (0.0000000000000000036 -   1)","Walla_Walla_River"
"223","John Day River Mouth","loss","0.95 (0.66 -   1)","Deschutes_River"
"224","John Day River Mouth","loss","0.99 (0.94 -   1)","Fifteenmile_Creek"
"225","John Day River Mouth","loss","  1 (  1 -   1)","John_Day_River"
"226","John Day River Mouth","loss","0.96 (0.83 -   1)","Umatilla_River"
"227","John Day River Mouth","loss","0.79 (0.00016 -   1)","Yakima_River"
"228","John Day River Mouth","loss","0.54 (0 -   1)","Walla_Walla_River"
"229","Hood River Mouth","mainstem, BON to MCN","0.35 (0.069 - 0.74)","Deschutes_River"
"230","Hood River Mouth","mainstem, BON to MCN","0.64 (0.000012 -   1)","Fifteenmile_Creek"
"231","Hood River Mouth","mainstem, BON to MCN","0.97 (0.78 -   1)","John_Day_River"
"232","Hood River Mouth","mainstem, BON to MCN","0.99 (0.96 -   1)","Umatilla_River"
"233","Hood River Mouth","mainstem, BON to MCN","0.66 (0.0000018 -   1)","Yakima_River"
"234","Hood River Mouth","mainstem, BON to MCN","0.53 (0.00000000000000014 -   1)","Walla_Walla_River"
