"","from","to","probability","origin"
"1","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.073 (0.067 - 0.079)","Tucannon_River"
"2","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.059 (0.047 - 0.071)","Asotin_Creek"
"3","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.031 (0.028 - 0.034)","Clearwater_River"
"4","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.048 (0.045 - 0.051)","Salmon_River"
"5","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.029 (0.027 - 0.032)","Grande_Ronde"
"6","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.046 (0.042 - 0.049)","Imnaha_River"
"7","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.028 (0.025 - 0.031)","Tucannon_River"
"8","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.022 (0.018 - 0.027)","Asotin_Creek"
"9","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.012 (0.011 - 0.013)","Clearwater_River"
"10","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.018 (0.017 - 0.02)","Salmon_River"
"11","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.011 (0.0097 - 0.012)","Grande_Ronde"
"12","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.017 (0.016 - 0.019)","Imnaha_River"
"13","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.85 (0.84 - 0.87)","Tucannon_River"
"14","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.88 (0.86 - 0.91)","Asotin_Creek"
"15","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.94 (0.93 - 0.94)","Clearwater_River"
"16","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.91 (0.9 - 0.91)","Salmon_River"
"17","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.94 (0.94 - 0.95)","Grande_Ronde"
"18","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.91 (0.9 - 0.92)","Imnaha_River"
"19","mainstem, MCN to ICH or PRA","Yakima River Mouth","0.0009 (0.00055 - 0.0013)","Tucannon_River"
"20","mainstem, MCN to ICH or PRA","Yakima River Mouth","0.00073 (0.00044 - 0.0011)","Asotin_Creek"
"21","mainstem, MCN to ICH or PRA","Yakima River Mouth","0.00038 (0.00024 - 0.00054)","Clearwater_River"
"22","mainstem, MCN to ICH or PRA","Yakima River Mouth","0.00059 (0.00037 - 0.00083)","Salmon_River"
"23","mainstem, MCN to ICH or PRA","Yakima River Mouth","0.00036 (0.00023 - 0.0005)","Grande_Ronde"
"24","mainstem, MCN to ICH or PRA","Yakima River Mouth","0.00056 (0.00036 - 0.00079)","Imnaha_River"
"25","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","0.0055 (0.0022 - 0.016)","Tucannon_River"
"26","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","0.0044 (0.0017 - 0.015)","Asotin_Creek"
"27","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","0.0023 (0.00094 - 0.0072)","Clearwater_River"
"28","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","0.0036 (0.0014 - 0.011)","Salmon_River"
"29","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","0.0022 (0.00086 - 0.007)","Grande_Ronde"
"30","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","0.0034 (0.0014 - 0.011)","Imnaha_River"
"31","mainstem, MCN to ICH or PRA","loss","0.038 (0.026 - 0.043)","Tucannon_River"
"32","mainstem, MCN to ICH or PRA","loss","0.03 (0.021 - 0.038)","Asotin_Creek"
"33","mainstem, MCN to ICH or PRA","loss","0.016 (0.011 - 0.019)","Clearwater_River"
"34","mainstem, MCN to ICH or PRA","loss","0.025 (0.017 - 0.028)","Salmon_River"
"35","mainstem, MCN to ICH or PRA","loss","0.015 (0.01 - 0.018)","Grande_Ronde"
"36","mainstem, MCN to ICH or PRA","loss","0.023 (0.016 - 0.027)","Imnaha_River"
"37","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.029 (0.025 - 0.034)","Tucannon_River"
"38","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.034 (0.02 - 0.05)","Asotin_Creek"
"39","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.01 (0.0079 - 0.012)","Clearwater_River"
"40","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.021 (0.019 - 0.024)","Salmon_River"
"41","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.019 (0.016 - 0.022)","Grande_Ronde"
"42","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.038 (0.033 - 0.043)","Imnaha_River"
"43","mainstem, ICH to LGR","mainstem, upstream of LGR","0.52 (0.5 - 0.54)","Tucannon_River"
"44","mainstem, ICH to LGR","mainstem, upstream of LGR","0.91 (0.88 - 0.93)","Asotin_Creek"
"45","mainstem, ICH to LGR","mainstem, upstream of LGR","0.95 (0.95 - 0.96)","Clearwater_River"
"46","mainstem, ICH to LGR","mainstem, upstream of LGR","0.94 (0.93 - 0.94)","Salmon_River"
"47","mainstem, ICH to LGR","mainstem, upstream of LGR","0.94 (0.93 - 0.94)","Grande_Ronde"
"48","mainstem, ICH to LGR","mainstem, upstream of LGR","0.91 (0.9 - 0.92)","Imnaha_River"
"49","mainstem, ICH to LGR","Tucannon River Mouth","0.36 (0.33 - 0.38)","Tucannon_River"
"50","mainstem, ICH to LGR","Tucannon River Mouth","0.017 (0.0079 - 0.03)","Asotin_Creek"
"51","mainstem, ICH to LGR","Tucannon River Mouth","0.0022 (0.001 - 0.0037)","Clearwater_River"
"52","mainstem, ICH to LGR","Tucannon River Mouth","0.0028 (0.0016 - 0.0042)","Salmon_River"
"53","mainstem, ICH to LGR","Tucannon River Mouth","0.0029 (0.0014 - 0.0048)","Grande_Ronde"
"54","mainstem, ICH to LGR","Tucannon River Mouth","0.0015 (0.00044 - 0.0033)","Imnaha_River"
"55","mainstem, ICH to LGR","loss","0.092 (0.082 - 0.1)","Tucannon_River"
"56","mainstem, ICH to LGR","loss","0.043 (0.029 - 0.061)","Asotin_Creek"
"57","mainstem, ICH to LGR","loss","0.034 (0.029 - 0.038)","Clearwater_River"
"58","mainstem, ICH to LGR","loss","0.037 (0.034 - 0.04)","Salmon_River"
"59","mainstem, ICH to LGR","loss","0.042 (0.037 - 0.047)","Grande_Ronde"
"60","mainstem, ICH to LGR","loss","0.048 (0.043 - 0.055)","Imnaha_River"
"61","mainstem, upstream of LGR","mainstem, ICH to LGR","0.4 (0.38 - 0.42)","Tucannon_River"
"62","mainstem, upstream of LGR","mainstem, ICH to LGR","0.033 (0.022 - 0.049)","Asotin_Creek"
"63","mainstem, upstream of LGR","mainstem, ICH to LGR","0.018 (0.015 - 0.022)","Clearwater_River"
"64","mainstem, upstream of LGR","mainstem, ICH to LGR","0.02 (0.018 - 0.023)","Salmon_River"
"65","mainstem, upstream of LGR","mainstem, ICH to LGR","0.019 (0.016 - 0.022)","Grande_Ronde"
"66","mainstem, upstream of LGR","mainstem, ICH to LGR","0.019 (0.016 - 0.022)","Imnaha_River"
"67","mainstem, upstream of LGR","Asotin Creek Mouth","0.06 (0.044 - 0.079)","Tucannon_River"
"68","mainstem, upstream of LGR","Asotin Creek Mouth","0.82 (0.75 - 0.88)","Asotin_Creek"
"69","mainstem, upstream of LGR","Asotin Creek Mouth","0.000045 (0.00000000000047 - 0.00021)","Clearwater_River"
"70","mainstem, upstream of LGR","Asotin Creek Mouth","0.000026 (0.000000000055 - 0.00012)","Salmon_River"
"71","mainstem, upstream of LGR","Asotin Creek Mouth","0.0048 (0.0028 - 0.0072)","Grande_Ronde"
"72","mainstem, upstream of LGR","Asotin Creek Mouth","0.000028 (0.0000000000000000000009 - 0.0001)","Imnaha_River"
"73","mainstem, upstream of LGR","Clearwater River","0.023 (0.018 - 0.029)","Tucannon_River"
"74","mainstem, upstream of LGR","Clearwater River","0.00012 (0.00000000000011 - 0.00046)","Asotin_Creek"
"75","mainstem, upstream of LGR","Clearwater River","0.3 (0.29 - 0.32)","Clearwater_River"
"76","mainstem, upstream of LGR","Clearwater River","0.0000099 (0.00000000000013 - 0.000056)","Salmon_River"
"77","mainstem, upstream of LGR","Clearwater River","0.000015 (0.0000000000000035 - 0.000083)","Grande_Ronde"
"78","mainstem, upstream of LGR","Clearwater River","0.0000044 (0.000000000000000000000027 - 0.000016)","Imnaha_River"
"79","mainstem, upstream of LGR","Salmon River","0.0015 (0.0004 - 0.0031)","Tucannon_River"
"80","mainstem, upstream of LGR","Salmon River","0.000078 (0.0000000000002 - 0.0004)","Asotin_Creek"
"81","mainstem, upstream of LGR","Salmon River","0.000013 (0.000000000000043 - 0.000073)","Clearwater_River"
"82","mainstem, upstream of LGR","Salmon River","0.28 (0.27 - 0.29)","Salmon_River"
"83","mainstem, upstream of LGR","Salmon River","0.000019 (0.00000000000042 - 0.00011)","Grande_Ronde"
"84","mainstem, upstream of LGR","Salmon River","0.000007 (0.0000000000000000000006 - 0.000053)","Imnaha_River"
"85","mainstem, upstream of LGR","Grande Ronde River","0.0063 (0.0039 - 0.0092)","Tucannon_River"
"86","mainstem, upstream of LGR","Grande Ronde River","0.014 (0.0065 - 0.023)","Asotin_Creek"
"87","mainstem, upstream of LGR","Grande Ronde River","0.000014 (0.00000000000077 - 0.000084)","Clearwater_River"
"88","mainstem, upstream of LGR","Grande Ronde River","0.0000082 (0.0000000000021 - 0.000037)","Salmon_River"
"89","mainstem, upstream of LGR","Grande Ronde River","0.084 (0.078 - 0.092)","Grande_Ronde"
"90","mainstem, upstream of LGR","Grande Ronde River","0.0000081 (0.0000000000000000000063 - 0.000039)","Imnaha_River"
"91","mainstem, upstream of LGR","Imnaha River Mouth","0.0033 (0.00095 - 0.0066)","Tucannon_River"
"92","mainstem, upstream of LGR","Imnaha River Mouth","0.00012 (0.00000000000074 - 0.00045)","Asotin_Creek"
"93","mainstem, upstream of LGR","Imnaha River Mouth","0.000018 (0.00000000000032 - 0.000094)","Clearwater_River"
"94","mainstem, upstream of LGR","Imnaha River Mouth","0.00019 (0.000011 - 0.00053)","Salmon_River"
"95","mainstem, upstream of LGR","Imnaha River Mouth","0.00086 (0.00025 - 0.0017)","Grande_Ronde"
"96","mainstem, upstream of LGR","Imnaha River Mouth","0.61 (0.59 - 0.63)","Imnaha_River"
"97","mainstem, upstream of LGR","loss","0.51 (0.49 - 0.52)","Tucannon_River"
"98","mainstem, upstream of LGR","loss","0.13 (0.083 - 0.19)","Asotin_Creek"
"99","mainstem, upstream of LGR","loss","0.68 (0.67 - 0.69)","Clearwater_River"
"100","mainstem, upstream of LGR","loss","0.7 (0.69 - 0.71)","Salmon_River"
"101","mainstem, upstream of LGR","loss","0.89 (0.88 - 0.9)","Grande_Ronde"
"102","mainstem, upstream of LGR","loss","0.37 (0.36 - 0.39)","Imnaha_River"
"103","Tucannon River Mouth","mainstem, ICH to LGR","0.028 (0.02 - 0.036)","Tucannon_River"
"104","Tucannon River Mouth","mainstem, ICH to LGR","0.25 (0.06 - 0.54)","Asotin_Creek"
