"","from","to","probability"
"1","mainstem, mouth to BON","mainstem, BON to MCN","0.98 (0.96 - 0.99)*"
"2","mainstem, mouth to BON","loss","0.02 (0.01 - 0.04)*"
"3","mainstem, BON to MCN","mainstem, mouth to BON","0.01 (0.01 - 0.01)*"
"4","mainstem, BON to MCN","mainstem, MCN to ICH or PRA","0.70 (0.69 - 0.71)*"
"5","mainstem, BON to MCN","Deschutes River Mouth","0.08 (0.07 - 0.09)*"
"6","mainstem, BON to MCN","John Day River Mouth","<0.01*"
"7","mainstem, BON to MCN","Hood River Mouth","<0.01*"
"8","mainstem, BON to MCN","Fifteenmile Creek Mouth","<0.01*"
"9","mainstem, BON to MCN","Umatilla River Mouth","<0.01*"
"10","mainstem, BON to MCN","BON to MCN other tributaries","<0.01*"
"11","mainstem, BON to MCN","loss","0.20 (0.20 - 0.21)*"
"12","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.08 (0.00 - 0.27)*"
"13","mainstem, ICH to LGR","mainstem, upstream of LGR","0.91 (0.70 - 0.99)*"
"14","mainstem, ICH to LGR","Tucannon River Mouth","<0.01*"
"15","mainstem, ICH to LGR","loss","0.01 (0.00 - 0.03)*"
"16","mainstem, upstream of LGR","mainstem, ICH to LGR","0.34 (0.12 - 0.62)*"
"17","mainstem, upstream of LGR","Asotin Creek Mouth","0.02 (0.00 - 0.09)*"
"18","mainstem, upstream of LGR","Clearwater River","0.11 (0.00 - 0.30)*"
"19","mainstem, upstream of LGR","Salmon River","0.01 (0.00 - 0.04)*"
"20","mainstem, upstream of LGR","Grande Ronde River","0.01 (0.00 - 0.05)*"
"21","mainstem, upstream of LGR","Imnaha River Mouth","0.01 (0.00 - 0.06)*"
"22","mainstem, upstream of LGR","loss","0.51 (0.20 - 0.76)*"
"23","Deschutes River Mouth","mainstem, BON to MCN","0.87 (0.82 - 0.92)*"
"24","Deschutes River Mouth","loss","0.13 (0.08 - 0.18)*"
"25","Deschutes River Upstream","mainstem, BON to MCN","0.87 (0.82 - 0.92)*"
"26","Deschutes River Upstream","loss","0.13 (0.08 - 0.18)*"
"27","John Day River Mouth","mainstem, BON to MCN","0.48 (0.00 - 1.00)*"
"28","John Day River Mouth","loss","0.52 (0.00 - 1.00)*"
"29","Hood River Mouth","mainstem, BON to MCN","0.96 (0.77 - 1.00)*"
"30","Hood River Mouth","loss","0.04 (0.00 - 0.23)*"
"31","Fifteenmile Creek Mouth","mainstem, BON to MCN","0.51 (0.00 - 1.00)*"
"32","Fifteenmile Creek Mouth","loss","0.49 (0.00 - 1.00)*"
"33","Umatilla River Mouth","mainstem, BON to MCN","0.45 (0.00 - 1.00)*"
"34","Umatilla River Mouth","loss","0.55 (0.00 - 1.00)*"
"35","Umatilla River Upstream","mainstem, BON to MCN","0.45 (0.00 - 1.00)*"
"36","Umatilla River Upstream","loss","0.55 (0.00 - 1.00)*"
"37","Yakima River Mouth","mainstem, MCN to ICH or PRA","0.50 (0.00 - 1.00)*"
"38","Yakima River Mouth","loss","0.50 (0.00 - 1.00)*"
"39","Walla Walla River Mouth","mainstem, MCN to ICH or PRA","0.49 (0.00 - 1.00)*"
"40","Walla Walla River Mouth","loss","0.51 (0.00 - 1.00)*"
"41","Tucannon River Mouth","mainstem, ICH to LGR","0.52 (0.00 - 1.00)*"
"42","Tucannon River Mouth","loss","0.48 (0.00 - 1.00)*"
"43","Asotin Creek Mouth","mainstem, upstream of LGR","0.52 (0.00 - 1.00)*"
"44","Asotin Creek Mouth","loss","0.48 (0.00 - 1.00)*"
"45","Asotin Creek Upstream","mainstem, upstream of LGR","0.52 (0.00 - 1.00)*"
"46","Asotin Creek Upstream","loss","0.48 (0.00 - 1.00)*"
"47","Clearwater River","mainstem, upstream of LGR","0.06 (0.00 - 0.31)*"
"48","Clearwater River","loss","0.94 (0.69 - 1.00)*"
"49","Salmon River","mainstem, upstream of LGR","0.56 (0.00 - 1.00)*"
"50","Salmon River","loss","0.44 (0.00 - 1.00)*"
"51","Grande Ronde River","mainstem, upstream of LGR","0.54 (0.00 - 1.00)*"
"52","Grande Ronde River","loss","0.46 (0.00 - 1.00)*"
"53","Imnaha River Mouth","mainstem, upstream of LGR","0.49 (0.00 - 1.00)*"
"54","Imnaha River Mouth","loss","0.51 (0.00 - 1.00)*"
"55","BON to MCN other tributaries","mainstem, BON to MCN","0.51 (0.00 - 1.00)*"
"56","BON to MCN other tributaries","loss","0.49 (0.00 - 1.00)*"
"57","Upstream WEL other tributaries","mainstem, upstream of WEL","0.01 (0.00 - 0.05)*"
"58","Upstream WEL other tributaries","loss","0.99 (0.95 - 1.00)*"
