"","from","to","probability","origin"
"1","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.01 (0.01 - 0.01)","Wenatchee_River"
"2","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.01 (0.00 - 0.01)","Entiat_River"
"3","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.01 (0.01 - 0.01)","Okanogan_River"
"4","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.01 (0.01 - 0.01)","Methow_River"
"5","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.98 (0.98 - 0.98)","Wenatchee_River"
"6","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.99 (0.97 - 0.99)","Entiat_River"
"7","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.98 (0.97 - 0.99)","Okanogan_River"
"8","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.98 (0.98 - 0.98)","Methow_River"
"9","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","<0.01","Wenatchee_River"
"10","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","<0.01","Entiat_River"
"11","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","<0.01","Okanogan_River"
"12","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","<0.01","Methow_River"
"13","mainstem, MCN to ICH or PRA","Yakima River Mouth","<0.01","Wenatchee_River"
"14","mainstem, MCN to ICH or PRA","Yakima River Mouth","<0.01","Entiat_River"
"15","mainstem, MCN to ICH or PRA","Yakima River Mouth","<0.01","Okanogan_River"
"16","mainstem, MCN to ICH or PRA","Yakima River Mouth","<0.01","Methow_River"
"17","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","<0.01","Wenatchee_River"
"18","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","<0.01","Entiat_River"
"19","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","<0.01","Okanogan_River"
"20","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","<0.01","Methow_River"
"21","mainstem, MCN to ICH or PRA","loss","0.01 (0.01 - 0.01)","Wenatchee_River"
"22","mainstem, MCN to ICH or PRA","loss","0.01 (0.00 - 0.01)","Entiat_River"
"23","mainstem, MCN to ICH or PRA","loss","0.01 (0.01 - 0.01)","Okanogan_River"
"24","mainstem, MCN to ICH or PRA","loss","0.01 (0.01 - 0.01)","Methow_River"
"25","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.01 (0.01 - 0.02)","Wenatchee_River"
"26","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.02 (0.01 - 0.03)","Entiat_River"
"27","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.02 (0.01 - 0.02)","Okanogan_River"
"28","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.01 (0.01 - 0.01)","Methow_River"
"29","mainstem, PRA to RIS","mainstem, RIS to RRE","0.95 (0.95 - 0.96)","Wenatchee_River"
"30","mainstem, PRA to RIS","mainstem, RIS to RRE","0.97 (0.95 - 0.98)","Entiat_River"
"31","mainstem, PRA to RIS","mainstem, RIS to RRE","0.97 (0.96 - 0.98)","Okanogan_River"
"32","mainstem, PRA to RIS","mainstem, RIS to RRE","0.96 (0.96 - 0.97)","Methow_River"
"33","mainstem, PRA to RIS","loss","0.03 (0.03 - 0.04)","Wenatchee_River"
"34","mainstem, PRA to RIS","loss","0.01 (0.01 - 0.02)","Entiat_River"
"35","mainstem, PRA to RIS","loss","0.01 (0.01 - 0.02)","Okanogan_River"
"36","mainstem, PRA to RIS","loss","0.03 (0.02 - 0.03)","Methow_River"
"37","mainstem, RIS to RRE","mainstem, PRA to RIS","0.01 (0.01 - 0.01)","Wenatchee_River"
"38","mainstem, RIS to RRE","mainstem, PRA to RIS","0.01 (0.00 - 0.02)","Entiat_River"
"39","mainstem, RIS to RRE","mainstem, PRA to RIS","<0.01","Okanogan_River"
"40","mainstem, RIS to RRE","mainstem, PRA to RIS","0.01 (0.01 - 0.01)","Methow_River"
"41","mainstem, RIS to RRE","mainstem, RRE to WEL","0.49 (0.47 - 0.51)","Wenatchee_River"
"42","mainstem, RIS to RRE","mainstem, RRE to WEL","0.98 (0.96 - 0.99)","Entiat_River"
"43","mainstem, RIS to RRE","mainstem, RRE to WEL","0.97 (0.96 - 0.98)","Okanogan_River"
"44","mainstem, RIS to RRE","mainstem, RRE to WEL","0.95 (0.94 - 0.95)","Methow_River"
"45","mainstem, RIS to RRE","Wenatchee River Mouth","0.40 (0.38 - 0.42)","Wenatchee_River"
"46","mainstem, RIS to RRE","Wenatchee River Mouth","0.01 (0.00 - 0.02)","Entiat_River"
"47","mainstem, RIS to RRE","Wenatchee River Mouth","<0.01","Okanogan_River"
"48","mainstem, RIS to RRE","Wenatchee River Mouth","0.01 (0.00 - 0.01)","Methow_River"
