"","from","to","probability"
"1","mainstem, mouth to BON","mainstem, BON to MCN","0.98 (0.96 - 0.99)"
"2","mainstem, mouth to BON","loss","0.023 (0.0096 - 0.038)"
"3","mainstem, BON to MCN","mainstem, mouth to BON","0.012 (0.011 - 0.013)"
"4","mainstem, BON to MCN","mainstem, MCN to ICH or PRA","0.76 (0.76 - 0.77)"
"5","mainstem, BON to MCN","Deschutes River Mouth","0.0019 (0.0015 - 0.0024)"
"6","mainstem, BON to MCN","Deschutes River Upstream","0.0019 (0.0015 - 0.0024)"
"7","mainstem, BON to MCN","John Day River Mouth","0.0000047 (0.000000000074 - 0.000024)"
"8","mainstem, BON to MCN","John Day River Upstream","0.0000047 (0.000000000074 - 0.000024)"
"9","mainstem, BON to MCN","Hood River Mouth","0.000039 (0.000002 - 0.00011)"
"10","mainstem, BON to MCN","Hood River Upstream","0.000039 (0.000002 - 0.00011)"
"11","mainstem, BON to MCN","Fifteenmile Creek Mouth","0.0000061 (0.00000000018 - 0.00003)"
"12","mainstem, BON to MCN","Fifteenmile Creek Upstream","0.0000061 (0.00000000018 - 0.00003)"
"13","mainstem, BON to MCN","Umatilla River Mouth","0.0000085 (0.0000000000043 - 0.000037)"
"14","mainstem, BON to MCN","Umatilla River Upstream","0.0000085 (0.0000000000043 - 0.000037)"
"15","mainstem, BON to MCN","BON to MCN other tributaries","0.000013 (0.0000000000075 - 0.000061)"
"16","mainstem, BON to MCN","loss","0.22 (0.22 - 0.23)"
"17","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.0097 (0.0077 - 0.012)"
"18","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.98 (0.98 - 0.98)"
"19","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.00062 (0.00025 - 0.0011)"
"20","mainstem, MCN to ICH or PRA","Yakima River Mouth","0.000012 (0.0000000000031 - 0.000083)"
"21","mainstem, MCN to ICH or PRA","Yakima River Upstream","0.000012 (0.0000000000031 - 0.000083)"
"22","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","0.00001 (0.000000000014 - 0.000046)"
"23","mainstem, MCN to ICH or PRA","Walla Walla River Upstream","0.00001 (0.000000000014 - 0.000046)"
"24","mainstem, MCN to ICH or PRA","loss","0.0091 (0.0073 - 0.011)"
"25","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.014 (0.011 - 0.018)"
"26","mainstem, PRA to RIS","mainstem, RIS to RRE","0.95 (0.95 - 0.96)"
"27","mainstem, PRA to RIS","loss","0.034 (0.03 - 0.039)"
