"","from","to","mean","q5","q95","origin"
"1","mainstem, MCN to ICH or PRA","mainstem, BON to MCN",0.00970355945,0.0077479295,0.011725425,"Wenatchee_River"
"2","mainstem, MCN to ICH or PRA","mainstem, BON to MCN",0.00727947275,0.003513462,0.01305249,"Entiat_River"
"3","mainstem, MCN to ICH or PRA","mainstem, BON to MCN",0.01033969245,0.0067925205,0.01390564,"Okanogan_River"
"4","mainstem, MCN to ICH or PRA","mainstem, BON to MCN",0.00951638685,0.0078778225,0.011220285,"Methow_River"
"5","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS",0.980495635,0.97680885,0.98379335,"Wenatchee_River"
"6","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS",0.985426515,0.97440985,0.99299855,"Entiat_River"
"7","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS",0.97918961,0.9720601,0.98587445,"Okanogan_River"
"8","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS",0.980874955,0.9779786,0.98371055,"Methow_River"
"9","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR",0.0006175773,0.00025211395,0.0010507475,"Wenatchee_River"
"10","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR",0.0004558103805,0.0001666405,0.0008446267,"Entiat_River"
"11","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR",0.000659500745,0.0002339529,0.0011932315,"Okanogan_River"
"12","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR",0.000606361095,0.0002621074,0.00105188,"Methow_River"
"13","mainstem, MCN to ICH or PRA","Yakima River Mouth",1.22503111704074e-05,3.101368e-12,8.2654305e-05,"Wenatchee_River"
"14","mainstem, MCN to ICH or PRA","Yakima River Mouth",8.26986736591782e-06,2.4868945e-12,5.44134549999999e-05,"Entiat_River"
"15","mainstem, MCN to ICH or PRA","Yakima River Mouth",1.27643986733837e-05,2.9007965e-12,8.3425165e-05,"Okanogan_River"
"16","mainstem, MCN to ICH or PRA","Yakima River Mouth",1.13724346747356e-05,3.011778e-12,6.82534299999998e-05,"Methow_River"
"17","mainstem, MCN to ICH or PRA","Yakima River Upstream",1.22503111704074e-05,3.101368e-12,8.2654305e-05,"Wenatchee_River"
"18","mainstem, MCN to ICH or PRA","Yakima River Upstream",8.26986736591782e-06,2.4868945e-12,5.44134549999999e-05,"Entiat_River"
"19","mainstem, MCN to ICH or PRA","Yakima River Upstream",1.27643986733837e-05,2.9007965e-12,8.3425165e-05,"Okanogan_River"
"20","mainstem, MCN to ICH or PRA","Yakima River Upstream",1.13724346747356e-05,3.011778e-12,6.82534299999998e-05,"Methow_River"
"21","mainstem, MCN to ICH or PRA","Walla Walla River Mouth",1.00413210147087e-05,1.39615e-11,4.6259235e-05,"Wenatchee_River"
"22","mainstem, MCN to ICH or PRA","Walla Walla River Mouth",6.83886136226477e-06,1.395784e-11,3.5650375e-05,"Entiat_River"
"23","mainstem, MCN to ICH or PRA","Walla Walla River Mouth",9.82773399443689e-06,1.702298e-11,4.47420099999999e-05,"Okanogan_River"
"24","mainstem, MCN to ICH or PRA","Walla Walla River Mouth",9.56829559334516e-06,1.453875e-11,5.171408e-05,"Methow_River"
"25","mainstem, MCN to ICH or PRA","Walla Walla River Upstream",1.00413210147087e-05,1.39615e-11,4.6259235e-05,"Wenatchee_River"
"26","mainstem, MCN to ICH or PRA","Walla Walla River Upstream",6.83886136226477e-06,1.395784e-11,3.5650375e-05,"Entiat_River"
"27","mainstem, MCN to ICH or PRA","Walla Walla River Upstream",9.82773399443689e-06,1.702298e-11,4.47420099999999e-05,"Okanogan_River"
"28","mainstem, MCN to ICH or PRA","Walla Walla River Upstream",9.56829559334516e-06,1.453875e-11,5.171408e-05,"Methow_River"
"29","mainstem, MCN to ICH or PRA","loss",0.00913864775,0.0072986235,0.01124617,"Wenatchee_River"
"30","mainstem, MCN to ICH or PRA","loss",0.0068079594,0.0032049215,0.01182701,"Entiat_River"
"31","mainstem, MCN to ICH or PRA","loss",0.009765966,0.0064082965,0.01405608,"Okanogan_River"
"32","mainstem, MCN to ICH or PRA","loss",0.0089603956,0.0075778455,0.01060232,"Methow_River"
"33","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA",0.0822640979,0.0018558,0.257347149999999,"Wenatchee_River"
"34","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA",0.0822640979,0.0018558,0.257347149999999,"Entiat_River"
"35","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA",0.0822640979,0.0018558,0.257347149999999,"Okanogan_River"
"36","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA",0.0822640979,0.0018558,0.257347149999999,"Methow_River"
"37","mainstem, ICH to LGR","mainstem, upstream of LGR",0.90459483,0.69373715,0.99488085,"Wenatchee_River"
"38","mainstem, ICH to LGR","mainstem, upstream of LGR",0.90459483,0.69373715,0.99488085,"Entiat_River"
"39","mainstem, ICH to LGR","mainstem, upstream of LGR",0.90459483,0.69373715,0.99488085,"Okanogan_River"
"40","mainstem, ICH to LGR","mainstem, upstream of LGR",0.90459483,0.69373715,0.99488085,"Methow_River"
"41","mainstem, ICH to LGR","Tucannon River Mouth",0.00353799264217672,4.6123e-13,0.02067942,"Wenatchee_River"
"42","mainstem, ICH to LGR","Tucannon River Mouth",0.00353799264217672,4.6123e-13,0.02067942,"Entiat_River"
"43","mainstem, ICH to LGR","Tucannon River Mouth",0.00353799264217672,4.6123e-13,0.02067942,"Okanogan_River"
"44","mainstem, ICH to LGR","Tucannon River Mouth",0.00353799264217672,4.6123e-13,0.02067942,"Methow_River"
"45","mainstem, ICH to LGR","Tucannon River Upstream",0.00353799264217672,4.6123e-13,0.02067942,"Wenatchee_River"
"46","mainstem, ICH to LGR","Tucannon River Upstream",0.00353799264217672,4.6123e-13,0.02067942,"Entiat_River"
"47","mainstem, ICH to LGR","Tucannon River Upstream",0.00353799264217672,4.6123e-13,0.02067942,"Okanogan_River"
"48","mainstem, ICH to LGR","Tucannon River Upstream",0.00353799264217672,4.6123e-13,0.02067942,"Methow_River"
"49","mainstem, ICH to LGR","loss",0.00606509837732859,2.0942415e-09,0.026661,"Wenatchee_River"
"50","mainstem, ICH to LGR","loss",0.00606509837732859,2.0942415e-09,0.026661,"Entiat_River"
"51","mainstem, ICH to LGR","loss",0.00606509837732859,2.0942415e-09,0.026661,"Okanogan_River"
"52","mainstem, ICH to LGR","loss",0.00606509837732859,2.0942415e-09,0.026661,"Methow_River"
"53","mainstem, upstream of LGR","mainstem, ICH to LGR",0.33544957,0.12578895,0.61311295,"Wenatchee_River"
"54","mainstem, upstream of LGR","mainstem, ICH to LGR",0.33544957,0.12578895,0.61311295,"Entiat_River"
"55","mainstem, upstream of LGR","mainstem, ICH to LGR",0.33544957,0.12578895,0.61311295,"Okanogan_River"
"56","mainstem, upstream of LGR","mainstem, ICH to LGR",0.33544957,0.12578895,0.61311295,"Methow_River"
"57","mainstem, upstream of LGR","Asotin Creek Mouth",0.00973334675961886,2.26689225e-10,0.053239525,"Wenatchee_River"
"58","mainstem, upstream of LGR","Asotin Creek Mouth",0.00973334675961886,2.26689225e-10,0.053239525,"Entiat_River"
"59","mainstem, upstream of LGR","Asotin Creek Mouth",0.00973334675961886,2.26689225e-10,0.053239525,"Okanogan_River"
"60","mainstem, upstream of LGR","Asotin Creek Mouth",0.00973334675961886,2.26689225e-10,0.053239525,"Methow_River"
"61","mainstem, upstream of LGR","Asotin Creek Upstream",0.00973334675961886,2.26689225e-10,0.053239525,"Wenatchee_River"
"62","mainstem, upstream of LGR","Asotin Creek Upstream",0.00973334675961886,2.26689225e-10,0.053239525,"Entiat_River"
"63","mainstem, upstream of LGR","Asotin Creek Upstream",0.00973334675961886,2.26689225e-10,0.053239525,"Okanogan_River"
