"run_year","mean_discharge_cfs","tributary"
"05/06",92.381095890411,"Asotin Creek"
"06/07",71.9706849315069,"Asotin Creek"
"07/08",100.800546448087,"Asotin Creek"
"08/09",133.927671232877,"Asotin Creek"
"09/10",62.4290410958904,"Asotin Creek"
"10/11",101.132328767123,"Asotin Creek"
"11/12",134.946174863388,"Asotin Creek"
"12/13",80.4468493150685,"Asotin Creek"
"13/14",93.2657534246575,"Asotin Creek"
"14/15",63.5852054794521,"Asotin Creek"
"15/16",66.6653005464481,"Asotin Creek"
"16/17",130.693698630137,"Asotin Creek"
"17/18",97.1304109589041,"Asotin Creek"
"18/19",92.4794520547945,"Asotin Creek"
"19/20",85.825956284153,"Asotin Creek"
"20/21",84.9115068493151,"Asotin Creek"
"21/22",88.0284931506849,"Asotin Creek"
"05/06",6443.28767123288,"Deschutes River"
"06/07",5771.04109589041,"Deschutes River"
"07/08",5451.44808743169,"Deschutes River"
"08/09",5875.75342465753,"Deschutes River"
"09/10",5572.54794520548,"Deschutes River"
"10/11",6583.17808219178,"Deschutes River"
"11/12",6399.48087431694,"Deschutes River"
"12/13",5680.19178082192,"Deschutes River"
"13/14",5789.39726027397,"Deschutes River"
"14/15",5590.41095890411,"Deschutes River"
"15/16",5386.53005464481,"Deschutes River"
"16/17",6151.12328767123,"Deschutes River"
"17/18",5479.3698630137,"Deschutes River"
"18/19",5350.95890410959,"Deschutes River"
"19/20",4837.15846994536,"Deschutes River"
"20/21",4697.23287671233,"Deschutes River"
"21/22",4740.65753424658,"Deschutes River"
"05/06",330.520821917808,"Entiat River"
"06/07",628.080547945205,"Entiat River"
"07/08",439.751366120219,"Entiat River"
"08/09",422.296438356164,"Entiat River"
"09/10",365.636712328767,"Entiat River"
"10/11",562.191780821918,"Entiat River"
"11/12",619.141256830601,"Entiat River"
"12/13",573.235616438356,"Entiat River"
"13/14",431.547123287671,"Entiat River"
"14/15",547.159178082192,"Entiat River"
"15/16",569.156010928962,"Entiat River"
"16/17",556.950684931507,"Entiat River"
"17/18",672.133424657534,"Entiat River"
"18/19",370.527671232877,"Entiat River"
"19/20",375.367213114754,"Entiat River"
"20/21",462.489315068493,"Entiat River"
"21/22",457.798630136986,"Entiat River"
"05/06",868.493150684931,"Hood River"
"06/07",1130.58356164384,"Hood River"
"07/08",930.617486338798,"Hood River"
"08/09",1145.36438356164,"Hood River"
"09/10",805.098630136986,"Hood River"
"10/11",1174.27671232877,"Hood River"
"11/12",1162.7868852459,"Hood River"
"12/13",947.742465753425,"Hood River"
"13/14",1058.53150684932,"Hood River"
"14/15",893.364383561644,"Hood River"
"15/16",1037.70218579235,"Hood River"
"16/17",1074.91944444444,"Hood River"
"17/18",1043.41369863014,"Hood River"
"18/19",682.816438356164,"Hood River"
"19/20",663.972677595628,"Hood River"
"20/21",791.895890410959,"Hood River"
"21/22",881.460273972603,"Hood River"
"05/06",610.716770224172,"Imnaha River"
"06/07",506.712000516013,"Imnaha River"
"07/08",431.905240885417,"Imnaha River"
"08/09",583.402829229204,"Imnaha River"
"09/10",448.348651960784,"Imnaha River"
"10/11",611.165119204505,"Imnaha River"
"11/12",721.040055495607,"Imnaha River"
"12/13",489.882418683755,"Imnaha River"
"13/14",347.619697627315,"Imnaha River"
"05/06",2657.66301369863,"John Day River"
"06/07",1676.2301369863,"John Day River"
"07/08",1961.81202185792,"John Day River"
"08/09",2136.87945205479,"John Day River"
"09/10",1310.50520547945,"John Day River"
"10/11",3881.90410958904,"John Day River"
"11/12",2468.32240437158,"John Day River"
"12/13",1447.82273972603,"John Day River"
"13/14",1719.72602739726,"John Day River"
"14/15",1443.67123287671,"John Day River"
"15/16",1832.00928961749,"John Day River"
"16/17",2877.27726027397,"John Day River"
"17/18",1434.03726027397,"John Day River"
"18/19",2538.73263013699,"John Day River"
"19/20",1619.60109289617,"John Day River"
"20/21",1219.71068493151,"John Day River"
"21/22",1151.08254794521,"John Day River"
"05/06",1243.89863013699,"Methow River"
"06/07",1978.86301369863,"Methow River"
"07/08",1468.76229508197,"Methow River"
"08/09",1264.28767123288,"Methow River"
"09/10",1297.21643835616,"Methow River"
"10/11",2009.48767123288,"Methow River"
"11/12",2450.9043715847,"Methow River"
"12/13",2004.53424657534,"Methow River"
"13/14",1534.27397260274,"Methow River"
"14/15",1775.3397260274,"Methow River"
"15/16",1900.07923497268,"Methow River"
"16/17",1877.93150684932,"Methow River"
"17/18",2417.79726027397,"Methow River"
"18/19",1237.51232876712,"Methow River"
"19/20",1304.91803278689,"Methow River"
"20/21",1556.26301369863,"Methow River"
"21/22",1466.00557103064,"Methow River"
"05/06",2181.20273972603,"Okanogan River"
"06/07",3348.76164383562,"Okanogan River"
"07/08",2308.9043715847,"Okanogan River"
"08/09",2210.14246575342,"Okanogan River"
"09/10",2030.96438356164,"Okanogan River"
"10/11",2942.61917808219,"Okanogan River"
"11/12",4353.23770491803,"Okanogan River"
"12/13",4254.27945205479,"Okanogan River"
"13/14",3834.35616438356,"Okanogan River"
"14/15",3439.22802197802,"Okanogan River"
"15/16",3095.51912568306,"Okanogan River"
"16/17",3246.22191780822,"Okanogan River"
"17/18",5012.58082191781,"Okanogan River"
"18/19",2762.3698630137,"Okanogan River"
"19/20",2899.38524590164,"Okanogan River"
"20/21",3903.13698630137,"Okanogan River"
"21/22",3036.83561643836,"Okanogan River"
"05/06",129.101917808219,"Tucannon River"
"06/07",146.324931506849,"Tucannon River"
"07/08",178.48306010929,"Tucannon River"
"08/09",272.796438356164,"Tucannon River"
"09/10",149.07698630137,"Tucannon River"
"10/11",210.996438356164,"Tucannon River"
"11/12",249.494535519126,"Tucannon River"
"12/13",170.287945205479,"Tucannon River"
"13/14",179.541369863014,"Tucannon River"
"14/15",140.938630136986,"Tucannon River"
"15/16",144.55956284153,"Tucannon River"
"16/17",213.168767123288,"Tucannon River"
"17/18",207.390410958904,"Tucannon River"
"18/19",166.626301369863,"Tucannon River"
"19/20",179.253825136612,"Tucannon River"
"20/21",155.274246575342,"Tucannon River"
"21/22",160.888493150685,"Tucannon River"
"05/06",477.988931506849,"Umatilla River"
"06/07",430.252054794521,"Umatilla River"
"07/08",478.587978142077,"Umatilla River"
"08/09",732.655890410959,"Umatilla River"
"09/10",309.407123287671,"Umatilla River"
"10/11",1155.22383561644,"Umatilla River"
"11/12",626.478961748634,"Umatilla River"
"12/13",459.13698630137,"Umatilla River"
"13/14",588.375068493151,"Umatilla River"
"14/15",410.801369863014,"Umatilla River"
"15/16",401.816666666667,"Umatilla River"
"16/17",752.47698630137,"Umatilla River"
"17/18",632.939178082192,"Umatilla River"
"18/19",885.643835616438,"Umatilla River"
"19/20",689.548360655738,"Umatilla River"
"20/21",523.416438356164,"Umatilla River"
"21/22",522.804931506849,"Umatilla River"
"05/06",580.548,"Walla Walla River"
"06/07",510.776821917808,"Walla Walla River"
"07/08",517.650245901639,"Walla Walla River"
"08/09",983.844219178082,"Walla Walla River"
"09/10",410.772219178082,"Walla Walla River"
"10/11",1047.33369863014,"Walla Walla River"
"11/12",823.308469945355,"Walla Walla River"
"12/13",624.980273972603,"Walla Walla River"
"13/14",608.186849315068,"Walla Walla River"
"14/15",409.039205479452,"Walla Walla River"
"15/16",469.166830601093,"Walla Walla River"
"16/17",811.883534246575,"Walla Walla River"
"17/18",752.765479452055,"Walla Walla River"
"18/19",695.999671232877,"Walla Walla River"
"19/20",666.320765027322,"Walla Walla River"
"20/21",490.638164383562,"Walla Walla River"
"21/22",592.601397260274,"Walla Walla River"
"05/06",2226.63835616438,"Wenatchee River"
"06/07",3865.39178082192,"Wenatchee River"
"07/08",2653.96448087432,"Wenatchee River"
"08/09",3102.1095890411,"Wenatchee River"
"09/10",2592.62191780822,"Wenatchee River"
"10/11",3525.20547945205,"Wenatchee River"
"11/12",3713.25136612022,"Wenatchee River"
"12/13",3718.68767123288,"Wenatchee River"
"13/14",3112.28493150685,"Wenatchee River"
"14/15",3518.18904109589,"Wenatchee River"
"15/16",3447.67213114754,"Wenatchee River"
"16/17",3125.52328767123,"Wenatchee River"
"17/18",3762.38082191781,"Wenatchee River"
"18/19",2479.61643835616,"Wenatchee River"
