"","tag_code_2","natal_origin","rear_type"
"1","384.1B7969BC09",1,1
"2","384.1B796A0243",12,2
"3","384.1B796A025C",12,2
"4","384.1B796A0332",12,2
"5","384.1B796A043C",12,2
"6","384.1B796A0443",12,2
"7","384.1B796A044C",12,2
"8","384.1B796A0548",12,2
"9","384.1B796A0568",12,2
"10","384.1B796A0620",12,2
"11","384.1B796A0627",12,2
"12","384.1B796A0673",12,2
"13","384.1B796A06E6",12,2
"14","384.1B796A06FF",12,2
"15","384.1B796A0722",12,2
"16","384.1B796A076F",12,2
"17","384.1B796A08AF",12,2
"18","384.1B796A09F5",12,2
"19","384.1B796A0B67",12,2
"20","384.1B796A0BAB",12,2
"21","384.1B796A0BB0",12,2
"22","384.1B796A0C08",12,2
"23","384.1B796A0C54",12,2
"24","384.1B796A0CB8",12,2
"25","384.1B796A0D44",12,2
"26","384.1B796A0D89",12,2
"27","384.1B796A0DBB",12,2
"28","384.1B796A0F3B",12,2
"29","384.1B796A0F4E",12,2
"30","384.1B796A10D0",12,2
"31","384.1B796A112E",12,2
"32","384.1B796A117E",12,2
"33","384.1B796A125F",12,2
"34","384.1B796A1267",12,2
"35","384.1B796A1269",12,2
"36","384.1B796A12C3",12,2
"37","384.1B796A1326",12,2
"38","384.1B796A13E7",12,2
"39","384.1B796A1406",12,2
"40","384.1B796A1444",12,2
"41","384.1B796A1594",12,2
"42","384.1B796A15C3",12,2
"43","384.1B796A1628",12,2
"44","384.1B796A1790",12,2
"45","384.1B796A1794",12,2
"46","384.1B796A17B8",12,2
"47","384.1B796A17F9",12,2
"48","384.1B796A1844",12,2
"49","384.1B796A1950",12,2
"50","384.1B796A1A13",12,2
"51","384.1B796A1A8D",12,2
"52","384.1B796A1B9F",12,2
"53","384.1B796A1BB5",12,2
"54","384.1B796A1C83",12,2
"55","384.1B796A1CE2",12,2
"56","384.1B796A1DBC",12,2
"57","384.1B796A1DCD",12,2
"58","384.1B796A1DD9",12,2
"59","384.1B796A1F25",12,2
"60","384.1B796A1F36",12,2
"61","384.1B796A1F4A",12,2
"62","384.1B796A1F81",12,2
"63","384.1B796A1FA4",12,2
"64","384.1B796A2006",12,2
"65","384.1B796A202D",12,2
"66","384.1B796A20FB",12,2
"67","384.1B796A2147",12,2
"68","384.1B796A2254",12,2
"69","384.1B796A2294",12,2
"70","384.1B796A22A2",12,2
"71","384.1B796A2327",12,2
"72","384.1B796A2348",12,2
"73","384.1B796A23F9",12,2
"74","384.1B796A2422",12,2
"75","384.1B796A253E",12,2
"76","384.1B796A253F",12,2
"77","384.1B796A25FB",12,2
"78","384.1B796A2601",12,2
"79","384.1B796A2610",12,2
"80","384.1B796A2625",12,2
"81","384.1B796A2640",12,2
"82","384.1B796A264E",12,2
"83","384.1B796A2673",12,2
"84","384.1B796A270A",12,2
"85","384.1B796A27E8",12,2
"86","384.1B796A282F",12,2
"87","384.1B796A283F",12,2
"88","384.1B796A28BD",12,2
"89","384.1B796A2918",12,2
"90","384.1B796A29A1",12,2
"91","384.1B796A2A13",12,2
"92","384.1B796A2D25",12,2
"93","384.1B796A2D59",12,2
"94","384.1B796A2D6B",12,2
"95","384.1B796A2D6D",12,2
"96","384.1B796A2E77",12,2
"97","384.1B796A2E85",12,2
"98","384.1B796A2E8C",12,2
"99","384.1B796A2EE3",12,2
"100","384.1B796A2EF5",12,2
"101","384.1B796A2F2B",12,2
"102","384.1B796A2F83",12,2
"103","384.1B796A3012",12,2
"104","384.1B796A3018",12,2
"105","384.1B796A3090",12,2
"106","384.1B796A3096",12,2
"107","384.1B796A30B7",12,2
"108","384.1B796A310D",12,2
"109","384.1B796A3145",12,2
"110","384.1B796A3246",12,2
"111","384.1B796A3269",12,2
"112","384.1B796A32F2",12,2
"113","384.1B796A342B",12,2
"114","384.1B796A35AB",12,2
"115","384.1B796A369B",12,2
"116","384.1B796A379C",12,2
"117","384.1B796A3889",12,2
"118","384.1B796A3932",12,2
"119","384.1B796A3AF8",12,2
"120","384.1B796A3B53",12,2
"121","384.1B796A3D09",12,2
"122","384.1B796A3DCB",12,2
"123","384.1B796A3E02",12,2
"124","384.1B796A4C60",12,2
"125","384.1B796A4C9F",12,2
"126","384.1B796A4CB1",12,2
"127","384.1B796A4CDD",12,2
"128","384.1B796A4CE2",12,2
"129","384.1B796A4D5F",12,2
"130","384.1B796A4D7B",12,2
