"","from","to","probability"
"1","mainstem, mouth to BON","mainstem, BON to MCN","0.97 (0.93 - 0.99)*"
"2","mainstem, mouth to BON","loss","0.03 (0.01 - 0.07)*"
"3","mainstem, BON to MCN","mainstem, mouth to BON","0.01 (0.01 - 0.02)*"
"4","mainstem, BON to MCN","mainstem, MCN to ICH or PRA","0.85 (0.79 - 0.92)*"
"5","mainstem, BON to MCN","Deschutes River Mouth","<0.01*"
"6","mainstem, BON to MCN","John Day River Mouth","<0.01*"
"7","mainstem, BON to MCN","Hood River Mouth","<0.01*"
"8","mainstem, BON to MCN","Fifteenmile Creek Mouth","<0.01*"
"9","mainstem, BON to MCN","Umatilla River Mouth","<0.01*"
"10","mainstem, BON to MCN","BON to MCN other tributaries","<0.01*"
"11","mainstem, BON to MCN","loss","0.13 (0.07 - 0.19)*"
"12","mainstem, ICH to LGR","mainstem, MCN to ICH or PRA","0.08 (0.00 - 0.55)*"
"13","mainstem, ICH to LGR","mainstem, upstream of LGR","0.68 (0.00 - 1.00)*"
"14","mainstem, ICH to LGR","Tucannon River Mouth","0.13 (0.00 - 0.99)*"
"15","mainstem, ICH to LGR","loss","0.12 (0.00 - 0.76)*"
"16","mainstem, upstream of LGR","mainstem, ICH to LGR","0.04 (0.00 - 0.26)*"
"17","mainstem, upstream of LGR","Asotin Creek Mouth","0.05 (0.00 - 0.20)*"
"18","mainstem, upstream of LGR","Clearwater River","0.52 (0.00 - 1.00)*"
"19","mainstem, upstream of LGR","Salmon River","0.04 (0.00 - 0.18)*"
"20","mainstem, upstream of LGR","Grande Ronde River","0.04 (0.00 - 0.22)*"
"21","mainstem, upstream of LGR","Imnaha River Mouth","0.16 (0.00 - 0.98)*"
"22","mainstem, upstream of LGR","loss","0.15 (0.00 - 0.67)*"
"23","Deschutes River Mouth","mainstem, BON to MCN","0.84 (0.75 - 0.90)*"
"24","Deschutes River Mouth","loss","0.16 (0.10 - 0.25)*"
"25","Deschutes River Upstream","mainstem, BON to MCN","0.84 (0.75 - 0.90)*"
"26","Deschutes River Upstream","loss","0.16 (0.10 - 0.25)*"
"27","John Day River Mouth","mainstem, BON to MCN","0.59 (0.00 - 1.00)*"
"28","John Day River Mouth","loss","0.41 (0.00 - 1.00)*"
"29","Hood River Mouth","mainstem, BON to MCN","0.57 (0.00 - 1.00)*"
"30","Hood River Mouth","loss","0.43 (0.00 - 1.00)*"
"31","Fifteenmile Creek Mouth","mainstem, BON to MCN","0.49 (0.00 - 1.00)*"
"32","Fifteenmile Creek Mouth","loss","0.51 (0.00 - 1.00)*"
"33","Umatilla River Mouth","mainstem, BON to MCN","0.56 (0.00 - 1.00)*"
"34","Umatilla River Mouth","loss","0.44 (0.00 - 1.00)*"
"35","Umatilla River Upstream","mainstem, BON to MCN","0.56 (0.00 - 1.00)*"
"36","Umatilla River Upstream","loss","0.44 (0.00 - 1.00)*"
"37","Yakima River Mouth","mainstem, MCN to ICH or PRA","0.50 (0.00 - 1.00)*"
"38","Yakima River Mouth","loss","0.50 (0.00 - 1.00)*"
"39","Walla Walla River Mouth","mainstem, MCN to ICH or PRA","0.62 (0.00 - 1.00)*"
"40","Walla Walla River Mouth","loss","0.38 (0.00 - 1.00)*"
"41","Tucannon River Mouth","mainstem, ICH to LGR","0.42 (0.00 - 1.00)*"
"42","Tucannon River Mouth","loss","0.58 (0.00 - 1.00)*"
"43","Asotin Creek Mouth","mainstem, upstream of LGR","0.48 (0.00 - 1.00)*"
"44","Asotin Creek Mouth","loss","0.52 (0.00 - 1.00)*"
"45","Asotin Creek Upstream","mainstem, upstream of LGR","0.48 (0.00 - 1.00)*"
"46","Asotin Creek Upstream","loss","0.52 (0.00 - 1.00)*"
"47","Clearwater River","mainstem, upstream of LGR","0.07 (0.00 - 0.47)*"
"48","Clearwater River","loss","0.93 (0.53 - 1.00)*"
"49","Salmon River","mainstem, upstream of LGR","0.48 (0.00 - 1.00)*"
"50","Salmon River","loss","0.52 (0.00 - 1.00)*"
"51","Grande Ronde River","mainstem, upstream of LGR","0.41 (0.00 - 1.00)*"
"52","Grande Ronde River","loss","0.59 (0.00 - 1.00)*"
"53","Imnaha River Mouth","mainstem, upstream of LGR","0.48 (0.00 - 1.00)*"
"54","Imnaha River Mouth","loss","0.52 (0.00 - 1.00)*"
"55","BON to MCN other tributaries","mainstem, BON to MCN","0.51 (0.00 - 1.00)*"
"56","BON to MCN other tributaries","loss","0.49 (0.00 - 1.00)*"
"57","Upstream WEL other tributaries","mainstem, upstream of WEL","0.31 (0.00 - 1.00)*"
"58","Upstream WEL other tributaries","loss","0.69 (0.00 - 1.00)*"
