"natal_origin","release_site_name"
"Hood_River","SNDTAP - Sandtrap Acc. Ponds, EF Hood River"
"Hood_River","HOODEF - East Fork Hood River"
"Hood_River","HOODWF - West Fork Hood River"
"Hood_River","HOODR - Hood River"
"Hood_River","HOODMF - Middle Fork Hood River"
"Hood_River","BLKBAS - Blackberry Acc. Site, WF Hood River"
"Hood_River","LAKEBR - Lake Branch (tributary to West Fork Hood River)"
"Hood_River","NEALC - Neal Creek, tributary to Hood River (OR)"
"Hood_River","PARK - Parkdale Hatchery"
"Fifteenmile_Creek","15MILC - Fifteen Mile Creek, near The Dalles, Oregon"
"Fifteenmile_Creek","EIGH2C - Eightmile Creek, Fifteenmile Creek Watershed"
"Deschutes_River","BUCKHC - Buckhollow Creek, Deschutes River Basin"
"Deschutes_River","PERTAL - PER - Release into the Tailrace within 0.5 km downstream of Dam"
"Deschutes_River","BCHINL - Lake Billy Chinook"
"Deschutes_River","TROU2C - Trout Creek, Deschutes River Watershed"
"Deschutes_River","SHTIKC - Shitike Creek, Deschutes River Basin"
"Deschutes_River","MCKA2C - McKay Creek, Crooked River"
"Deschutes_River","BAKEOC - Bakeoven Creek, Deschutes River Basin"
"Deschutes_River","WARMSR - Warm Springs River, Deschutes River Watershed"
"Deschutes_River","OCHOCC - Ochoco Creek, Crooked River"
"Deschutes_River","CROOK1 - Crooked River - Lake Billy Chinook to Prineville Reservoir (km 0-113)"
"Deschutes_River","WYCHUC - Wychus Creek, Upper Deschutes River Basin"
"John_Day_River","BRIDGC - Bridge Creek, John Day River Basin"
"John_Day_River","JSFMC - Murderers Creek, South Fork John Day River"
"John_Day_River","ROCK4C - Rock Creek, tributary to John Day River"
"John_Day_River","30ML2C - Thirtymile Creek - tributary to John Day River"
"John_Day_River","JDARSF - South Fork John Day River"
"John_Day_River","CAMP2C - Camp Creek, Middle Fork John Day River"
"John_Day_River","JDARMF - Middle Fork John Day River"
"John_Day_River","VNGRC - Vinegar Creek, tributary to Middle Fork John Day River"
"John_Day_River","GABLEC - Gable Creek, John Day River Basin"
"John_Day_River","CLEA2C - Clear Creek, Middle Fork John Day River Basin"
"John_Day_River","BEAR2C - Bear Creek, John Day River Basin"
"John_Day_River","JSFBC - Black Canyon Creek, South Fork John Day River"
"John_Day_River","BEECHC - Beech Creek - tributary to John Day River"
"John_Day_River","JDAR2 - John Day River - North Fork John Day River to headwaters (km 298-454)"
"John_Day_River","JDAR1 - John Day River - mouth to North Fork John Day River (km 0-298)"
