"","tag_code_2","natal_origin"
"1","384.36F2B32A33",10
"2","384.36F2B32C9A",10
"3","384.36F2B49F15",10
"4","384.36F2B49F31",10
"5","384.36F2B49F40",10
"6","384.36F2B49F74",10
"7","384.36F2B4A130",10
"8","384.36F2B4A316",10
"9","384.36F2B4A458",10
"10","384.36F2B4A488",10
"11","384.36F2B4B124",10
"12","384.36F2B4B166",10
"13","384.36F2B4BA69",10
"14","384.36F2B4BD31",10
"15","384.36F2B4BD66",10
"16","384.36F2B4BF0D",10
"17","384.36F2B4BF5D",10
"18","384.36F2B4D8D4",10
"19","384.36F2B4DA1F",10
"20","384.36F2B4DA6E",10
"21","384.36F2B4DBCC",10
"22","384.36F2B4E9CC",10
"23","384.3B239875C6",4
"24","384.3B23987601",4
"25","384.3B2398AD9E",16
"26","384.3B2398DD9B",4
"27","384.3B2399200D",4
"28","384.3B239947BA",16
"29","384.3B2399537F",16
"30","384.3B23995DC4",4
"31","384.3B239AE6F0",16
"32","384.3B239B285B",16
"33","384.3B23AC32E5",4
"34","384.3B23AC488F",16
"35","384.3B23AC489F",16
"36","384.3B23AC4B3E",16
"37","384.3B23AC6042",4
"38","384.3B23AC6E25",4
"39","384.3B23AC7214",16
"40","384.3B23AC7298",10
"41","384.3B23AC7B16",10
"42","384.3B23AC7F5A",16
"43","384.3B23AC8F6F",4
"44","384.3B23ACBE7E",16
"45","384.3B23ACC706",10
"46","3D9.1BF19596FF",16
"47","3D9.1BF1A16C9A",10
"48","3D9.1BF1A17B8C",10
"49","3D9.1BF1A18C9D",10
"50","3D9.1BF1A1A0EE",10
"51","3D9.1BF1A35841",4
"52","3D9.1BF1A656EB",10
"53","3D9.1BF1A6F46B",10
"54","3D9.1BF1A6FA04",10
"55","3D9.1BF1A7ADA9",4
"56","3D9.1BF1A7B3EB",4
"57","3D9.1BF1A7BF5B",4
"58","3D9.1BF1A8CCED",16
"59","3D9.1BF1A96394",16
"60","3D9.1BF1A9C1C3",10
"61","3D9.1BF1AFAA34",10
"62","3D9.1BF1BF5DF6",16
"63","3D9.1BF1C64840",16
"64","3D9.1BF1CE1DE5",10
"65","3D9.1BF1CEBC72",10
"66","3D9.1BF1CEBEA3",10
"67","3D9.1BF1CED788",10
"68","3D9.1BF1CEF15B",10
"69","3D9.1BF1E77109",16
"70","3D9.1BF1F6E44B",10
"71","3D9.1BF1F81266",4
"72","3D9.1BF1F8679B",4
"73","3D9.1BF1F9467F",4
"74","3D9.1BF1F98B84",4
"75","3D9.1BF2006EAF",16
"76","3D9.1BF200E0CD",16
"77","3D9.1BF2011E3B",16
"78","3D9.1BF2014035",16
"79","3D9.1BF20147BC",16
"80","3D9.1BF2014B8D",16
"81","3D9.1BF2018A1B",16
"82","3D9.1BF2019EE6",4
"83","3D9.1BF201A1D0",4
"84","3D9.1BF201A551",4
"85","3D9.1BF201AAC2",4
"86","3D9.1BF201B8DA",16
"87","3D9.1BF201C3AC",16
"88","3D9.1BF201C69D",16
"89","3D9.1BF201D25E",4
"90","3D9.1BF201D2A0",4
"91","3D9.1BF201E686",4
"92","3D9.1BF201ECE8",4
"93","3D9.1BF201F535",4
"94","3D9.1BF201FC03",4
"95","3D9.1BF206FCAC",10
"96","3D9.1BF20A1821",10
"97","3D9.1BF20A6000",10
"98","3D9.1BF25D3945",16
"99","3D9.1BF25D3DB6",16
"100","3D9.1BF25D4493",16
"101","3D9.1BF25D455C",16
"102","3D9.1BF25D4AA0",16
"103","3D9.1BF25D4CAE",16
"104","3D9.1BF25D5390",16
"105","3D9.1BF25D5FF1",16
"106","3D9.1BF25D905B",16
"107","3D9.1BF25E4017",4
"108","3D9.1BF25E4956",4
"109","3D9.1BF25E4AEE",4
"110","3D9.1BF25F7C1C",16
"111","3D9.1BF25F7DD4",16
"112","3D9.1BF25FA35F",16
"113","3D9.1BF25FA61A",16
"114","3D9.1BF25FA6CA",16
"115","3D9.1BF25FBC4A",4
"116","3D9.1BF25FCF46",4
"117","3D9.1BF25FEB8A",4
"118","3D9.1BF25FEDAF",4
"119","3D9.1BF25FEDFD",4
"120","3D9.1BF25FEF5C",4
"121","3D9.1BF25FF5FD",4
"122","3D9.1BF26002A8",4
"123","3D9.1BF2602B69",4
"124","3D9.1BF2604717",4
"125","3D9.1BF26054F4",16
"126","3D9.1BF2628F85",16
"127","3D9.1BF262D810",16
"128","3D9.1BF262DDDF",16
"129","3D9.1BF26309B8",16
"130","3D9.1BF2630CF4",16
"131","3D9.1BF2631A0A",16
"132","3D9.1BF26AF7EC",16
"133","3D9.1BF26AFA8E",16
"134","3D9.1BF26AFB5A",16
"135","3D9.1BF26AFC35",16
"136","3D9.1BF26B0147",16
"137","3D9.1BF26B01DE",16
"138","3D9.1BF26B05B9",16
"139","3D9.1BF26B06CB",16
"140","3D9.1BF26B0DF6",16
"141","3D9.1BF26B110D",16
"142","3D9.1BF26B1472",16
"143","3D9.1BF26B14BE",16
"144","3D9.1BF26B1AFC",16
"145","3D9.1BF26B1CF2",16
"146","3D9.1BF26B24D9",16
"147","3D9.1BF26B2A2D",16
"148","3D9.1BF26B2C2C",16
"149","3D9.1BF26B312C",16
"150","3D9.1BF26B31AB",16
"151","3D9.1BF26B34D4",16
"152","3D9.1BF26B37FE",16
"153","3D9.1BF26B408E",16
"154","3D9.1BF26B4761",16
"155","3D9.1BF26B48F2",16
"156","3D9.1BF26B5156",16
"157","3D9.1BF26D3527",16
"158","3D9.1BF26D4307",16
"159","3D9.1BF26D4609",16
"160","3D9.1BF26D4B7C",16
"161","3D9.1BF26D7866",16
"162","3D9.1BF26D7934",16
"163","3D9.1BF26D79FF",16
"164","3D9.1BF26D80AE",16
"165","3D9.1BF26D819C",4
"166","3D9.1BF26D81AD",16
"167","3D9.1BF26D8869",16
"168","3D9.1BF26D8869_repeat",16
"169","3D9.1BF26D88C0",16
"170","3D9.1BF26D8CCC",16
"171","3D9.1BF26D8CCC_repeat",16
"172","3D9.1BF26D8E86",16
"173","3D9.1BF26D9141",16
"174","3D9.1BF26D93AF",16
"175","3D9.1BF26DA026",16
"176","3D9.1BF26DA167",16
"177","3D9.1BF26DA7F7",16
"178","3D9.1BF26DAC06",16
"179","3D9.1BF26DADEC",16
"180","3D9.1BF26DB1A9",16
"181","3D9.1BF26DB4A0",16
"182","3D9.1BF26DB6E9",16
"183","3D9.1BF26DB858",16
"184","3D9.1BF26DBC89",4
"185","3D9.1BF26DC162",16
"186","3D9.1BF26DC3E0",16
"187","3D9.1BF26DC841",16
"188","3D9.1BF26DD020",16
"189","3D9.1BF26DD736",16
"190","3D9.1BF26DD773",16
"191","3D9.1BF26DDADD",16
"192","3D9.1BF26DDC22",16
"193","3D9.1BF26DDC91",16
"194","3D9.1BF26DE37C",16
"195","3D9.1BF26DE5EB",16
"196","3D9.1BF26DE6B2",16
"197","3D9.1BF26DE77F",16
"198","3D9.1BF26DEB93",16
"199","3D9.1BF26DEBE0",16
"200","3D9.1BF26DF314",16
"201","3D9.1BF26DFD14",16
"202","3D9.1BF26DFF6B",16
"203","3D9.1BF26E0040",16
"204","3D9.1BF26E00CD",16
"205","3D9.1BF26E02D3",16
"206","3D9.1BF26E047A",16
"207","3D9.1BF26E0D5C",16
"208","3D9.1BF26E165F",16
"209","3D9.1BF26E2619",16
"210","3D9.1C2C2CCDDA",4
"211","3D9.1C2C2CCFE2",16
"212","3D9.1C2C2D0878",4
"213","3D9.1C2C2D4756",16
"214","3D9.1C2C2D47E7",16
"215","3D9.1C2C2D551C",16
"216","3D9.1C2C2D6F12",16
"217","3D9.1C2C2D7051",16
"218","3D9.1C2C2D89D0",16
"219","3D9.1C2C2DAA53",16
"220","3D9.1C2C2DAE5C",16
"221","3D9.1C2C2DB108",4
"222","3D9.1C2C2DE8B4",4
"223","3D9.1C2C30E243",10
"224","3D9.1C2C30ED60",10
"225","3D9.1C2C30EE9C",10
"226","3D9.1C2C31176C",10
"227","3D9.1C2C313549",4
"228","3D9.1C2C314C70",10
"229","3D9.1C2C314D9F",4
"230","3D9.1C2C314E46",10
"231","3D9.1C2C315040",10
"232","3D9.1C2C315066",10
"233","3D9.1C2C31568F",4
"234","3D9.1C2C3157BF",10
"235","3D9.1C2C31592C",10
"236","3D9.1C2C315931",4
"237","3D9.1C2C319DA3",10
"238","3D9.1C2C319E25",10
"239","3D9.1C2C31B5C2",10
"240","3D9.1C2C31B5C2_repeat",10
"241","3D9.1C2C31B7ED",10
"242","3D9.1C2C31BC54",10
"243","3D9.1C2C31BD8F",10
"244","3D9.1C2C31BDF8",10
"245","3D9.1C2C31BE87",10
"246","3D9.1C2C31C0DD",10
"247","3D9.1C2C31C4C6",4
"248","3D9.1C2C3220E4",4
"249","3D9.1C2C32313E",10
"250","3D9.1C2C3232BC",4
"251","3D9.1C2C39ED2D",4
"252","3D9.1C2C39FD8F",4
"253","3D9.1C2C3A542A",4
"254","3D9.1C2C3DC91D",16
"255","3D9.1C2C3DCA1D",16
"256","3D9.1C2C3DD20D",16
"257","3D9.1C2C3E3C57",16
"258","3D9.1C2C4044DF",16
"259","3D9.1C2C419053",4
"260","3D9.1C2C422ABE",4
"261","3D9.1C2C422E71",4
"262","3D9.1C2C426007",16
"263","3D9.1C2C4260B4",4
"264","3D9.1C2C4264AD",4
"265","3D9.1C2C426AD2",4
"266","3D9.1C2C427160",16
"267","3D9.1C2C4293CF",4
"268","3D9.1C2C429551",4
"269","3D9.1C2C42959D",4
"270","3D9.1C2C4296CA",4
"271","3D9.1C2C429DA1",4
"272","3D9.1C2C429DEC",4
"273","3D9.1C2C429F5B",4
"274","3D9.1C2C42A041",4
"275","3D9.1C2C42A073",4
"276","3D9.1C2C42A0CD",4
"277","3D9.1C2C42CD6A",4
"278","3D9.1C2C42DC73",4
"279","3D9.1C2C43577C",4
"280","3D9.1C2C43577C_repeat",4
"281","3D9.1C2C435858",4
"282","3D9.1C2C4478BF",4
"283","3D9.1C2C448869",4
"284","3D9.1C2C4488B0",16
"285","3D9.1C2C449556",4
"286","3D9.1C2C449716",16
"287","3D9.1C2C449BFB",4
"288","3D9.1C2C44A0C0",4
"289","3D9.1C2C44A7A9",4
"290","3D9.1C2C44AA92",4
"291","3D9.1C2C44AA93",4
"292","3D9.1C2C44AB37",4
"293","3D9.1C2C44AC69",4
"294","3D9.1C2C44AC6A",4
"295","3D9.1C2C44CB59",16
"296","3D9.1C2C44CD96",4
"297","3D9.1C2C44D298",4
"298","3D9.1C2C44DEA6",4
"299","3D9.1C2C44E0B5",4
"300","3D9.1C2C44E5C4",4
"301","3D9.1C2C44E6E6",4
"302","3D9.1C2C4512E8",4
"303","3D9.1C2C451B01",4
"304","3D9.1C2C451D15",4
"305","3D9.1C2C452A10",4
"306","3D9.1C2C452C6C",4
"307","3D9.1C2C4531B1",16
"308","3D9.1C2C45324F",4
"309","3D9.1C2C4536A2",4
"310","3D9.1C2C454402",4
"311","3D9.1C2C454CF4",4
"312","3D9.1C2C4550A1",4
"313","3D9.1C2C4562FC",16
"314","3D9.1C2C467685",4
"315","3D9.1C2C46E6B3",16
"316","3D9.1C2C472E3E",4
"317","3D9.1C2C47D482",4
"318","3D9.1C2C47D9B2",4
"319","3D9.1C2C47DC16",4
"320","3D9.1C2C47DD13",4
"321","3D9.1C2C4843BD",16
"322","3D9.1C2C487547",16
"323","3D9.1C2C487A97",16
"324","3D9.1C2C488608",16
"325","3D9.1C2C50C954",4
"326","3D9.1C2C50CC1F",4
"327","3D9.1C2C50D122",4
"328","3D9.1C2C50D4B1",4
"329","3D9.1C2C50D574",4
"330","3D9.1C2C50D87D",4
"331","3D9.1C2C50D910",4
"332","3D9.1C2C50D96A",4
"333","3D9.1C2C50D999",4
"334","3D9.1C2C50DBF6",16
"335","3D9.1C2C50DD03",16
"336","3D9.1C2C50DDC7",4
"337","3D9.1C2C50DDCF",4
"338","3D9.1C2C50DDD7",4
"339","3D9.1C2C50DE54",4
"340","3D9.1C2C50DE70",4
"341","3D9.1C2C50E3FD",4
"342","3D9.1C2C50E5B3",4
"343","3D9.1C2C50E66A",4
"344","3D9.1C2C50E8B5",4
"345","3D9.1C2C50E93E",16
"346","3D9.1C2C50EA2A",16
"347","3D9.1C2C50EBB0",4
"348","3D9.1C2C50EBCA",4
"349","3D9.1C2C50EFC7",4
"350","3D9.1C2C50F05E",4
"351","3D9.1C2C50F15D",4
"352","3D9.1C2C50F219",4
"353","3D9.1C2C50F3FA",4
"354","3D9.1C2C50F8B3",16
"355","3D9.1C2C50F9EB",4
"356","3D9.1C2C50FA0D",4
"357","3D9.1C2C50FF6A",4
"358","3D9.1C2C51016F",4
"359","3D9.1C2C5102E0",4
"360","3D9.1C2C5103FF",4
"361","3D9.1C2C5113F9",4
"362","3D9.1C2C5115A3",4
"363","3D9.1C2C512234",16
"364","3D9.1C2C513766",16
"365","3D9.1C2C515611",16
"366","3D9.1C2C516812",16
"367","3D9.1C2C516F05",4
"368","3D9.1C2C516FC1",4
"369","3D9.1C2C517149",4
"370","3D9.1C2C517A44",4
"371","3D9.1C2C517A68",4
