"","from","to","probability","origin"
"1","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.01 (0.00 - 0.01)","Wenatchee_River"
"2","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.01 (0.00 - 0.01)","Entiat_River"
"3","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.19 (0.00 - 0.56)","Okanogan_River"
"4","mainstem, MCN to ICH or PRA","mainstem, BON to MCN","0.01 (0.01 - 0.02)","Methow_River"
"5","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.99 (0.97 - 0.99)","Wenatchee_River"
"6","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.99 (0.98 - 0.99)","Entiat_River"
"7","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.57 (0.00 - 1.00)","Okanogan_River"
"8","mainstem, MCN to ICH or PRA","mainstem, PRA to RIS","0.98 (0.96 - 0.99)","Methow_River"
"9","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","<0.01","Wenatchee_River"
"10","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","<0.01","Entiat_River"
"11","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","0.08 (0.00 - 0.26)","Okanogan_River"
"12","mainstem, MCN to ICH or PRA","mainstem, ICH to LGR","<0.01","Methow_River"
"13","mainstem, MCN to ICH or PRA","Yakima River Mouth","<0.01","Wenatchee_River"
"14","mainstem, MCN to ICH or PRA","Yakima River Mouth","<0.01","Entiat_River"
"15","mainstem, MCN to ICH or PRA","Yakima River Mouth","0.01 (0.00 - 0.01)","Okanogan_River"
"16","mainstem, MCN to ICH or PRA","Yakima River Mouth","<0.01","Methow_River"
"17","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","<0.01","Wenatchee_River"
"18","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","<0.01","Entiat_River"
"19","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","<0.01","Okanogan_River"
"20","mainstem, MCN to ICH or PRA","Walla Walla River Mouth","<0.01","Methow_River"
"21","mainstem, MCN to ICH or PRA","loss","0.01 (0.00 - 0.01)","Wenatchee_River"
"22","mainstem, MCN to ICH or PRA","loss","0.01 (0.00 - 0.01)","Entiat_River"
"23","mainstem, MCN to ICH or PRA","loss","0.15 (0.00 - 0.43)","Okanogan_River"
"24","mainstem, MCN to ICH or PRA","loss","0.01 (0.00 - 0.02)","Methow_River"
"25","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.02 (0.01 - 0.03)","Wenatchee_River"
"26","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.02 (0.01 - 0.03)","Entiat_River"
"27","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.31 (0.00 - 1.00)","Okanogan_River"
"28","mainstem, PRA to RIS","mainstem, MCN to ICH or PRA","0.02 (0.01 - 0.03)","Methow_River"
"29","mainstem, PRA to RIS","mainstem, RIS to RRE","0.98 (0.96 - 0.99)","Wenatchee_River"
"30","mainstem, PRA to RIS","mainstem, RIS to RRE","0.96 (0.95 - 0.97)","Entiat_River"
"31","mainstem, PRA to RIS","mainstem, RIS to RRE","0.46 (0.00 - 1.00)","Okanogan_River"
"32","mainstem, PRA to RIS","mainstem, RIS to RRE","0.97 (0.95 - 0.98)","Methow_River"
"33","mainstem, PRA to RIS","loss","0.01 (0.00 - 0.02)","Wenatchee_River"
"34","mainstem, PRA to RIS","loss","0.02 (0.01 - 0.03)","Entiat_River"
"35","mainstem, PRA to RIS","loss","0.23 (0.00 - 1.00)","Okanogan_River"
"36","mainstem, PRA to RIS","loss","0.01 (0.01 - 0.03)","Methow_River"
"37","mainstem, RIS to RRE","mainstem, PRA to RIS","0.01 (0.00 - 0.01)","Wenatchee_River"
"38","mainstem, RIS to RRE","mainstem, PRA to RIS","0.01 (0.00 - 0.02)","Entiat_River"
"39","mainstem, RIS to RRE","mainstem, PRA to RIS","0.32 (0.00 - 1.00)","Okanogan_River"
"40","mainstem, RIS to RRE","mainstem, PRA to RIS","0.01 (0.01 - 0.02)","Methow_River"
"41","mainstem, RIS to RRE","mainstem, RRE to WEL","0.07 (0.05 - 0.08)","Wenatchee_River"
"42","mainstem, RIS to RRE","mainstem, RRE to WEL","0.98 (0.97 - 0.99)","Entiat_River"
"43","mainstem, RIS to RRE","mainstem, RRE to WEL","0.31 (0.00 - 1.00)","Okanogan_River"
"44","mainstem, RIS to RRE","mainstem, RRE to WEL","0.98 (0.96 - 0.99)","Methow_River"
"45","mainstem, RIS to RRE","Wenatchee River Mouth","0.90 (0.88 - 0.92)","Wenatchee_River"
"46","mainstem, RIS to RRE","Wenatchee River Mouth","0.01 (0.00 - 0.02)","Entiat_River"
"47","mainstem, RIS to RRE","Wenatchee River Mouth","0.26 (0.00 - 1.00)","Okanogan_River"
"48","mainstem, RIS to RRE","Wenatchee River Mouth","0.01 (0.00 - 0.02)","Methow_River"
"49","mainstem, RIS to RRE","loss","0.02 (0.01 - 0.04)","Wenatchee_River"
"50","mainstem, RIS to RRE","loss","<0.01","Entiat_River"
"51","mainstem, RIS to RRE","loss","0.11 (0.00 - 0.96)","Okanogan_River"
"52","mainstem, RIS to RRE","loss","<0.01","Methow_River"
"53","mainstem, RRE to WEL","mainstem, RIS to RRE","0.42 (0.30 - 0.51)","Wenatchee_River"
"54","mainstem, RRE to WEL","mainstem, RIS to RRE","0.03 (0.02 - 0.04)","Entiat_River"
"55","mainstem, RRE to WEL","mainstem, RIS to RRE","0.31 (0.00 - 1.00)","Okanogan_River"
"56","mainstem, RRE to WEL","mainstem, RIS to RRE","<0.01","Methow_River"
"57","mainstem, RRE to WEL","mainstem, upstream of WEL","0.49 (0.37 - 0.58)","Wenatchee_River"
"58","mainstem, RRE to WEL","mainstem, upstream of WEL","0.37 (0.34 - 0.39)","Entiat_River"
"59","mainstem, RRE to WEL","mainstem, upstream of WEL","0.40 (0.00 - 1.00)","Okanogan_River"
"60","mainstem, RRE to WEL","mainstem, upstream of WEL","0.97 (0.96 - 0.99)","Methow_River"
"61","mainstem, RRE to WEL","Entiat River Mouth","0.03 (0.01 - 0.07)","Wenatchee_River"
"62","mainstem, RRE to WEL","Entiat River Mouth","0.58 (0.55 - 0.61)","Entiat_River"
"63","mainstem, RRE to WEL","Entiat River Mouth","0.26 (0.00 - 1.00)","Okanogan_River"
"64","mainstem, RRE to WEL","Entiat River Mouth","<0.01","Methow_River"
"65","mainstem, RRE to WEL","loss","0.06 (0.03 - 0.12)","Wenatchee_River"
"66","mainstem, RRE to WEL","loss","0.03 (0.01 - 0.04)","Entiat_River"
"67","mainstem, RRE to WEL","loss","0.04 (0.00 - 0.22)","Okanogan_River"
"68","mainstem, RRE to WEL","loss","0.03 (0.01 - 0.04)","Methow_River"
"69","mainstem, upstream of WEL","mainstem, RRE to WEL","0.57 (0.40 - 0.68)","Wenatchee_River"
"70","mainstem, upstream of WEL","mainstem, RRE to WEL","0.61 (0.56 - 0.65)","Entiat_River"
"71","mainstem, upstream of WEL","mainstem, RRE to WEL","0.36 (0.00 - 1.00)","Okanogan_River"
"72","mainstem, upstream of WEL","mainstem, RRE to WEL","0.02 (0.01 - 0.03)","Methow_River"
"73","mainstem, upstream of WEL","Okanogan River Mouth","<0.01","Wenatchee_River"
"74","mainstem, upstream of WEL","Okanogan River Mouth","0.01 (0.00 - 0.03)","Entiat_River"
"75","mainstem, upstream of WEL","Okanogan River Mouth","0.10 (0.00 - 0.99)","Okanogan_River"
"76","mainstem, upstream of WEL","Okanogan River Mouth","0.10 (0.05 - 0.16)","Methow_River"
"77","mainstem, upstream of WEL","Methow River Mouth","0.30 (0.16 - 0.51)","Wenatchee_River"
"78","mainstem, upstream of WEL","Methow River Mouth","0.26 (0.21 - 0.32)","Entiat_River"
"79","mainstem, upstream of WEL","Methow River Mouth","0.43 (0.00 - 1.00)","Okanogan_River"
"80","mainstem, upstream of WEL","Methow River Mouth","0.88 (0.82 - 0.94)","Methow_River"
"81","mainstem, upstream of WEL","Upstream WEL other tributaries","<0.01","Wenatchee_River"
"82","mainstem, upstream of WEL","Upstream WEL other tributaries","<0.01","Entiat_River"
"83","mainstem, upstream of WEL","Upstream WEL other tributaries","0.05 (0.00 - 0.25)","Okanogan_River"
"84","mainstem, upstream of WEL","Upstream WEL other tributaries","<0.01","Methow_River"
"85","mainstem, upstream of WEL","loss","0.12 (0.00 - 0.25)","Wenatchee_River"
"86","mainstem, upstream of WEL","loss","0.11 (0.07 - 0.17)","Entiat_River"
"87","mainstem, upstream of WEL","loss","0.05 (0.00 - 0.46)","Okanogan_River"
"88","mainstem, upstream of WEL","loss","<0.01","Methow_River"
"89","Wenatchee River Mouth","mainstem, RIS to RRE","<0.01","Wenatchee_River"
"90","Wenatchee River Mouth","mainstem, RIS to RRE","0.98 (0.84 - 1.00)","Entiat_River"
"91","Wenatchee River Mouth","mainstem, RIS to RRE","0.48 (0.00 - 1.00)","Okanogan_River"
"92","Wenatchee River Mouth","mainstem, RIS to RRE","0.96 (0.76 - 1.00)","Methow_River"
"93","Wenatchee River Mouth","loss","1.00 (0.99 - 1.00)","Wenatchee_River"
"94","Wenatchee River Mouth","loss","0.02 (0.00 - 0.16)","Entiat_River"
"95","Wenatchee River Mouth","loss","0.52 (0.00 - 1.00)","Okanogan_River"
"96","Wenatchee River Mouth","loss","0.04 (0.00 - 0.24)","Methow_River"
"97","Entiat River Mouth","mainstem, RRE to WEL","0.47 (0.02 - 0.97)","Wenatchee_River"
"98","Entiat River Mouth","mainstem, RRE to WEL","0.03 (0.02 - 0.05)","Entiat_River"
"99","Entiat River Mouth","mainstem, RRE to WEL","0.30 (0.00 - 1.00)","Okanogan_River"
"100","Entiat River Mouth","mainstem, RRE to WEL","0.44 (0.00 - 1.00)","Methow_River"
"101","Entiat River Mouth","loss","0.53 (0.03 - 0.98)","Wenatchee_River"
"102","Entiat River Mouth","loss","0.97 (0.95 - 0.98)","Entiat_River"
"103","Entiat River Mouth","loss","0.70 (0.00 - 1.00)","Okanogan_River"
"104","Entiat River Mouth","loss","0.56 (0.00 - 1.00)","Methow_River"
"105","Okanogan River Mouth","mainstem, upstream of WEL","0.69 (0.00 - 1.00)","Wenatchee_River"
"106","Okanogan River Mouth","mainstem, upstream of WEL","0.95 (0.77 - 1.00)","Entiat_River"
"107","Okanogan River Mouth","mainstem, upstream of WEL","0.67 (0.00 - 1.00)","Okanogan_River"
"108","Okanogan River Mouth","mainstem, upstream of WEL","<0.01","Methow_River"
"109","Okanogan River Mouth","loss","0.31 (0.00 - 1.00)","Wenatchee_River"
"110","Okanogan River Mouth","loss","0.05 (0.00 - 0.23)","Entiat_River"
"111","Okanogan River Mouth","loss","0.33 (0.00 - 1.00)","Okanogan_River"
"112","Okanogan River Mouth","loss","1.00 (0.99 - 1.00)","Methow_River"
"113","Okanogan River Upstream","mainstem, upstream of WEL","0.69 (0.00 - 1.00)","Wenatchee_River"
"114","Okanogan River Upstream","mainstem, upstream of WEL","0.95 (0.77 - 1.00)","Entiat_River"
"115","Okanogan River Upstream","mainstem, upstream of WEL","0.67 (0.00 - 1.00)","Okanogan_River"
"116","Okanogan River Upstream","mainstem, upstream of WEL","<0.01","Methow_River"
"117","Okanogan River Upstream","loss","0.31 (0.00 - 1.00)","Wenatchee_River"
"118","Okanogan River Upstream","loss","0.05 (0.00 - 0.23)","Entiat_River"
"119","Okanogan River Upstream","loss","0.33 (0.00 - 1.00)","Okanogan_River"
"120","Okanogan River Upstream","loss","1.00 (0.99 - 1.00)","Methow_River"
"121","Methow River Mouth","mainstem, upstream of WEL","0.43 (0.16 - 0.68)","Wenatchee_River"
"122","Methow River Mouth","mainstem, upstream of WEL","0.70 (0.59 - 0.78)","Entiat_River"
"123","Methow River Mouth","mainstem, upstream of WEL","0.53 (0.00 - 1.00)","Okanogan_River"
"124","Methow River Mouth","mainstem, upstream of WEL","<0.01","Methow_River"
"125","Methow River Mouth","loss","0.57 (0.32 - 0.84)","Wenatchee_River"
"126","Methow River Mouth","loss","0.30 (0.22 - 0.41)","Entiat_River"
"127","Methow River Mouth","loss","0.47 (0.00 - 1.00)","Okanogan_River"
"128","Methow River Mouth","loss","1.00 (1.00 - 1.00)","Methow_River"
"129","Methow River Upstream","mainstem, upstream of WEL","0.43 (0.16 - 0.68)","Wenatchee_River"
"130","Methow River Upstream","mainstem, upstream of WEL","0.70 (0.59 - 0.78)","Entiat_River"
"131","Methow River Upstream","mainstem, upstream of WEL","0.53 (0.00 - 1.00)","Okanogan_River"
"132","Methow River Upstream","mainstem, upstream of WEL","<0.01","Methow_River"
"133","Methow River Upstream","loss","0.57 (0.32 - 0.84)","Wenatchee_River"
"134","Methow River Upstream","loss","0.30 (0.22 - 0.41)","Entiat_River"
"135","Methow River Upstream","loss","0.47 (0.00 - 1.00)","Okanogan_River"
"136","Methow River Upstream","loss","1.00 (1.00 - 1.00)","Methow_River"
