"","tag_code_2","natal_origin","rear_type"
"1","384.1B79725BC4",9,1
"2","384.1B7972997B",9,1
"3","384.1B7972A49E",9,1
"4","384.1B79731308",9,1
"5","384.1B79743F99",9,1
"6","384.1B79748280",9,1
"7","384.1B79748576",9,1
"8","384.1B797487E5",9,1
"9","384.1B79759CC6",9,1
"10","384.1B7975A27F",9,1
"11","384.3B23951BF7",17,1
"12","384.3B23961A21",17,1
"13","384.3B23963247",17,1
"14","384.3B239710A8",9,1
"15","384.3B2397E128",9,1
"16","384.3B23983360",9,1
"17","384.3B239834DE",9,1
"18","384.3B2398376D",9,1
"19","384.3B23983857",9,1
"20","384.3B23985618",9,1
"21","384.3B23988047",9,1
"22","384.3B23989D08",9,1
"23","384.3B2398B680",9,1
"24","384.3B2399307E",9,1
"25","384.3B239C900F",15,2
"26","384.3B239C94D3",15,2
"27","384.3B239C9E48",15,2
"28","384.3B239CA956",15,2
"29","384.3B239CAC2E",15,2
"30","384.3B239CBAFC",15,2
"31","384.3B239CD035",15,2
"32","384.3B239CEDBE",15,2
"33","384.3B239D0CCF",15,2
"34","384.3B239D1442",15,2
"35","384.3B239D1464",15,2
"36","384.3B239D146F",15,2
"37","384.3B239D1476",15,2
"38","384.3B239D1FE6",15,2
"39","384.3B239D6F08",3,1
"40","384.3B239E97EB",3,1
"41","384.3B23A41A91",17,1
"42","384.3B23A450EB",9,1
"43","384.3B23A46BE9",9,1
"44","384.3B23A48DE3",9,1
"45","384.3B23A497E0",17,1
"46","384.3B23A49D9E",9,1
"47","384.3B23A4D246",9,1
"48","384.3B23A4D97C",9,1
"49","384.3B23A4D9A0",9,1
"50","384.3B23A4F64F",9,1
"51","384.3B23A50565",9,1
"52","384.3B23A55421",9,1
"53","384.3B23A5676E",9,1
"54","384.3B23A56D0E",9,1
"55","384.3B23A57488",9,1
"56","384.3B23A57515",9,1
"57","384.3B23A582DF",9,1
"58","384.3B23A58E67",9,1
"59","384.3B23A5905B",9,1
"60","384.3B23A59121",9,1
"61","384.3B23A594DA",9,1
"62","384.3B23A596B1",9,1
"63","384.3B23A59AC4",9,1
"64","384.3B23A59CFF",9,1
"65","384.3B23A5AB2B",9,1
"66","384.3B23A5AF4A",9,1
"67","384.3B23A5C416",9,1
"68","384.3B23A5C65F",9,1
"69","384.3B23A5F5E0",9,1
"70","384.3B23A5FB92",9,1
"71","384.3B23A5FD8E",9,1
"72","384.3B23A627D1",9,1
"73","384.3B23A646A3",9,1
"74","384.3B23A65154",9,1
"75","384.3B23A65667",9,1
"76","384.3B23A67000",9,1
"77","384.3B23A68790",9,1
"78","384.3B23A69FCD",17,1
"79","384.3B23A6A742",9,1
"80","384.3B23A6B4A8",17,1
"81","384.3B23A6B4BF",9,1
"82","384.3B23A6BD6C",9,1
"83","384.3B23A6C6B1",9,1
"84","384.3B23A6F7D8",17,1
"85","384.3B23A6FB76",17,1
"86","384.3B23A75930",9,1
"87","384.3B23A783DB",9,1
"88","384.3B23A7B970",17,1
"89","384.3B23A7D3E0",15,2
"90","384.3B23A7E8DB",15,2
"91","384.3B23A7E8EB",15,2
"92","384.3B23A7F372",15,2
"93","384.3B23A7FE86",15,2
"94","384.3B23A81283",15,2
"95","384.3B23A81B9A",15,2
"96","384.3B23A81F43",15,2
"97","384.3B23A81FB7",17,1
"98","384.3B23A83787",15,2
"99","384.3B23A83AE3",15,2
"100","384.3B23A843B9",15,2
"101","384.3B23A8482B",15,2
"102","384.3B23A84F86",15,2
"103","384.3B23A85C72",15,2
"104","384.3B23A85CB3",15,2
"105","384.3B23A85D71",15,2
"106","384.3B23A8675D",15,2
"107","384.3B23A87C65",15,2
"108","384.3B23A87D39",15,2
"109","384.3B23A87DEA",15,2
"110","384.3B23A87E87",17,1
"111","384.3B23A880E1",15,2
"112","384.3B23A88459",17,1
"113","384.3B23A8889C",15,2
"114","384.3B23A8955B",15,2
"115","384.3B23A8AD86",15,2
"116","384.3B23A8BBDA",17,1
"117","384.3B23A8C3A7",15,2
"118","384.3B23A8C8AF",15,2
"119","384.3B23A8D683",15,2
"120","384.3B23A8D9A4",15,2
"121","384.3B23A8E529",15,2
"122","384.3B23A8E561",15,2
"123","384.3B23A8E74F",15,2
"124","384.3B23A8E9CE",15,2
"125","384.3B23A8ED16",15,2
"126","384.3B23A8F125",15,2
"127","384.3B23A8F147",15,2
"128","384.3B23A8FE06",15,2
"129","384.3B23A91842",17,1
"130","384.3B23A91A09",15,2
"131","384.3B23A91B96",15,2
"132","384.3B23A91C60",15,2
"133","384.3B23A91FD9",15,2
"134","384.3B23A92022",15,2
"135","384.3B23A92038",15,2
"136","384.3B23A92356",15,2
"137","384.3B23A9257E",15,2
"138","384.3B23A926B7",15,2
"139","384.3B23A92976",15,2
"140","384.3B23A92A90",17,1
"141","384.3B23A92BC1",15,2
"142","384.3B23A93092",15,2
"143","384.3B23A932FA",15,2
"144","384.3B23A933A5",15,2
"145","384.3B23A93649",15,2
"146","384.3B23A93C25",15,2
"147","384.3B23A93CC1",17,1
"148","384.3B23A93D54",15,2
"149","384.3B23A94001",15,2
"150","384.3B23A94082",15,2
"151","384.3B23A94108",15,2
"152","384.3B23A943E8",15,2
"153","384.3B23A9476B",14,2
"154","384.3B23A949FE",17,1
"155","384.3B23A94BBD",15,2
"156","384.3B23A94BC0",15,2
"157","384.3B23A94F34",15,2
"158","384.3B23A94F55",15,2
"159","384.3B23A9514D",15,2
"160","384.3B23A953F6",15,2
"161","384.3B23A95619",15,2
"162","384.3B23A96403",17,1
"163","384.3B23A96585",17,1
"164","384.3B23A967B8",15,2
"165","384.3B23A9693E",15,2
"166","384.3B23A96DB7",15,2
"167","384.3B23A9723A",17,1
"168","384.3B23A9744A",15,2
"169","384.3B23A97806",15,2
"170","384.3B23A97B06",15,2
"171","384.3B23A97D21",15,2
"172","384.3B23A97DA6",15,2
"173","384.3B23A9809B",15,2
"174","384.3B23A98219",15,2
"175","384.3B23A987D4",15,2
"176","384.3B23A9887F",15,2
"177","384.3B23A98912",15,2
"178","384.3B23A98A69",15,2
"179","384.3B23A98EA8",15,2
"180","384.3B23A99A1E",15,2
"181","384.3B23A9A3C8",15,2
"182","384.3B23A9A42C",15,2
"183","384.3B23A9A9C4",15,2
"184","384.3B23A9B7C7",15,2
"185","384.3B23A9B7F6",15,2
"186","384.3B23A9B977",15,2
"187","384.3B23A9B9C2",15,2
"188","384.3B23A9C3AF",15,2
"189","384.3B23A9CC4B",15,2
"190","384.3B23A9CDCC",15,2
"191","384.3B23A9D00F",15,2
"192","384.3B23A9D932",15,2
"193","384.3B23A9DD5E",15,2
"194","384.3B23A9DD6B",15,2
"195","384.3B23A9E849",15,2
"196","384.3B23AA067A",15,2
"197","384.3B23AA0FD5",15,2
"198","384.3B23AA0FFE",15,2
"199","384.3B23AA13BD",15,2
"200","384.3B23AA1E11",15,2
"201","384.3B23AA21A6",15,2
"202","384.3B23AA2B21",15,2
"203","384.3B23AA2C8B",15,2
"204","384.3B23AA2E55",15,2
"205","384.3B23AA2F5C",15,2
"206","384.3B23AA5F03",15,2
"207","384.3B23AA667A",15,2
"208","384.3B23AA729C",15,2
"209","384.3B23AAF333",15,2
"210","384.3B23AB1659",15,2
"211","384.3B23AB1A11",15,2
"212","384.3B23AB1BD8",15,2
"213","384.3B23AB1E04",15,2
"214","384.3B23AB2171",15,2
"215","384.3B23AB2396",15,2
"216","384.3B23AB2AD8",15,2
"217","384.3B23AB2B79",15,2
"218","384.3B23AB301F",15,2
"219","384.3B23AB34F1",15,2
"220","384.3B23AB41D9",15,2
"221","384.3B23AB4D27",15,2
"222","384.3B23AB52C1",15,2
"223","384.3B23AB5507",15,2
"224","384.3B23AB57B8",15,2
"225","384.3B23AB603D",15,2
"226","384.3B23AB61DA",15,2
"227","384.3B23AB652E",15,2
"228","384.3B23AB65B4",15,2
"229","384.3B23AB6854",15,2
"230","384.3B23AB6D61",15,2
"231","384.3B23AB72B2",15,2
"232","384.3B23AB777F",15,2
"233","384.3B23AB7A6E",15,2
