"","event_site_name","site_class","state"
"1","Bonneville Adult Fishways (combined)","BON (adult)","mainstem, BON to MCN"
"2","McNary Adult Fishways (combined)","MCN (adult)","mainstem, MCN to ICH or PRA"
"3","Priest Rapids Adult Fishways (combined)","PRA (adult)","mainstem, PRA to RIS"
"4","Rock Island Adult Fishways (combined)","RIS (adult)","mainstem, RIS to RRE"
"5","RRF - Rocky Reach Fishway","RRE (adult)","mainstem, RRE to WEL"
"6","Wells Dam Adult Fishways (combined)","WEL (adult)","mainstem, upstream of WEL"
"7","Ice Harbor Adult Fishways (combined)","ICH (adult)","mainstem, ICH to LGR"
"8","Lower Granite Dam Adult Fishways (combined)","LGR (adult)","mainstem, upstream of LGR"
"9","AFC - No./So. Fk Asotin Cr. Jct. ISA","ASO_sites","Asotin Creek"
"10","ACM - Asotin Creek near mouth","ASO_sites","Asotin Creek"
"11","ACB - Asotin Cr. at Cloverland Brdg.","ASO_sites","Asotin Creek"
"12","CCA - Lower Charley Creek ISA","ASO_sites","Asotin Creek"
"13","LAP - Lapwai Creek, near its mouth","CLE_sites","Clearwater River"
"14","SWT - Sweetwater Cr. near its mouth","CLE_sites","Clearwater River"
"15","WEB - Webb Creek","CLE_sites","Clearwater River"
"16","MIS - Mission Creek","CLE_sites","Clearwater River"
"17","DWL - Dworshak NFH adult trap","CLE_sites","Clearwater River"
"18","LC1 - Lower Lolo Creek at rkm 21","CLE_sites","Clearwater River"
"19","LC2 - Upper Lolo Creek at rkm 25","CLE_sites","Clearwater River"
"20","SC1 - Lower SF Clearwater R at rkm 1","CLE_sites","Clearwater River"
"21","KHS - Big Bear Cr. @ Kendrick HS","CLE_sites","Clearwater River"
"22","SC2 - Lower SF Clearwater R at rkm 2","CLE_sites","Clearwater River"
"23","LRL - Lower Lochsa River Array Site","CLE_sites","Clearwater River"
"24","LRU - Lochsa River Upper Site","CLE_sites","Clearwater River"
"25","PCM - Pine Creek Mouth, Potlatch R.","CLE_sites","Clearwater River"
"26","CLC - Clear Creek near Kooskia NFH","CLE_sites","Clearwater River"
"27","JUL - Potlatch River near Juliaetta","CLE_sites","Clearwater River"
"28","CRT - Crooked River Satellite Fac.","CLE_sites","Clearwater River"
"29","HLM - Potlatch River near Helmer","CLE_sites","Clearwater River"
"30","BBA - Big Bear Creek Array","CLE_sites","Clearwater River"
"31","EPR - East Fork Potlatch Array","CLE_sites","Clearwater River"
"32","DRM - Deschutes River mouth","DES_sites","Deschutes River"
"33","DSF - Deschutes Sherars Falls","DES_sites","Deschutes River"
"34","WSR - Warm Springs River PIT Array","DES_sites","Deschutes River"
"35","DBH - Buck Hollow Ck Deschutes Trib","DES_sites","Deschutes River"
"36","WSH - Warm Springs Hatchery","DES_sites","Deschutes River"
"37","SHK - Shitike Creek PIT Array","DES_sites","Deschutes River"
"38","TR1 - Lower Trout Cr - Deschutes","DES_sites","Deschutes River"
"39","TR2 - Trout/Antelope Cr - Deschutes","DES_sites","Deschutes River"
"40","DBO - Bakeoven Ck Deschutes Trib","DES_sites","Deschutes River"
"41","ENL - Lower Entiat River","ENT_sites","Entiat River"
"42","ENA - Upper Entiat River at rkm 17.1","ENT_sites","Entiat River"
"43","MAD - Mad River, Entiat River Basin","ENT_sites","Entiat River"
"44","TLT - Tillicum Creek Temporary Array","ENT_sites","Entiat River"
