"Tag Code","Event Type Name","Event Site Name","Event Date MMDDYYYY","Event Release Site Name","Event Release Date MMDDYYYY","Antenna ID","Antenna Group Name","Antenna Group Configuration Value","Event Date Time Value","CTH Count"
"3DD.0077E55876","Mark","MAVA - Magic Valley Hatchery","10/31/2019","PAHSIW - Pahsimeroi Weir","4/7/2020","NA","NA","0","10/31/2019 2:19:59 PM","1"
"3DD.0077E55876","Observation","BO1 - Bonneville Bradford Is. Ladder","5/7/2020","","","01","VERTICAL SLOT DETECTORS","120","5/7/2020 10:48:46 AM","1"
"3DD.0077E55876","Observation","BO1 - Bonneville Bradford Is. Ladder","5/7/2020","","","01","VERTICAL SLOT DETECTORS","120","5/7/2020 10:48:47 AM","1"
"3DD.0077E55876","Observation","BO1 - Bonneville Bradford Is. Ladder","5/7/2020","","","01","VERTICAL SLOT DETECTORS","120","5/7/2020 10:48:48 AM","1"
"3DD.0077E55876","Observation","BO1 - Bonneville Bradford Is. Ladder","5/7/2020","","","02","VERTICAL SLOT DETECTORS","120","5/7/2020 10:59:11 AM","1"
"3DD.0077E55876","Observation","BO1 - Bonneville Bradford Is. Ladder","5/7/2020","","","02","VERTICAL SLOT DETECTORS","120","5/7/2020 10:59:12 AM","1"
"3DD.0077E55876","Observation","BO1 - Bonneville Bradford Is. Ladder","5/7/2020","","","03","VERTICAL SLOT DETECTORS","120","5/7/2020 10:59:27 AM","1"
"3DD.0077E55876","Observation","BO1 - Bonneville Bradford Is. Ladder","5/7/2020","","","04","VERTICAL SLOT DETECTORS","120","5/7/2020 10:59:45 AM","1"
"3DD.0077E55876","Observation","BO1 - Bonneville Bradford Is. Ladder","5/7/2020","","","04","VERTICAL SLOT DETECTORS","120","5/7/2020 10:59:46 AM","1"
"3DD.0077E55876","Observation","GRS - Lower Granite Dam Spillway","4/27/2020","","","09","Downstream","100","4/27/2020 6:30:14 AM","1"
"3DD.0077E5598A","Mark","NISP - Niagara Springs Hatchery","11/3/2019","LSALR - Little Salmon River","4/27/2020","NA","NA","0","11/3/2019 7:26:19 AM","1"
"3DD.0077E5598A","Observation","BO3 - Bonneville WA Shore Ladder/AFF","9/21/2021","","","02","WEIR 59","110","9/21/2021 10:00:57 AM","1"
"3DD.0077E5598A","Observation","BO3 - Bonneville WA Shore Ladder/AFF","9/21/2021","","","07","WEIR 56","110","9/21/2021 9:58:37 AM","1"
"3DD.0077E5598A","Observation","BO3 - Bonneville WA Shore Ladder/AFF","9/21/2021","","","0C","WEIR 54","110","9/21/2021 9:52:15 AM","1"
"3DD.0077E5598A","Observation","BO3 - Bonneville WA Shore Ladder/AFF","9/21/2021","","","0C","WEIR 54","110","9/21/2021 9:52:16 AM","1"
"3DD.0077E5598A","Observation","BO3 - Bonneville WA Shore Ladder/AFF","9/21/2021","","","0E","WEIR 53","110","9/21/2021 9:52:12 AM","1"
"3DD.0077E5598A","Observation","BO3 - Bonneville WA Shore Ladder/AFF","9/21/2021","","","10","WEIR 52","110","9/21/2021 9:52:08 AM","1"
"3DD.0077E5598A","Observation","BO3 - Bonneville WA Shore Ladder/AFF","9/21/2021","","","11","WEIR 37","110","9/21/2021 8:23:45 AM","1"
"3DD.0077E5598A","Observation","BO3 - Bonneville WA Shore Ladder/AFF","9/21/2021","","","13","WEIR 36","110","9/21/2021 8:23:33 AM","1"
"3DD.0077E5598A","Observation","BO3 - Bonneville WA Shore Ladder/AFF","9/21/2021","","","17","WEIR 34","110","9/21/2021 8:21:50 AM","1"
"3DD.0077E5598A","Observation","BO3 - Bonneville WA Shore Ladder/AFF","9/21/2021","","","22","AFF NORTH FLUME [ISO 134KHZ]","110","9/21/2021 9:39:17 AM","1"
"3DD.0077E5598A","Observation","BO3 - Bonneville WA Shore Ladder/AFF","9/21/2021","","","24","AFF NORTH FLUME [ISO 134KHZ]","110","9/21/2021 9:39:17 AM","1"
"3DD.0077E5598A","Observation","BO3 - Bonneville WA Shore Ladder/AFF","9/21/2021","","","26","AFF NORTH FLUME [ISO 134KHZ]","110","9/21/2021 9:39:16 AM","1"
"3DD.0077E5598A","Observation","BO3 - Bonneville WA Shore Ladder/AFF","9/21/2021","","","28","AFF NORTH FLUME [ISO 134KHZ]","110","9/21/2021 9:39:16 AM","1"
