"","tag_code","event_type_name","event_site_name","event_date_mmddyyyy","event_release_site_name","event_release_date_mmddyyyy","antenna_id","antenna_group_name","antenna_group_configuration_value","event_date_time_value","cth_count"
"1418","384.1B796A0B67","Mark","HAGE - Hagerman NFH","11/17/2010","SALEFT - East Fork Salmon River Trap","5/4/2011",NA,NA,0,"11/17/2010 3:05:00 PM",1
"1419","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","02","WEIR 59",110,"8/27/2012 12:31:32 PM",1
"1420","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","02","WEIR 59",110,"8/27/2012 12:31:33 PM",1
"1421","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","04","WEIR 58",110,"8/27/2012 12:28:36 PM",1
"1422","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","04","WEIR 58",110,"8/27/2012 12:28:37 PM",1
"1423","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","06","WEIR 57",110,"8/27/2012 12:26:34 PM",1
"1424","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","08","WEIR 56",110,"8/27/2012 12:24:35 PM",1
"1425","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","08","WEIR 56",110,"8/27/2012 12:24:36 PM",1
"1426","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","0A","WEIR 55",110,"8/27/2012 12:21:36 PM",1
"1427","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","0A","WEIR 55",110,"8/27/2012 12:21:37 PM",1
"1428","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","0C","WEIR 54",110,"8/27/2012 12:17:35 PM",1
"1429","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","0C","WEIR 54",110,"8/27/2012 12:17:36 PM",1
"1430","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","0E","WEIR 53",110,"8/27/2012 12:15:23 PM",1
"1431","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","0E","WEIR 53",110,"8/27/2012 12:15:24 PM",1
"1432","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","10","WEIR 52",110,"8/27/2012 12:12:41 PM",1
"1433","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","10","WEIR 52",110,"8/27/2012 12:12:42 PM",1
"1434","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","12","WEIR 37",110,"8/27/2012 9:44:02 AM",1
"1435","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","14","WEIR 36",110,"8/27/2012 9:43:41 AM",1
"1436","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","14","WEIR 36",110,"8/27/2012 9:43:42 AM",1
"1437","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","18","WEIR 34",110,"8/27/2012 9:39:39 AM",1
"1438","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","18","WEIR 34",110,"8/27/2012 9:39:40 AM",1
"1439","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","22","AFF NORTH FLUME [ISO 134KHZ]",110,"8/27/2012 10:59:17 AM",1
"1440","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","24","AFF NORTH FLUME [ISO 134KHZ]",110,"8/27/2012 10:59:16 AM",1
"1441","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","26","AFF NORTH FLUME [ISO 134KHZ]",110,"8/27/2012 10:59:16 AM",1
"1442","384.1B796A0B67","Observation","BO3 - Bonneville WA Shore Ladder/AFF","8/27/2012","","","28","AFF NORTH FLUME [ISO 134KHZ]",110,"8/27/2012 10:59:16 AM",1
"1443","384.1B796A0B67","Observation","BO4 - Bonneville WA Ladder Slots","8/27/2012","","","01","VERTICAL SLOT DETECTORS",100,"8/27/2012 1:18:31 PM",1
"1444","384.1B796A0B67","Observation","BO4 - Bonneville WA Ladder Slots","8/27/2012","","","01","VERTICAL SLOT DETECTORS",100,"8/27/2012 1:18:32 PM",1
"1445","384.1B796A0B67","Observation","BO4 - Bonneville WA Ladder Slots","8/27/2012","","","02","VERTICAL SLOT DETECTORS",100,"8/27/2012 1:16:53 PM",1
"1446","384.1B796A0B67","Observation","BO4 - Bonneville WA Ladder Slots","8/27/2012","","","03","VERTICAL SLOT DETECTORS",100,"8/27/2012 1:15:19 PM",1
"1447","384.1B796A0B67","Observation","BO4 - Bonneville WA Ladder Slots","8/27/2012","","","03","VERTICAL SLOT DETECTORS",100,"8/27/2012 1:15:20 PM",1
"1448","384.1B796A0B67","Observation","BO4 - Bonneville WA Ladder Slots","8/27/2012","","","04","VERTICAL SLOT DETECTORS",100,"8/27/2012 1:13:33 PM",1
"1449","384.1B796A0B67","Observation","BO4 - Bonneville WA Ladder Slots","8/27/2012","","","04","VERTICAL SLOT DETECTORS",100,"8/27/2012 1:13:34 PM",1
"1450","384.1B796A0B67","Observation","GRA - Lower Granite Dam Adult","12/15/2012","","","02","WEIR 733",140,"12/15/2012 3:48:17 PM",1
"1451","384.1B796A0B67","Observation","GRA - Lower Granite Dam Adult","12/15/2012","","","04","WEIR 732",140,"12/15/2012 3:45:23 PM",1
"1452","384.1B796A0B67","Observation","GRA - Lower Granite Dam Adult","12/15/2012","","","06","WEIR 731",140,"12/15/2012 3:44:47 PM",1
"1453","384.1B796A0B67","Observation","GRA - Lower Granite Dam Adult","12/15/2012","","","08","WEIR 730",140,"12/15/2012 3:41:48 PM",1
"1454","384.1B796A0B67","Observation","GRJ - Lower Granite Dam Juvenile","6/2/2011","","","11","RCWY-10 GATE",140,"6/2/2011 8:49:06 PM",1
"1455","384.1B796A0B67","Observation","GRJ - Lower Granite Dam Juvenile","6/2/2011","","","12","RCWY-10 GATE",140,"6/2/2011 8:49:07 PM",1
"1456","384.1B796A0B67","Observation","GRJ - Lower Granite Dam Juvenile","6/2/2011","","","71","RACEWAY EAST",140,"6/2/2011 8:49:18 PM",1
"1457","384.1B796A0B67","Observation","GRJ - Lower Granite Dam Juvenile","6/2/2011","","","72","RACEWAY EAST",140,"6/2/2011 8:49:18 PM",1
"1458","384.1B796A0B67","Observation","GRJ - Lower Granite Dam Juvenile","6/2/2011","","","B1","B-SEPARATOR GATE",140,"6/2/2011 8:48:59 PM",1
"1459","384.1B796A0B67","Observation","GRJ - Lower Granite Dam Juvenile","6/2/2011","","","B2","B-SEPARATOR GATE",140,"6/2/2011 8:48:59 PM",1
"1460","384.1B796A0B67","Observation","ICH - Ice Harbor Dam (Combined)","12/7/2012","","","01","LEFT LADDER WEIR 438 [O/S]",100,"12/7/2012 11:11:27 PM",1
"1461","384.1B796A0B67","Observation","ICH - Ice Harbor Dam (Combined)","12/7/2012","","","03","LEFT LADDER WEIR 437 [O/S]",100,"12/7/2012 11:11:12 PM",1
"1462","384.1B796A0B67","Observation","ICH - Ice Harbor Dam (Combined)","12/7/2012","","","05","LEFT LADDER WEIR 436 [O/S]",100,"12/7/2012 11:09:11 PM",1
"1463","384.1B796A0B67","Observation","ICH - Ice Harbor Dam (Combined)","12/7/2012","","","07","LEFT LADDER WEIR 435 [O/S]",100,"12/7/2012 11:05:34 PM",1
"1464","384.1B796A0B67","Observation","ICH - Ice Harbor Dam (Combined)","12/7/2012","","","07","LEFT LADDER WEIR 435 [O/S]",100,"12/7/2012 11:05:35 PM",1
"1465","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","11/3/2012","","","01","COUNTING WINDOW",100,"11/3/2012 5:30:29 AM",1
"1466","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","11/3/2012","","","01","COUNTING WINDOW",100,"11/3/2012 5:30:40 AM",1
"1467","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","11/3/2012","","","01","COUNTING WINDOW",100,"11/3/2012 5:33:51 AM",1
"1468","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","11/3/2012","","","02","COUNTING WINDOW",100,"11/3/2012 5:34:56 AM",1
"1469","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","11/3/2012","","","02","COUNTING WINDOW",100,"11/3/2012 5:34:57 AM",1
"1470","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","11/3/2012","","","02","COUNTING WINDOW",100,"11/3/2012 5:34:58 AM",1
"1471","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","11/3/2012","","","04","WEIR 288",100,"11/3/2012 6:23:36 AM",1
"1472","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","11/3/2012","","","04","WEIR 288",100,"11/3/2012 6:23:37 AM",1
"1473","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","11/3/2012","","","08","WEIR 286",100,"11/3/2012 6:23:47 AM",1
"1474","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","11/3/2012","","","0A","WEIR 284",100,"11/3/2012 6:24:40 AM",1
"1475","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","11/3/2012","","","0C","WEIR 283",100,"11/3/2012 6:25:11 AM",1
"1476","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","11/3/2012","","","0C","WEIR 283",100,"11/3/2012 6:25:12 AM",1
"1477","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","11/3/2012","","","0D","WEIR 282",100,"11/3/2012 6:25:24 AM",1
"1478","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","11/3/2012","","","0E","WEIR 282",100,"11/3/2012 6:25:51 AM",1
"1479","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","11/3/2012","","","0F","WEIR 280",100,"11/3/2012 6:28:02 AM",1
"1480","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","11/3/2012","","","11","WEIR 279",100,"11/3/2012 6:28:26 AM",1
"1481","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","12/6/2012","","","01","COUNTING WINDOW",100,"12/6/2012 10:35:08 AM",1
"1482","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","12/6/2012","","","02","COUNTING WINDOW",100,"12/6/2012 10:35:03 AM",1
"1483","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","12/6/2012","","","02","COUNTING WINDOW",100,"12/6/2012 10:35:04 AM",1
"1484","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","12/6/2012","","","03","WEIR 288",100,"12/6/2012 8:37:43 AM",1
"1485","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","12/6/2012","","","05","WEIR 287",100,"12/6/2012 8:35:30 AM",1
"1486","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","12/6/2012","","","05","WEIR 287",100,"12/6/2012 8:35:31 AM",1
"1487","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","12/6/2012","","","08","WEIR 286",100,"12/6/2012 8:32:47 AM",1
"1488","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","12/6/2012","","","0A","WEIR 284",100,"12/6/2012 8:28:58 AM",1
"1489","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder","12/6/2012","","","0A","WEIR 284",100,"12/6/2012 8:28:59 AM",1
