"","tag_code","event_type_name","event_site_name","start_time","end_time","start_antenna_id","end_antenna_id","start_ant_group","end_ant_group","ant_config","non_ascent"
"77","384.1B796A0B67","Observation","BO2-BO3-BO4",2012-08-27 02:39:39,2012-08-27 06:18:32,"18","01","WEIR 34","VERTICAL SLOT DETECTORS",100,NA
"78","384.1B796A0B67","Observation","MC2 - McNary Washington Shore Ladder",2012-10-26 05:39:22,2012-10-26 06:30:34,"12","01","WEIR 302","COUNTING WINDOW",120,NA
"79","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder",2012-11-02 22:30:29,2012-11-02 23:28:26,"01","11","COUNTING WINDOW","WEIR 279",100,"descent"
"80","384.1B796A0B67","Observation","MC1 - McNary Oregon Shore Ladder",2012-12-06 00:14:06,2012-12-06 02:35:08,"12","01","WEIR 279","COUNTING WINDOW",100,NA
"81","384.1B796A0B67","Observation","ICH2 - Ice Harbor Dam South Ladder",2012-12-07 15:05:34,2012-12-07 15:11:27,"07","01","LEFT LADDER WEIR 435 [O/S]","LEFT LADDER WEIR 438 [O/S]",100,NA
"82","384.1B796A0B67","Observation","GRA - Lower Granite Dam Adult",2012-12-15 07:41:48,2012-12-15 07:48:17,"08","02","WEIR 730","WEIR 733",140,NA
"83","384.1B796A0B67","Observation","USE - Upper Salmon River at rkm 437",2013-04-04 14:06:07,2013-04-04 14:06:07,"B6","B6","ARRAY","ARRAY",100,NA
"237","384.1B796A1CE2","Observation","BO1 - Bonneville Bradford Is. Ladder",2013-09-13 13:16:03,2013-09-13 22:12:00,"24","13","B-BRANCH WEIR 43","A-BRANCH WEIR 43",110,"aborted"
"238","384.1B796A1CE2","Observation","BO2-BO3-BO4",2013-09-14 06:07:32,2013-09-14 08:08:59,"18","01","WEIR 34","VERTICAL SLOT DETECTORS",100,NA
"239","384.1B796A1CE2","Observation","The Dalles Adult Fishways (combined)",2013-09-21 05:50:45,2013-09-21 05:50:49,"02","01","Counting Window","Counting Window",100,NA
"240","384.1B796A1CE2","Observation","MC1 - McNary Oregon Shore Ladder",2013-09-24 22:27:38,2013-09-25 00:36:22,"12","01","WEIR 279","COUNTING WINDOW",100,NA
"241","384.1B796A1CE2","Observation","ICH2 - Ice Harbor Dam South Ladder",2013-09-27 06:23:39,2013-09-27 06:57:43,"07","01","LEFT LADDER WEIR 435 [O/S]","LEFT LADDER WEIR 438 [O/S]",100,NA
"242","384.1B796A1CE2","Observation","GRA - Lower Granite Dam Adult",2013-10-04 23:56:53,2013-10-05 00:55:36,"14","02","ISO WEST","WEIR 733",140,NA
"243","384.1B796A1CE2","Observation","USE - Upper Salmon River at rkm 437",2014-03-21 12:31:58,2014-03-21 12:31:58,"B6","B6","ARRAY","ARRAY",100,NA
"2386","384.36F2B48AEC","Observation","BO1 - Bonneville Bradford Is. Ladder",2015-09-02 05:24:52,2015-09-02 23:56:07,"13","01","A-BRANCH WEIR 43","VERTICAL SLOT DETECTORS",110,NA
"2387","384.36F2B48AEC","Observation","The Dalles Adult Fishways (combined)",2015-09-04 14:32:32,2015-09-04 14:55:55,"02","01","Counting Window","Counting Window",100,NA
"2388","384.36F2B48AEC","Observation","MC1 - McNary Oregon Shore Ladder",2015-09-08 22:54:47,2015-09-09 00:05:17,"0D","01","WEIR 282","COUNTING WINDOW",100,NA
"2389","384.36F2B48AEC","Observation","PRA1 - Priest Rapids Adult West Ladder",2015-09-14 03:32:26,2015-09-14 03:33:28,"08","06","RIGHT [WEST] LADDER WEIR 5","RIGHT [WEST] LADDER WEIR 3",110,NA
"2390","384.36F2B48AEC","Observation","RIA2 - Rock Island Adult Middle Ladder",2015-09-18 02:47:00,2015-09-18 02:47:10,"0A","09","Right Ladder Exit Channel","Right Ladder Exit Channel",130,NA
