"","tag_code","state","date_time","pathway"
"1400","384.1B796A7AD8","mainstem, BON to MCN",2012-08-01 13:00:03,"BON (adult)"
"1401","384.1B796A7AD8","mainstem, MCN to ICH or PRA",2012-09-23 10:35:09,"MCN (adult)"
"1402","384.1B796A7AD8","mainstem, ICH to LGR",2012-09-25 08:24:32,"ICH (adult)"
"1403","384.1B796A7AD8","mainstem, upstream of LGR",2012-10-02 10:40:24,"LGR (adult)"
"1404","384.1B796A7AD8","Salmon River",2012-11-02 17:37:36,"SAL_sites"
"1406","384.1B796A7D4D","mainstem, BON to MCN",2012-08-14 10:52:33,"BON (adult)"
"1407","384.1B796A7DA5","mainstem, BON to MCN",2012-08-27 13:24:31,"BON (adult)"
"1408","384.1B796A7DA5","mainstem, MCN to ICH or PRA",2012-09-26 12:57:57,"MCN (adult)"
"1409","384.1B796A7DA5","mainstem, ICH to LGR",2012-09-29 04:11:59,"ICH (adult)"
"1410","384.1B796A7DBB","mainstem, BON to MCN",2012-08-28 08:06:25,"BON (adult)"
"1411","384.1B796A7DBB","mainstem, MCN to ICH or PRA",2012-09-05 13:22:56,"MCN (adult)"
"1412","384.1B796A7DBB","mainstem, ICH to LGR",2012-09-07 16:19:03,"ICH (adult)"
"1413","384.1B796A7DBB","mainstem, upstream of LGR",2012-09-15 10:45:12,"LGR (adult)"
"1414","384.1B796A7DBB","Salmon River",2012-11-21 17:35:14,"SAL_sites"
"1416","384.1B796A7E72","mainstem, BON to MCN",2013-08-11 11:44:28,"BON (adult)"
"1417","384.1B796A7F9D","mainstem, BON to MCN",2012-07-30 12:10:36,"BON (adult)"
"1418","384.1B796A804B","mainstem, BON to MCN",2012-08-11 06:23:27,"BON (adult)"
"1419","384.1B796A8089","mainstem, BON to MCN",2012-08-04 15:13:30,"BON (adult)"
"1420","384.1B796A8089","mainstem, MCN to ICH or PRA",2012-08-14 08:17:20,"MCN (adult)"
"1421","384.1B796A8089","mainstem, ICH to LGR",2012-09-04 16:08:21,"ICH (adult)"
"1422","384.1B796A8089","mainstem, upstream of LGR",2012-09-11 14:58:40,"LGR (adult)"
"1423","384.1B796A8089","Salmon River",2013-04-03 13:46:42,"SAL_sites"
"1424","384.1B796A8099","mainstem, BON to MCN",2012-08-01 17:30:14,"BON (adult)"
"1425","384.1B796A8099","mainstem, MCN to ICH or PRA",2012-08-11 19:05:51,"MCN (adult)"
"1426","384.1B796A8099","mainstem, PRA to RIS",2012-08-30 12:26:18,"PRA (adult)"
"1427","384.1B796A8099","mainstem, RIS to RRE",2012-09-06 17:25:14,"RIS (adult)"
"1428","384.1B796A8099","mainstem, RRE to WEL",2012-09-08 08:41:16,"RRE (adult)"
"1429","384.1B796A8099","mainstem, upstream of WEL",2012-09-11 15:20:47,"WEL (adult)"
"1430","384.1B796A8099","Methow River Mouth",2012-09-30 17:36:29,"MET_RM"
"1431","384.1B796A8099","mainstem, upstream of WEL",NA,"implicit"
"1432","384.1B796A8099","mainstem, RRE to WEL",NA,"implicit"
"1433","384.1B796A8099","mainstem, RIS to RRE",NA,"implicit"
"1434","384.1B796A8099","mainstem, PRA to RIS",NA,"implicit"
"1437","384.1B796A8099","mainstem, RIS to RRE",2012-12-11 08:25:23,"RIS (adult)"
"1438","384.1B796A8099","mainstem, PRA to RIS",NA,"implicit"
"1439","384.1B796A8099","mainstem, RIS to RRE",2013-03-06 16:53:26,"RIS (adult)"
"1440","384.1B796A8099","mainstem, RRE to WEL",NA,"implicit"
"1441","384.1B796A8099","Entiat River Mouth",2013-03-21 13:50:47,"ENT_RM"
"1442","384.1B796A8099","mainstem, RRE to WEL",NA,"implicit"
