# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-10-18 14:54:24 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 13335050 ASOTIN CREEK AT ASOTIN, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 13335050
#            TS   parameter     statistic     Description
#        150187       00060     00003     Discharge, cubic feet per second (Mean)
#        150188       00065     00003     Gage height, feet (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	150187_00060_00003	150187_00060_00003_cd	150188_00065_00003	150188_00065_00003_cd
5s	15s	20d	14n	10s	14n	10s
USGS	13335050	2005-01-01	39.7	A	2.01	A
USGS	13335050	2005-01-02	39.2	A	2.01	A
USGS	13335050	2005-01-03	38.3	A	2.00	A
USGS	13335050	2005-01-04	37.5	A	1.99	A
USGS	13335050	2005-01-05	37.1	A	1.99	A
USGS	13335050	2005-01-06	36.5	A	1.99	A
USGS	13335050	2005-01-07	38.6	A	2.00	A
USGS	13335050	2005-01-08	39.8	A	2.01	A
USGS	13335050	2005-01-09	39.3	A	2.01	A
USGS	13335050	2005-01-10	38.3	A	2.00	A
USGS	13335050	2005-01-11	38.3	A	2.00	A
USGS	13335050	2005-01-12	38.2	A	2.00	A
USGS	13335050	2005-01-13	38.2	A	2.00	A
USGS	13335050	2005-01-14	38.1	A	2.00	A
USGS	13335050	2005-01-15	37.5	A	1.99	A
USGS	13335050	2005-01-16	38.2	A	2.00	A
USGS	13335050	2005-01-17	38.2	A	2.00	A
USGS	13335050	2005-01-18	40.9	A	2.02	A
USGS	13335050	2005-01-19	45.8	A	2.05	A
USGS	13335050	2005-01-20	46.5	A	2.06	A
USGS	13335050	2005-01-21	46.9	A	2.06	A
USGS	13335050	2005-01-22	46.4	A	2.06	A
USGS	13335050	2005-01-23	46.3	A	2.05	A
USGS	13335050	2005-01-24	46.8	A	2.06	A
USGS	13335050	2005-01-25	45.9	A	2.05	A
USGS	13335050	2005-01-26	45.6	A	2.05	A
USGS	13335050	2005-01-27	46.3	A	2.05	A
USGS	13335050	2005-01-28	45.8	A	2.05	A
USGS	13335050	2005-01-29	45.4	A	2.05	A
USGS	13335050	2005-01-30	44.3	A	2.04	A
USGS	13335050	2005-01-31	43.9	A	2.04	A
USGS	13335050	2005-02-01	43.5	A	2.04	A
