# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-10-18 14:57:01 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14103000 DESCHUTES RIVER AT MOODY, NEAR BIGGS, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14103000
#            TS   parameter     statistic     Description
#        113458       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113458_00060_00003	113458_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14103000	2005-01-01	4630	A
USGS	14103000	2005-01-02	4620	A
USGS	14103000	2005-01-03	4660	A
USGS	14103000	2005-01-04	4750	A
USGS	14103000	2005-01-05	4730	A
USGS	14103000	2005-01-06	4680	A
USGS	14103000	2005-01-07	4610	A
USGS	14103000	2005-01-08	4650	A
USGS	14103000	2005-01-09	4650	A
USGS	14103000	2005-01-10	4840	A
USGS	14103000	2005-01-11	4820	A
USGS	14103000	2005-01-12	4750	A
USGS	14103000	2005-01-13	4760	A
USGS	14103000	2005-01-14	4740	A
USGS	14103000	2005-01-15	4710	A
USGS	14103000	2005-01-16	4580	A
USGS	14103000	2005-01-17	4620	A
USGS	14103000	2005-01-18	4790	A
USGS	14103000	2005-01-19	5490	A
USGS	14103000	2005-01-20	5750	A
USGS	14103000	2005-01-21	5640	A
USGS	14103000	2005-01-22	5430	A
USGS	14103000	2005-01-23	5280	A
USGS	14103000	2005-01-24	5260	A
USGS	14103000	2005-01-25	5220	A
USGS	14103000	2005-01-26	5150	A
USGS	14103000	2005-01-27	5050	A
USGS	14103000	2005-01-28	5030	A
USGS	14103000	2005-01-29	5010	A
USGS	14103000	2005-01-30	5020	A
USGS	14103000	2005-01-31	5000	A
USGS	14103000	2005-02-01	4980	A
USGS	14103000	2005-02-02	4960	A
USGS	14103000	2005-02-03	4940	A
USGS	14103000	2005-02-04	4940	A
USGS	14103000	2005-02-05	4900	A
USGS	14103000	2005-02-06	4830	A
USGS	14103000	2005-02-07	4850	A
USGS	14103000	2005-02-08	4820	A
USGS	14103000	2005-02-09	4800	A
USGS	14103000	2005-02-10	4760	A
USGS	14103000	2005-02-11	4650	A
USGS	14103000	2005-02-12	4650	A
USGS	14103000	2005-02-13	4680	A
USGS	14103000	2005-02-14	4670	A
USGS	14103000	2005-02-15	4690	A
USGS	14103000	2005-02-16	4760	A
USGS	14103000	2005-02-17	4730	A
USGS	14103000	2005-02-18	4600	A
USGS	14103000	2005-02-19	4510	A
USGS	14103000	2005-02-20	4590	A
USGS	14103000	2005-02-21	4690	A
USGS	14103000	2005-02-22	4760	A
USGS	14103000	2005-02-23	4760	A
USGS	14103000	2005-02-24	4760	A
USGS	14103000	2005-02-25	4750	A
USGS	14103000	2005-02-26	4750	A
USGS	14103000	2005-02-27	4750	A
USGS	14103000	2005-02-28	4760	A
USGS	14103000	2005-03-01	4770	A
USGS	14103000	2005-03-02	4770	A
USGS	14103000	2005-03-03	4760	A
USGS	14103000	2005-03-04	4760	A
USGS	14103000	2005-03-05	4760	A
USGS	14103000	2005-03-06	4750	A
USGS	14103000	2005-03-07	4750	A
USGS	14103000	2005-03-08	4760	A
USGS	14103000	2005-03-09	4770	A
USGS	14103000	2005-03-10	4740	A
USGS	14103000	2005-03-11	4640	A
USGS	14103000	2005-03-12	4630	A
USGS	14103000	2005-03-13	4630	A
USGS	14103000	2005-03-14	4630	A
USGS	14103000	2005-03-15	4610	A
USGS	14103000	2005-03-16	4610	A
USGS	14103000	2005-03-17	4610	A
USGS	14103000	2005-03-18	4620	A
USGS	14103000	2005-03-19	4640	A
USGS	14103000	2005-03-20	4710	A
USGS	14103000	2005-03-21	4820	A
USGS	14103000	2005-03-22	4830	A
USGS	14103000	2005-03-23	4860	A
USGS	14103000	2005-03-24	4830	A
USGS	14103000	2005-03-25	4820	A
USGS	14103000	2005-03-26	4810	A
USGS	14103000	2005-03-27	4950	A
USGS	14103000	2005-03-28	5980	A
USGS	14103000	2005-03-29	6200	A
USGS	14103000	2005-03-30	5910	A
USGS	14103000	2005-03-31	5680	A
USGS	14103000	2005-04-01	5500	A
USGS	14103000	2005-04-02	5430	A
USGS	14103000	2005-04-03	5310	A
USGS	14103000	2005-04-04	5280	A
USGS	14103000	2005-04-05	5210	A
USGS	14103000	2005-04-06	5050	A
USGS	14103000	2005-04-07	4930	A
USGS	14103000	2005-04-08	4890	A
USGS	14103000	2005-04-09	4980	A
USGS	14103000	2005-04-10	4910	A
USGS	14103000	2005-04-11	4900	A
USGS	14103000	2005-04-12	4930	A
USGS	14103000	2005-04-13	4980	A
USGS	14103000	2005-04-14	4970	A
USGS	14103000	2005-04-15	4950	A
USGS	14103000	2005-04-16	4900	A
USGS	14103000	2005-04-17	4810	A
USGS	14103000	2005-04-18	4820	A
USGS	14103000	2005-04-19	4800	A
USGS	14103000	2005-04-20	4750	A
