# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-10-18 15:26:00 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12449950 METHOW RIVER NEAR PATEROS, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 12449950
#            TS   parameter     statistic     Description
#        296286       00060     00003     Discharge, cubic feet per second (Mean)
#        296287       00065     00003     Gage height, feet (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	296286_00060_00003	296286_00060_00003_cd	296287_00065_00003	296287_00065_00003_cd
5s	15s	20d	14n	10s	14n	10s
USGS	12449950	2005-01-01	495	A	1.92	A
USGS	12449950	2005-01-02	482	A	1.89	A
USGS	12449950	2005-01-03	458	A	1.84	A
USGS	12449950	2005-01-04	388	A	1.69	A
USGS	12449950	2005-01-05	330	A:e	1.61	A
USGS	12449950	2005-01-06	340	A:e	1.68	A
USGS	12449950	2005-01-07	378	A:e	1.95	A
USGS	12449950	2005-01-08	395	A:e	2.04	A
USGS	12449950	2005-01-09	400	A:e	2.06	A
USGS	12449950	2005-01-10	390	A:e	2.04	A
USGS	12449950	2005-01-11	360	A:e	1.98	A
USGS	12449950	2005-01-12	360	A:e	2.01	A
USGS	12449950	2005-01-13	350	A:e	1.87	A
USGS	12449950	2005-01-14	340	A:e		
USGS	12449950	2005-01-15	323	A:e		
USGS	12449950	2005-01-16	350	A:e		
USGS	12449950	2005-01-17	370	A:e		
USGS	12449950	2005-01-18	385	A:e		
USGS	12449950	2005-01-19	580	A:e		
USGS	12449950	2005-01-20	950	A:e	2.51	A
USGS	12449950	2005-01-21	1000	A:e	2.79	A
USGS	12449950	2005-01-22	965	A	2.66	A
USGS	12449950	2005-01-23	1000	A	2.71	A
USGS	12449950	2005-01-24	1290	A	3.05	A
USGS	12449950	2005-01-25	1460	A	3.24	A
USGS	12449950	2005-01-26	1470	A	3.26	A
USGS	12449950	2005-01-27	1430	A	3.21	A
USGS	12449950	2005-01-28	1350	A	3.12	A
USGS	12449950	2005-01-29	1270	A	3.03	A
USGS	12449950	2005-01-30	1190	A	2.94	A
USGS	12449950	2005-01-31	1130	A	2.87	A
USGS	12449950	2005-02-01	1080	A	2.81	A
USGS	12449950	2005-02-02	1010	A	2.73	A
USGS	12449950	2005-02-03	972	A	2.68	A
USGS	12449950	2005-02-04	942	A	2.64	A
USGS	12449950	2005-02-05	925	A	2.61	A
USGS	12449950	2005-02-06	877	A	2.55	A
USGS	12449950	2005-02-07	849	A	2.51	A
USGS	12449950	2005-02-08	814	A	2.46	A
