# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-10-18 15:29:34 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12447200 OKANOGAN RIVER AT MALOTT, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 12447200
#            TS   parameter     statistic     Description
#        296281       00060     00003     Discharge, cubic feet per second (Mean)
#        296282       00065     00003     Gage height, feet (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	296281_00060_00003	296281_00060_00003_cd	296282_00065_00003	296282_00065_00003_cd
5s	15s	20d	14n	10s	14n	10s
USGS	12447200	2005-01-01	2260	A	4.27	A
USGS	12447200	2005-01-02	2100	A	4.14	A
USGS	12447200	2005-01-03	1750	A:e	4.69	A
USGS	12447200	2005-01-04	1400	A:e		
USGS	12447200	2005-01-05	1240	A:e		
USGS	12447200	2005-01-06	1340	A:e		
USGS	12447200	2005-01-07	1600	A:e	5.30	A
USGS	12447200	2005-01-08	1750	A:e	5.19	A
USGS	12447200	2005-01-09	1930	A:e	5.33	A
USGS	12447200	2005-01-10	1900	A:e	5.30	A
USGS	12447200	2005-01-11	1850	A:e	5.36	A
USGS	12447200	2005-01-12	1880	A:e	5.31	A
USGS	12447200	2005-01-13	1930	A:e	5.15	A
USGS	12447200	2005-01-14	1750	A:e	4.99	A
USGS	12447200	2005-01-15	1360	A:e	5.21	A
USGS	12447200	2005-01-16	1480	A:e	5.30	A
USGS	12447200	2005-01-17	1600	A:e	5.18	A
USGS	12447200	2005-01-18	1840	A:e	4.97	A
USGS	12447200	2005-01-19	2500	A:e	4.95	A
USGS	12447200	2005-01-20	3300	A:e	5.08	A
USGS	12447200	2005-01-21	4400	A:e	6.74	A
USGS	12447200	2005-01-22	6040	A:e	7.67	A
USGS	12447200	2005-01-23	5460	A:e	7.26	A
