# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-10-18 15:32:44 EDT       (sdww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14033500 UMATILLA RIVER NEAR UMATILLA, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14033500
#            TS   parameter     statistic     Description
#        113294       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113294_00060_00003	113294_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14033500	2005-01-01	280	A
USGS	14033500	2005-01-02	270	A
USGS	14033500	2005-01-03	263	A
USGS	14033500	2005-01-04	252	A
USGS	14033500	2005-01-05	242	A
USGS	14033500	2005-01-06	231	A
USGS	14033500	2005-01-07	236	A
USGS	14033500	2005-01-08	230	A
USGS	14033500	2005-01-09	228	A
USGS	14033500	2005-01-10	227	A
USGS	14033500	2005-01-11	224	A
USGS	14033500	2005-01-12	219	A
USGS	14033500	2005-01-13	217	A
USGS	14033500	2005-01-14	212	A
USGS	14033500	2005-01-15	202	A
USGS	14033500	2005-01-16	197	A
USGS	14033500	2005-01-17	197	A
USGS	14033500	2005-01-18	216	A
USGS	14033500	2005-01-19	462	A
USGS	14033500	2005-01-20	828	A
USGS	14033500	2005-01-21	690	A
USGS	14033500	2005-01-22	569	A
USGS	14033500	2005-01-23	468	A
USGS	14033500	2005-01-24	389	A
USGS	14033500	2005-01-25	352	A
USGS	14033500	2005-01-26	370	A
USGS	14033500	2005-01-27	360	A
USGS	14033500	2005-01-28	358	A
USGS	14033500	2005-01-29	341	A
USGS	14033500	2005-01-30	327	A
USGS	14033500	2005-01-31	392	A
USGS	14033500	2005-02-01	384	A
USGS	14033500	2005-02-02	367	A
USGS	14033500	2005-02-03	356	A
USGS	14033500	2005-02-04	343	A
USGS	14033500	2005-02-05	332	A
USGS	14033500	2005-02-06	332	A
USGS	14033500	2005-02-07	323	A
USGS	14033500	2005-02-08	313	A
USGS	14033500	2005-02-09	300	A
USGS	14033500	2005-02-10	287	A
USGS	14033500	2005-02-11	280	A
USGS	14033500	2005-02-12	270	A
USGS	14033500	2005-02-13	265	A
USGS	14033500	2005-02-14	274	A
USGS	14033500	2005-02-15	270	A
USGS	14033500	2005-02-16	259	A
USGS	14033500	2005-02-17	246	A
USGS	14033500	2005-02-18	240	A
USGS	14033500	2005-02-19	239	A
USGS	14033500	2005-02-20	241	A
USGS	14033500	2005-02-21	247	A
USGS	14033500	2005-02-22	242	A
USGS	14033500	2005-02-23	235	A
USGS	14033500	2005-02-24	230	A
USGS	14033500	2005-02-25	227	A
USGS	14033500	2005-02-26	226	A
USGS	14033500	2005-02-27	226	A
USGS	14033500	2005-02-28	231	A
