# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2022-10-18 15:35:11 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14018500 WALLA WALLA RIVER NEAR TOUCHET, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 14018500
#            TS   parameter     statistic     Description
#        150300       00060     00003     Discharge, cubic feet per second (Mean)
#        150301       00065     00003     Gage height, feet (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	150300_00060_00003	150300_00060_00003_cd	150301_00065_00003	150301_00065_00003_cd
5s	15s	20d	14n	10s	14n	10s
USGS	14018500	2005-01-01	455	A	4.27	A
USGS	14018500	2005-01-02	446	A	4.25	A
USGS	14018500	2005-01-03	437	A	4.22	A
USGS	14018500	2005-01-04	417	A	4.16	A
USGS	14018500	2005-01-05	382	A	4.07	A
USGS	14018500	2005-01-06	372	A	4.04	A
USGS	14018500	2005-01-07	413	A	4.15	A
USGS	14018500	2005-01-08	418	A	4.17	A
USGS	14018500	2005-01-09	401	A	4.12	A
USGS	14018500	2005-01-10	388	A	4.09	A
USGS	14018500	2005-01-11	377	A	4.06	A
USGS	14018500	2005-01-12	377	A	4.06	A
USGS	14018500	2005-01-13	374	A	4.05	A
USGS	14018500	2005-01-14	359	A	4.00	A
USGS	14018500	2005-01-15	320	A	3.88	A
USGS	14018500	2005-01-16	348	A	3.97	A
USGS	14018500	2005-01-17	332	A	3.92	A
USGS	14018500	2005-01-18	455	A	4.25	A
USGS	14018500	2005-01-19	1250	A	5.74	A
USGS	14018500	2005-01-20	1180	A	5.64	A
USGS	14018500	2005-01-21	1020	A	5.39	A
USGS	14018500	2005-01-22	901	A	5.20	A
USGS	14018500	2005-01-23	814	A	5.04	A
USGS	14018500	2005-01-24	735	A	4.89	A
USGS	14018500	2005-01-25	690	A	4.81	A
USGS	14018500	2005-01-26	642	A	4.71	A
USGS	14018500	2005-01-27	610	A	4.64	A
USGS	14018500	2005-01-28	580	A	4.57	A
USGS	14018500	2005-01-29	533	A	4.47	A
USGS	14018500	2005-01-30	519	A	4.43	A
USGS	14018500	2005-01-31	498	A	4.38	A
USGS	14018500	2005-02-01	481	A	4.34	A
USGS	14018500	2005-02-02	464	A	4.29	A
USGS	14018500	2005-02-03	441	A	4.23	A
USGS	14018500	2005-02-04	447	A	4.25	A
USGS	14018500	2005-02-05	450	A	4.26	A
USGS	14018500	2005-02-06	443	A	4.24	A
USGS	14018500	2005-02-07	430	A	4.20	A
USGS	14018500	2005-02-08	419	A	4.17	A
USGS	14018500	2005-02-09	408	A	4.14	A
USGS	14018500	2005-02-10	400	A	4.12	A
USGS	14018500	2005-02-11	392	A	4.10	A
USGS	14018500	2005-02-12	390	A	4.10	A
USGS	14018500	2005-02-13	398	A	4.11	A
USGS	14018500	2005-02-14	404	A	4.13	A
USGS	14018500	2005-02-15	386	A	4.08	A
USGS	14018500	2005-02-16	373	A	4.05	A
USGS	14018500	2005-02-17	364	A	4.02	A
USGS	14018500	2005-02-18	364	A	4.02	A
USGS	14018500	2005-02-19	366	A	4.02	A
USGS	14018500	2005-02-20	371	A	4.04	A
USGS	14018500	2005-02-21	371	A	4.04	A
USGS	14018500	2005-02-22	362	A	4.01	A
USGS	14018500	2005-02-23	355	A	3.99	A
USGS	14018500	2005-02-24	352	A	3.98	A
USGS	14018500	2005-02-25	318	A	3.87	A
USGS	14018500	2005-02-26	336	A	3.93	A
USGS	14018500	2005-02-27	333	A	3.92	A
USGS	14018500	2005-02-28	321	A	3.88	A
USGS	14018500	2005-03-01	324	A	3.89	A
USGS	14018500	2005-03-02	311	A	3.85	A
USGS	14018500	2005-03-03	289	A	3.77	A
USGS	14018500	2005-03-04	262	A	3.68	A
USGS	14018500	2005-03-05	239	A	3.59	A
USGS	14018500	2005-03-06	213	A	3.48	A
USGS	14018500	2005-03-07	191	A	3.39	A
USGS	14018500	2005-03-08	173	A	3.31	A
USGS	14018500	2005-03-09	159	A	3.24	A
USGS	14018500	2005-03-10	149	A	3.19	A
USGS	14018500	2005-03-11	137	A	3.12	A
USGS	14018500	2005-03-12	129	A	3.08	A
USGS	14018500	2005-03-13	118	A	3.01	A
USGS	14018500	2005-03-14	111	A	2.98	A
USGS	14018500	2005-03-15	110	A	2.97	A
USGS	14018500	2005-03-16	104	A	2.93	A
USGS	14018500	2005-03-17	105	A	2.94	A
USGS	14018500	2005-03-18	108	A	2.95	A
USGS	14018500	2005-03-19	103	A	2.93	A
USGS	14018500	2005-03-20	100	A	2.91	A
